a0_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.100093E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146054E+03
  0.100093E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146054E+03
  0.100093E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146054E+03
  0.100093E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146054E+03
  0.100093E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146054E+03
  0.100093E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146054E+03
  0.100093E+03  0.288242E-03  0.498801E-03  0.467557E-03  0.146204E+03
  0.100093E+03  0.288242E-03  0.498801E-03  0.434717E-06  0.148582E+03
  0.100093E+03  0.288242E-03  0.498801E-03  0.434717E-06  0.148582E+03
  0.100093E+03  0.288242E-03  0.498801E-03  0.434717E-06  0.148582E+03
  0.100093E+03  0.288242E-03  0.443152E-03  0.434717E-06  0.148765E+03
  0.100093E+03  0.288242E-03  0.443152E-03  0.434717E-06  0.148765E+03
  0.100093E+03  0.288242E-03  0.443152E-03  0.434717E-06  0.148765E+03
  0.100483E+03  0.288242E-03  0.443152E-03  0.434717E-06  0.149579E+03
  0.100571E+03  0.288242E-03  0.443152E-03  0.434717E-06  0.149701E+03
  0.100571E+03  0.288242E-03  0.443152E-03  0.434717E-06  0.149701E+03
  0.100571E+03  0.288242E-03  0.443152E-03  0.434717E-06  0.149701E+03
  0.100571E+03  0.288242E-03  0.443152E-03  0.434717E-06  0.149701E+03
  0.100571E+03  0.288242E-03  0.443152E-03  0.434717E-06  0.149701E+03
  0.100571E+03  0.288242E-03  0.443152E-03  0.434717E-06  0.149701E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.100571E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150069E+03
  0.101323E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150274E+03
  0.101323E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150274E+03
  0.101323E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150274E+03
  0.101323E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150274E+03
  0.101323E+03  0.288242E-03  0.351503E-03  0.434717E-06  0.150274E+03
  0.101323E+03  0.944367E-03  0.351503E-03  0.434717E-06  0.148134E+03
  0.101323E+03  0.944367E-03  0.351503E-03  0.434717E-06  0.148134E+03
  0.101323E+03  0.944367E-03  0.351503E-03  0.434717E-06  0.148134E+03
  0.101323E+03  0.944367E-03  0.351503E-03  0.434717E-06  0.148134E+03
  0.101323E+03  0.944367E-03  0.351503E-03  0.434717E-06  0.148134E+03
  0.101323E+03  0.944367E-03  0.351503E-03  0.434717E-06  0.148134E+03
  0.101323E+03  0.578432E-03  0.351503E-03  0.434717E-06  0.149483E+03
  0.101323E+03  0.578432E-03  0.351503E-03  0.434717E-06  0.149483E+03
  0.101323E+03  0.578432E-03  0.351503E-03  0.434717E-06  0.149483E+03
  0.101323E+03  0.578432E-03  0.351503E-03  0.537111E-04  0.149450E+03
  0.101323E+03  0.578432E-03  0.351503E-03  0.537111E-04  0.149450E+03
  0.101323E+03  0.578432E-03  0.351503E-03  0.537111E-04  0.149450E+03
  0.101323E+03  0.578432E-03  0.351503E-03  0.537111E-04  0.149450E+03
  0.100350E+03  0.578432E-03  0.351503E-03  0.537111E-04  0.148868E+03
  0.100350E+03  0.578432E-03  0.351503E-03  0.537111E-04  0.148868E+03
  0.100350E+03  0.578432E-03  0.351503E-03  0.537111E-04  0.148868E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.537111E-04  0.149543E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.537111E-04  0.149543E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.537111E-04  0.149543E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.537111E-04  0.149543E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.641821E-03  0.146022E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.641821E-03  0.146022E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.641821E-03  0.146022E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.641821E-03  0.146022E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.641821E-03  0.146022E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.641821E-03  0.146022E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.641821E-03  0.146022E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.641821E-03  0.146022E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.641821E-03  0.146022E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.641821E-03  0.146022E+03
  0.100907E+03  0.578432E-03  0.351503E-03  0.641821E-03  0.146022E+03
  0.100907E+03  0.578432E-03  0.322558E-04  0.641821E-03  0.146833E+03
  0.100907E+03  0.578432E-03  0.322558E-04  0.641821E-03  0.146833E+03
  0.100907E+03  0.578432E-03  0.322558E-04  0.641821E-03  0.146833E+03
  0.100907E+03  0.578432E-03  0.322558E-04  0.641821E-03  0.146833E+03
