a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.101883E+03  0.136561E+01  0.843054E+01  0.961522E+01  0.424475E+01  0.273707E-02  0.266657E-03  0.314467E-03  0.364340E-03  0.338486E-03  0.906101E-03  0.199787E-02  0.173872E-02  0.137815E+03
  0.101883E+03  0.136561E+01  0.843054E+01  0.808926E+01  0.172161E+02  0.273707E-02  0.266657E-03  0.314467E-03  0.364340E-03  0.338486E-03  0.906101E-03  0.199787E-02  0.173872E-02  0.138802E+03
  0.101883E+03  0.136561E+01  0.310019E+01  0.266661E+01  0.990853E+01  0.273707E-02  0.266657E-03  0.314467E-03  0.364340E-03  0.338486E-03  0.906101E-03  0.199787E-02  0.173872E-02  0.139116E+03
  0.101883E+03  0.136561E+01  0.310019E+01 -0.946320E+01  0.210169E+01  0.236278E-02  0.266657E-03  0.314467E-03  0.364340E-03  0.338486E-03  0.906101E-03  0.199787E-02  0.226536E-02  0.138426E+03
  0.101883E+03  0.136561E+01  0.178949E+01 -0.721607E+01  0.210169E+01  0.236278E-02  0.266657E-03  0.314467E-03  0.364340E-03  0.338486E-03  0.906101E-03  0.334959E-03  0.226536E-02  0.141459E+03
  0.100362E+03  0.136561E+01 -0.180628E+01  0.423016E+01 -0.298835E+01  0.100688E-02  0.266657E-03  0.314467E-03  0.364340E-03  0.383387E-03  0.906101E-03  0.334959E-03  0.226536E-02  0.142784E+03
  0.100362E+03  0.136561E+01 -0.180628E+01  0.756417E+01 -0.406568E+01  0.100688E-02  0.266657E-03  0.314467E-03  0.234119E-02  0.423368E-03  0.906101E-03  0.334959E-03  0.236107E-02  0.138853E+03
  0.100362E+03  0.730376E+01 -0.180628E+01  0.912303E+01 -0.406568E+01  0.100688E-02  0.266657E-03  0.314467E-03  0.234119E-02  0.423368E-03  0.906101E-03  0.334959E-03  0.105208E-02  0.140860E+03
  0.100362E+03  0.730376E+01 -0.180628E+01  0.912303E+01 -0.706706E+01  0.100688E-02  0.266657E-03  0.314467E-03  0.234119E-02  0.549112E-03  0.906101E-03  0.334959E-03  0.105208E-02  0.140448E+03
  0.100362E+03  0.730376E+01  0.353258E+01  0.471143E+01 -0.109261E+02  0.100396E-02  0.266657E-03  0.314467E-03  0.234119E-02  0.549112E-03  0.906101E-03  0.334959E-03  0.105208E-02  0.139631E+03
  0.100362E+03  0.730376E+01  0.353258E+01  0.471143E+01 -0.121366E+02  0.100396E-02  0.266657E-03  0.314467E-03  0.207147E-03  0.549112E-03  0.906101E-03  0.334959E-03  0.105208E-02  0.142121E+03
  0.100362E+03  0.730376E+01  0.353258E+01  0.917280E+01 -0.121366E+02  0.227592E-02  0.266657E-03  0.359697E-03  0.207147E-03  0.549112E-03  0.906101E-03  0.334959E-03  0.105208E-02  0.140891E+03
  0.100362E+03  0.773842E+01  0.500950E+01  0.917280E+01 -0.121366E+02  0.227592E-02  0.266657E-03  0.359697E-03  0.207147E-03  0.549112E-03  0.906101E-03  0.334959E-03  0.105208E-02  0.140138E+03
  0.100362E+03  0.773842E+01  0.500950E+01  0.917280E+01  0.570688E+01  0.227592E-02  0.266657E-03  0.359697E-03  0.207147E-03  0.549112E-03  0.906101E-03  0.334959E-03  0.105208E-02  0.141449E+03
  0.100362E+03  0.773842E+01  0.500950E+01  0.917280E+01  0.570688E+01  0.227592E-02  0.266657E-03  0.359697E-03  0.207147E-03  0.549112E-03  0.906101E-03  0.334959E-03  0.105208E-02  0.141449E+03
  0.100362E+03  0.773842E+01  0.500950E+01  0.569105E+01  0.553030E+01  0.483895E-03  0.879058E-03  0.359697E-03  0.207147E-03  0.549112E-03  0.761292E-03  0.334959E-03  0.710089E-03  0.143668E+03
  0.100362E+03  0.773842E+01  0.500950E+01  0.158354E+02  0.863474E+01  0.360468E-02  0.879058E-03  0.359697E-03  0.207147E-03  0.549112E-03  0.761292E-03  0.334959E-03  0.710089E-03  0.140479E+03
