MNT_SURFAC;ZLIDAR;X;Y
249.09000;249.027;886265.40;6558951.51
249.09000;249.027;886263.44;6558951.21
249.08000;248.979;886261.47;6558950.91
249.08000;248.969;886259.51;6558950.61
249.08000;248.969;886257.55;6558950.32
249.07000;248.969;886255.58;6558950.02
249.06000;248.990;886253.62;6558949.72
249.05000;249.007;886251.66;6558949.42
249.05000;249.007;886249.69;6558949.12
249.06000;249.015;886247.73;6558948.82
249.09000;249.006;886245.77;6558948.52
249.11000;248.944;886243.80;6558948.22
249.14000;248.978;886241.84;6558947.93
249.14000;248.978;886239.88;6558947.63
249.14000;248.995;886237.91;6558947.33
249.13000;248.995;886235.95;6558947.03
249.13000;248.997;886234.06;6558946.40
249.13000;248.997;886232.18;6558945.77
249.13000;248.990;886230.29;6558945.14
249.13000;248.990;886228.41;6558944.52
249.13000;248.982;886226.52;6558943.89
249.13000;248.955;886224.64;6558943.26
249.14000;248.995;886222.75;6558942.63
249.14000;248.993;886220.86;6558942.00
249.14000;248.993;886218.98;6558941.37
249.12000;248.957;886217.09;6558940.74
249.09000;248.974;886215.21;6558940.12
249.07000;248.972;886213.32;6558939.49
249.09000;248.972;886211.44;6558938.86
249.09000;248.962;886209.55;6558938.23
249.10000;248.962;886207.66;6558937.60
249.12000;248.956;886205.78;6558936.97
249.13000;248.956;886203.89;6558936.34
249.13000;249.010;886202.01;6558935.72
249.13000;249.010;886200.12;6558935.09
249.12000;249.010;886198.24;6558934.46
249.12000;248.953;886196.35;6558933.83
249.12000;248.953;886194.46;6558933.20
249.12000;248.953;886192.58;6558932.57
249.12000;248.953;886190.69;6558931.94
249.12000;248.940;886188.81;6558931.31
249.07000;248.940;886186.92;6558930.69
249.04000;248.940;886185.04;6558930.06
248.96000;249.023;886183.15;6558929.43
248.88000;249.023;886181.26;6558928.80
248.81000;249.023;886179.38;6558928.17
248.86000;249.023;886177.49;6558927.54
249.02000;249.035;886175.61;6558926.91
249.14000;249.035;886173.72;6558926.29
249.11000;249.035;886171.84;6558925.66
248.98000;249.008;886169.95;6558925.03
248.96000;249.008;886168.06;6558924.40
248.99000;249.008;886166.18;6558923.77
249.08000;249.008;886164.29;6558923.14
249.13000;248.973;886162.41;6558922.51
249.17000;248.973;886160.52;6558921.89
249.20000;248.973;886158.63;6558921.26
249.19000;249.023;886156.75;6558920.63
249.20000;249.023;886154.86;6558920.00
249.19000;249.037;886152.98;6558919.37
249.17000;248.959;886151.09;6558918.74
249.19000;249.035;886149.21;6558918.11
249.14000;249.035;886147.32;6558917.49
248.90000;249.035;886145.43;6558916.86
248.95000;248.951;886143.55;6558916.23
