a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.100692E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.738146E-03   0.262704E-03   0.584850E-03   0.436702E-02   0.945765E-03   0.141559E+03
   0.100692E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.738146E-03   0.267309E-03   0.584850E-03   0.436702E-02   0.491532E-03   0.142466E+03
   0.100692E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.734839E-04   0.267309E-03   0.584850E-03   0.456294E-02   0.491532E-03   0.143204E+03
   0.100692E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.159704E-03   0.267309E-03   0.303232E-03   0.456294E-02   0.491532E-03   0.143663E+03
   0.102416E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.159704E-03   0.267309E-03   0.660797E-03   0.456294E-02   0.597907E-03   0.141168E+03
   0.102416E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.159704E-03   0.267309E-03   0.660797E-03   0.274401E-02   0.597907E-03   0.142628E+03
   0.102416E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.159704E-03   0.267309E-03   0.660797E-03   0.274401E-02   0.597907E-03   0.142628E+03
   0.102416E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.159704E-03   0.267309E-03   0.660797E-03   0.902533E-03   0.597907E-03   0.145319E+03
   0.102416E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.159704E-03   0.267309E-03   0.660797E-03   0.902533E-03   0.597907E-03   0.145319E+03
   0.102416E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.159704E-03   0.267309E-03   0.660797E-03   0.902533E-03   0.597907E-03   0.145319E+03
   0.102416E+03   0.137894E-03   0.462325E-03   0.584421E-03   0.159704E-03   0.267309E-03   0.127699E-03   0.874081E-05   0.597907E-03   0.147049E+03
   0.100597E+03   0.137894E-03   0.462325E-03   0.584421E-03   0.159704E-03   0.267309E-03   0.212460E-03   0.874081E-05   0.597907E-03   0.148369E+03
   0.100234E+03   0.137894E-03   0.462325E-03   0.142701E-02   0.159704E-03   0.267309E-03   0.212460E-03   0.874081E-05   0.597907E-03   0.145771E+03
   0.100234E+03   0.137894E-03   0.462325E-03   0.142701E-02   0.159704E-03   0.267309E-03   0.212460E-03   0.874081E-05   0.128154E-02   0.144472E+03
   0.100234E+03   0.137894E-03   0.799197E-04   0.142701E-02   0.159704E-03   0.267309E-03   0.212460E-03   0.794023E-03   0.128154E-02   0.144120E+03
   0.100234E+03   0.137894E-03   0.799197E-04   0.142701E-02   0.705490E-03   0.267309E-03   0.212460E-03   0.794023E-03   0.179561E-02   0.142686E+03
   0.100234E+03   0.137894E-03   0.799197E-04   0.142701E-02   0.705490E-03   0.267309E-03   0.212460E-03   0.794023E-03   0.441458E-04   0.145505E+03
   0.101251E+03   0.137894E-03   0.799197E-04   0.792219E-03   0.705490E-03   0.267309E-03   0.212460E-03   0.794023E-03   0.441458E-04   0.147972E+03
   0.101251E+03   0.137894E-03   0.799197E-04   0.792219E-03   0.705490E-03   0.267309E-03   0.212460E-03   0.495692E-03   0.441458E-04   0.148561E+03
   0.101251E+03   0.137894E-03   0.799197E-04   0.792219E-03   0.705490E-03   0.267309E-03   0.337102E-03   0.495692E-03   0.441458E-04   0.148427E+03
   0.101251E+03   0.137894E-03   0.799197E-04   0.792219E-03   0.705490E-03   0.267309E-03   0.337102E-03   0.746729E-04   0.441458E-04   0.148974E+03
   0.101251E+03   0.135611E-02   0.799197E-04   0.792219E-03   0.705490E-03   0.550616E-03   0.337102E-03   0.746729E-04   0.441458E-04   0.145962E+03
   0.101251E+03   0.135611E-02   0.722703E-03   0.792219E-03   0.705490E-03   0.550616E-03   0.337102E-03   0.746729E-04   0.441458E-04   0.144695E+03
   0.101251E+03   0.135611E-02   0.722703E-03   0.792219E-03   0.705490E-03   0.550616E-03   0.337102E-03   0.746729E-04   0.441458E-04   0.144695E+03
   0.101251E+03   0.144644E-02   0.722703E-03   0.462320E-03   0.316539E-03   0.550616E-03   0.337102E-03   0.312458E-03   0.441458E-04   0.145646E+03
   0.101251E+03   0.144644E-02   0.722703E-03   0.462320E-03   0.316539E-03   0.550616E-03   0.128791E-03   0.312458E-03   0.441458E-04   0.145832E+03
   0.101251E+03   0.144644E-02   0.722703E-03   0.462320E-03   0.316539E-03   0.550616E-03   0.145367E-03   0.312458E-03   0.441458E-04   0.145824E+03
   0.100443E+03   0.601212E-03   0.722703E-03   0.462320E-03   0.316539E-03   0.550616E-03   0.388539E-03   0.312458E-03   0.401239E-03   0.146272E+03
   0.100443E+03   0.601212E-03   0.395376E-03   0.100241E-02   0.316539E-03   0.550616E-03   0.388539E-03   0.312458E-03   0.401239E-03   0.145807E+03
   0.100443E+03   0.601212E-03   0.395376E-03   0.100241E-02   0.316539E-03   0.298915E-03   0.388539E-03   0.312458E-03   0.401239E-03   0.146150E+03
