a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.101931E+03   0.249524E+01   0.112403E+02   0.510239E+01   0.820444E+01   0.369128E-03   0.330312E-03   0.182994E-03   0.149539E+03
   0.102575E+03   0.249524E+01   0.114767E+02   0.387367E+01   0.820444E+01   0.369128E-03   0.330312E-03   0.182994E-03   0.149582E+03
   0.102575E+03   0.249524E+01   0.114767E+02   0.772076E+01   0.135639E+02   0.369128E-03   0.330312E-03   0.182994E-03   0.150083E+03
   0.102575E+03   0.249524E+01   0.114767E+02   0.772076E+01   0.227332E+02   0.369128E-03   0.330312E-03   0.182994E-03   0.149722E+03
   0.102575E+03   0.249524E+01   0.114767E+02   0.438045E+01   0.161230E+02   0.369128E-03   0.330312E-03   0.182994E-03   0.150281E+03
   0.102575E+03   0.249524E+01   0.114767E+02   0.284813E+01   0.161230E+02   0.369128E-03   0.330312E-03   0.182994E-03   0.150183E+03
   0.102575E+03   0.215418E+01   0.114767E+02   0.284813E+01   0.190802E+02   0.369128E-03   0.330312E-03   0.182994E-03   0.150148E+03
   0.102575E+03   0.215418E+01   0.923083E+01   0.284813E+01   0.136987E+02   0.369128E-03   0.330312E-03   0.182994E-03   0.150134E+03
   0.102727E+03   0.703376E+01   0.923083E+01   0.935165E+01   0.130560E+02   0.369128E-03   0.330312E-03   0.182994E-03   0.149256E+03
   0.103958E+03   0.703376E+01   0.173711E+02   0.164960E+02   0.187788E+02   0.369128E-03   0.330312E-03   0.182994E-03   0.149938E+03
   0.103958E+03   0.506617E+01   0.165213E+02   0.127587E+02   0.279227E+02   0.369128E-03   0.330312E-03   0.182994E-03   0.150034E+03
   0.104368E+03   0.506617E+01   0.165213E+02   0.140795E+02   0.303835E+02   0.369128E-03   0.330312E-03   0.599390E-03   0.146940E+03
   0.104368E+03   0.880501E+01   0.213085E+02   0.140795E+02   0.148212E+02   0.369128E-03   0.330312E-03   0.599390E-03   0.146314E+03
   0.104368E+03   0.880501E+01   0.213085E+02   0.140795E+02   0.170012E+02   0.369128E-03   0.330312E-03   0.599390E-03   0.146683E+03
   0.104368E+03   0.880501E+01   0.164545E+02   0.140795E+02   0.170012E+02   0.127480E-03   0.330312E-03   0.599390E-03   0.147021E+03
   0.104368E+03   0.880501E+01   0.212354E+02   0.140795E+02   0.308983E+02   0.228440E-03   0.330312E-03   0.599390E-03   0.147653E+03
   0.104368E+03   0.731858E+01   0.212354E+02   0.157550E+02   0.259552E+02   0.228440E-03   0.330312E-03   0.599390E-03   0.147610E+03
   0.104368E+03   0.731858E+01   0.219349E+02   0.157550E+02   0.224800E+02   0.228440E-03   0.330312E-03   0.599390E-03   0.147312E+03
   0.104368E+03   0.697260E+01   0.219349E+02   0.189663E+02   0.272816E+02   0.228440E-03   0.850966E-03   0.599390E-03   0.144207E+03
   0.102177E+03   0.697260E+01   0.132451E+02   0.210646E+02   0.232569E+02   0.228440E-03   0.227954E-04   0.599390E-03   0.143675E+03
   0.102177E+03   0.750102E+01   0.107167E+02   0.846488E+01   0.120165E+02   0.228440E-03   0.227954E-04   0.344200E-03   0.149806E+03
   0.102177E+03   0.698667E+01   0.908976E+01   0.846488E+01   0.175409E+02   0.228440E-03   0.227954E-04   0.344200E-03   0.149975E+03
   0.102177E+03   0.698667E+01   0.908976E+01   0.114570E+02   0.252870E+01   0.228440E-03   0.227954E-04   0.344200E-03   0.149600E+03
   0.102614E+03   0.698667E+01   0.395422E+01   0.881177E+01  -0.768474E+00   0.228440E-03   0.227954E-04   0.344200E-03   0.147518E+03
   0.102614E+03   0.698667E+01   0.288882E+01   0.469099E+01  -0.501528E+01   0.714524E-03   0.227954E-04   0.448270E-03   0.144862E+03
   0.102614E+03   0.698667E+01   0.765548E+01   0.139014E+02  -0.283240E+01   0.714524E-03   0.227954E-04   0.244392E-03   0.147180E+03
   0.102614E+03   0.461459E+01   0.765548E+01   0.174063E+02   0.699135E+01   0.127536E-02   0.227954E-04   0.244392E-03   0.146229E+03
   0.103776E+03   0.946310E+01   0.765548E+01   0.191878E+02   0.734024E+01   0.418721E-03   0.227954E-04   0.327682E-03   0.146104E+03
   0.103776E+03   0.946310E+01   0.765548E+01   0.191878E+02  -0.777270E+00   0.418721E-03   0.227954E-04   0.327682E-03   0.144310E+03
   0.103776E+03   0.946310E+01   0.109591E+02   0.191878E+02   0.941884E+01   0.418721E-03   0.227954E-04   0.327682E-03   0.148071E+03
   0.103776E+03   0.946310E+01   0.109591E+02   0.213315E+02   0.207379E+02   0.418721E-03   0.227954E-04   0.327682E-03   0.149400E+03
   0.102698E+03   0.946310E+01   0.109591E+02   0.126472E+02   0.128680E+02   0.418721E-03   0.227954E-04   0.204030E-03   0.149498E+03
   0.102657E+03   0.946310E+01   0.109591E+02   0.303770E+02   0.128680E+02   0.418721E-03   0.227954E-04   0.204030E-03   0.146090E+03
   0.102657E+03   0.932731E+01   0.109591E+02   0.717500E+01   0.128680E+02   0.221516E-03   0.227954E-04   0.465815E-03   0.147745E+03
   0.102851E+03   0.433899E+01   0.109591E+02   0.726909E+01   0.128680E+02   0.221516E-03   0.861464E-04   0.133064E-02   0.144488E+03
   0.102851E+03   0.182122E+01   0.912584E+01   0.436350E+01   0.151276E+02   0.221516E-03   0.119169E-02   0.514840E-03   0.143119E+03
   0.102851E+03   0.182122E+01   0.176727E+02   0.436350E+01   0.274049E+02   0.221516E-03   0.119169E-02   0.514840E-03   0.142767E+03
   0.102851E+03   0.182122E+01   0.176727E+02   0.839909E+00   0.348726E+02   0.192722E-03   0.119169E-02   0.514840E-03   0.141523E+03
   0.102851E+03   0.182122E+01   0.137422E+02   0.635026E+01   0.233081E+02   0.192722E-03   0.119169E-02   0.514840E-03   0.143410E+03
   0.104466E+03   0.330088E+00   0.137422E+02   0.211952E+01   0.262431E+02   0.192722E-03   0.119169E-02   0.514840E-03   0.141969E+03
