<CdSiteHydro>;<CdStationHydro>;<CdCapteur>;<GrdSerieObsHydro>;<DtObsHydro>;<StObsHydro>;<ResObsHydro>;<QualifObsHydro>;<MethObsHydro>;<ContObsHydro>;<FLG>
"Code du site hydrométrique";"Code de la station hydrométrique";"Code du capteur";"Grandeur observée de la série";"Date d'observation hydrométrique";"Résultat de l'observation hydro";"Résultat de l'observation hydrométrique";"Qualification de la donnée de l'observation hydrométrique";"Méthode d'obtention du résultat de l'observation hydrométrique";"Continuité de la donnée de l'observation hydrométrique";<FLG>
V2942010;V294201001;;Q;"2001-01-17 03:42:00";16;188178;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 05:06:00";16;166966;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 06:27:00";16;156217;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 11:00:00";16;150560;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 12:42:00";16;153200;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 13:54:00";16;167720;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 14:57:00";16;174897;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 16:36:00";16;172623;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 17:33:00";16;163194;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 18:27:00";16;158103;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 19:54:00";16;156217;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 20:45:00";16;158480;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 21:18:00";16;165646;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 22:39:00";16;199141;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 23:30:00";16;207784;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-18 00:36:00";16;205043;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-18 03:00:00";16;176162;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-18 04:42:00";16;164703;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-18 11:36:00";16;157914;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-18 12:27:00";16;161309;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-18 14:06:00";16;190286;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-18 15:30:00";16;201459;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-18 19:00:00";16;203568;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-18 22:00:00";16;209892;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-18 22:45:00";16;203357;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 00:21:00";16;173632;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 01:45:00";16;163006;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 03:00:00";16;160177;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 05:00:00";16;168851;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 05:39:00";16;165834;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 06:45:00";16;154520;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 07:42:00";16;149617;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 10:15:00";16;144903;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 14:51:00";16;151503;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 17:00:00";16;166966;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 18:48:00";16;164891;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 19:06:00";16;166966;20;10;0;<FLG>
