a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.995387E+02   0.819861E+00  -0.171781E-01   0.294151E+01   0.217444E-03   0.612273E-03   0.536322E-03   0.494538E-03   0.637654E-03   0.458007E-03   0.953245E-04   0.282406E-03   0.187440E+03   0.000000E+00   0.000000E+00   0.187440E+03  -0.374880E+03
   0.995387E+02   0.819861E+00  -0.171781E-01  -0.913779E+01   0.217444E-03   0.612273E-03   0.536322E-03   0.494538E-03   0.682930E-03   0.458007E-03   0.115788E-03   0.282406E-03   0.186176E+03   0.000000E+00   0.000000E+00   0.186176E+03  -0.372352E+03
   0.995387E+02   0.819861E+00  -0.681306E+01  -0.115678E+02   0.217444E-03   0.784364E-05   0.536322E-03   0.494538E-03   0.682930E-03   0.377561E-02   0.115788E-03   0.552598E-03   0.181888E+03   0.000000E+00   0.000000E+00   0.181888E+03  -0.363776E+03
   0.995387E+02  -0.472930E+00  -0.646410E+01  -0.508884E+01   0.217444E-03   0.784364E-05   0.536322E-03   0.494538E-03   0.682930E-03   0.142910E-02   0.115788E-03   0.552598E-03   0.185607E+03   0.000000E+00   0.000000E+00   0.185607E+03  -0.371214E+03
   0.995387E+02   0.106572E+01   0.213813E+01  -0.780881E+01   0.217444E-03   0.784364E-05   0.536322E-03   0.494538E-03   0.682930E-03   0.199982E-02   0.115788E-03   0.185607E-02   0.181048E+03   0.000000E+00   0.000000E+00   0.181048E+03  -0.362096E+03
   0.995387E+02  -0.136728E+01  -0.670958E+01  -0.780881E+01   0.217444E-03   0.784364E-05   0.536322E-03   0.494538E-03   0.385692E-03   0.182265E-02   0.115788E-03   0.185607E-02   0.182131E+03   0.000000E+00   0.000000E+00   0.182131E+03  -0.364262E+03
   0.995387E+02  -0.117334E+01  -0.670958E+01  -0.222693E+00   0.217444E-03   0.784364E-05   0.536322E-03   0.494538E-03   0.385692E-03   0.182265E-02   0.115788E-03   0.185607E-02   0.181575E+03   0.000000E+00   0.000000E+00   0.181575E+03  -0.363150E+03
   0.995387E+02  -0.117334E+01  -0.433974E+01  -0.655529E+01   0.217444E-03   0.784364E-05   0.887047E-03   0.494538E-03   0.385692E-03   0.148510E-02   0.115788E-03   0.185607E-02   0.182384E+03   0.000000E+00   0.000000E+00   0.182384E+03  -0.364768E+03
   0.992333E+02   0.309007E+00  -0.843883E+01  -0.655529E+01   0.217444E-03   0.926967E-03   0.887047E-03   0.494538E-03   0.385692E-03   0.716317E-03   0.115788E-03   0.185607E-02   0.182025E+03   0.000000E+00   0.000000E+00   0.182025E+03  -0.364050E+03
   0.992333E+02   0.309007E+00  -0.157206E+02   0.410142E+01   0.217444E-03   0.926967E-03   0.154209E-02   0.494538E-03   0.385692E-03   0.716317E-03   0.115788E-03   0.196349E-02   0.176070E+03   0.000000E+00   0.000000E+00   0.176070E+03  -0.352140E+03
