a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.119857E+03   0.337578E+02   0.490078E-04   0.842047E+01   0.903355E+01   0.130252E+02   0.175066E+02   0.485783E+02
   0.118561E+03   0.332065E+02   0.490078E-04   0.813946E+01   0.903355E+01   0.135026E+02   0.175113E+02   0.497441E+02
   0.118477E+03   0.332065E+02   0.490078E-04   0.813946E+01   0.116760E+02   0.159534E+02   0.210414E+02   0.478204E+02
   0.118477E+03   0.332065E+02   0.490078E-04   0.813946E+01   0.891483E+01   0.185503E+02   0.165106E+02   0.491171E+02
   0.118477E+03   0.351748E+02   0.490078E-04   0.813946E+01   0.891483E+01   0.193236E+02   0.207094E+02   0.463711E+02
   0.118477E+03   0.351748E+02   0.490078E-04   0.813946E+01   0.106660E+02   0.153172E+02   0.209327E+02   0.472348E+02
   0.118477E+03   0.351748E+02   0.490078E-04   0.797782E+01   0.994276E+01   0.153172E+02   0.189709E+02   0.480656E+02
   0.118477E+03   0.351748E+02   0.490078E-04   0.797782E+01   0.113886E+02   0.147166E+02   0.189709E+02   0.477599E+02
   0.118024E+03   0.351748E+02   0.490078E-04   0.117482E+02   0.113886E+02   0.151565E+02   0.189709E+02   0.485944E+02
   0.116693E+03   0.357802E+02   0.490078E-04   0.109727E+02   0.885169E+01   0.151565E+02   0.195147E+02   0.495416E+02
   0.116693E+03   0.357802E+02   0.258580E-03   0.109727E+02   0.885169E+01   0.151565E+02   0.131283E+02   0.500061E+02
   0.116693E+03   0.357802E+02   0.258580E-03   0.109727E+02   0.817245E+01   0.151565E+02   0.206997E+02   0.482329E+02
   0.116693E+03   0.365055E+02   0.258580E-03   0.109727E+02   0.817245E+01   0.151565E+02   0.206997E+02   0.478854E+02
   0.116693E+03   0.365055E+02   0.258580E-03   0.827373E+01   0.817245E+01   0.978347E+01   0.206997E+02   0.459827E+02
   0.116693E+03   0.365055E+02   0.507044E-04   0.827373E+01   0.817245E+01   0.904515E+01   0.206997E+02   0.456153E+02
   0.116693E+03   0.365055E+02   0.507044E-04   0.932302E+01   0.817245E+01   0.904515E+01   0.134611E+02   0.474638E+02
   0.115683E+03   0.377469E+02   0.507044E-04   0.932302E+01   0.817245E+01   0.105185E+02   0.104072E+02   0.475283E+02
   0.115683E+03   0.367086E+02   0.507044E-04   0.876378E+01   0.817245E+01   0.102156E+02   0.142292E+02   0.490779E+02
   0.115683E+03   0.367086E+02   0.507044E-04   0.113741E+02   0.127334E+02   0.142966E+02   0.142292E+02   0.496429E+02
   0.115683E+03   0.367086E+02   0.213689E-03   0.113741E+02   0.127334E+02   0.142966E+02   0.142292E+02   0.492640E+02
   0.115683E+03   0.364672E+02   0.213689E-03   0.113741E+02   0.107445E+02   0.157048E+02   0.142292E+02   0.499003E+02
   0.115683E+03   0.356221E+02   0.213689E-03   0.113741E+02   0.113870E+02   0.133920E+02   0.132759E+02   0.485761E+02
   0.115683E+03   0.375697E+02   0.213689E-03   0.113741E+02   0.133872E+02   0.133920E+02   0.132759E+02   0.484506E+02
   0.115683E+03   0.375697E+02   0.213689E-03   0.817500E+01   0.101035E+02   0.170758E+02   0.111805E+02   0.488106E+02
   0.116215E+03   0.375697E+02   0.213689E-03   0.878325E+01   0.101035E+02   0.179628E+02   0.106249E+02   0.476154E+02
   0.113935E+03   0.379583E+02   0.213689E-03   0.878325E+01   0.973397E+01   0.176606E+02   0.106249E+02   0.482738E+02
   0.113935E+03   0.379583E+02   0.240212E-03   0.122400E+02   0.973397E+01   0.875398E+01   0.106249E+02   0.449698E+02
   0.113935E+03   0.406137E+02   0.240212E-03   0.124432E+02   0.100229E+02   0.875398E+01   0.164310E+02   0.446141E+02
   0.113935E+03   0.393806E+02   0.240212E-03   0.101982E+02   0.873634E+01   0.148702E+02   0.154035E+02   0.501691E+02
   0.114875E+03   0.393806E+02   0.240212E-03   0.101982E+02   0.843494E+01   0.173235E+02   0.206279E+02   0.467040E+02
   0.114875E+03   0.393806E+02   0.240212E-03   0.964774E+01   0.980214E+01   0.144901E+02   0.183809E+02   0.482458E+02
   0.113965E+03   0.393806E+02   0.240212E-03   0.110447E+02   0.897083E+01   0.144901E+02   0.140012E+02   0.500602E+02
   0.113563E+03   0.393806E+02   0.240212E-03   0.123452E+02   0.897083E+01   0.165938E+02   0.140012E+02   0.494301E+02
   0.113563E+03   0.393806E+02   0.240212E-03   0.123452E+02   0.884128E+01   0.152297E+02   0.143805E+02   0.496233E+02
   0.113563E+03   0.393806E+02   0.246949E-03   0.124400E+02   0.884128E+01   0.152297E+02   0.143805E+02   0.495453E+02
   0.113563E+03   0.393806E+02   0.246949E-03   0.104102E+02   0.723113E+01   0.153287E+02   0.157833E+02   0.492632E+02
   0.113563E+03   0.393806E+02   0.246949E-03   0.721183E+01   0.723113E+01   0.153287E+02   0.130096E+02   0.482873E+02
   0.113563E+03   0.401498E+02   0.246949E-03   0.721183E+01   0.723113E+01   0.153287E+02   0.122289E+02   0.477067E+02
   0.113563E+03   0.396388E+02   0.246949E-03   0.721183E+01   0.723113E+01   0.153287E+02   0.952870E+01   0.462298E+02
   0.113563E+03   0.396388E+02   0.246949E-03   0.999631E+01   0.881644E+01   0.153287E+02   0.952870E+01   0.481559E+02
   0.113563E+03   0.404809E+02   0.246949E-03   0.999631E+01   0.934769E+01   0.135028E+02   0.952870E+01   0.475383E+02
   0.113563E+03   0.404809E+02   0.514074E-03   0.999631E+01   0.940870E+01   0.135028E+02   0.952870E+01   0.462352E+02
   0.113620E+03   0.404809E+02   0.514074E-03   0.109380E+02   0.940870E+01   0.135028E+02   0.142103E+02   0.481256E+02
   0.113620E+03   0.369753E+02   0.340795E-03   0.111909E+02   0.858269E+01   0.108127E+02   0.143744E+02   0.457565E+02
   0.113620E+03   0.372166E+02   0.340795E-03   0.962693E+01   0.858269E+01   0.108127E+02   0.143744E+02   0.466095E+02
   0.113620E+03   0.410536E+02   0.422027E-03   0.962693E+01   0.107525E+02   0.122510E+02   0.135675E+02   0.477145E+02
   0.113620E+03   0.380003E+02   0.422027E-03   0.945670E+01   0.107525E+02   0.122510E+02   0.158964E+02   0.481955E+02
   0.113620E+03   0.380003E+02   0.238254E-03   0.119770E+02   0.124865E+02   0.122510E+02   0.158964E+02   0.475956E+02
   0.113620E+03   0.380003E+02   0.238254E-03   0.119770E+02   0.124865E+02   0.122510E+02   0.114428E+02   0.470505E+02
   0.113620E+03   0.380003E+02   0.213310E-03   0.115881E+02   0.140263E+02   0.122510E+02   0.114428E+02   0.463437E+02
   0.113620E+03   0.380003E+02   0.213310E-03   0.115881E+02   0.150843E+02   0.122510E+02   0.112898E+02   0.455099E+02
   0.113620E+03   0.380003E+02   0.355978E-04   0.115881E+02   0.138798E+02   0.150011E+02   0.112898E+02   0.468421E+02
   0.114620E+03   0.380003E+02   0.698894E-04   0.120884E+02   0.144288E+02   0.150011E+02   0.143106E+02   0.482490E+02
   0.114620E+03   0.398102E+02   0.698894E-04   0.111363E+02   0.963937E+01   0.150011E+02   0.143106E+02   0.484936E+02
   0.114620E+03   0.398102E+02   0.698894E-04   0.111363E+02   0.963937E+01   0.150011E+02   0.135968E+02   0.484519E+02
   0.114620E+03   0.398102E+02   0.254476E-03   0.134940E+02   0.963937E+01   0.169167E+02   0.135968E+02   0.469272E+02
