Km_SU1_Rh_a0  Km_SU1_Rh_a1  Km_SU1_Rh_a2  Km_SU1_Rh_a3  Km_SU1_Rh_a4  Km_SU2_Rh_a0  Km_SU2_Rh_a1  Km_SU1_Ai_a0  Km_SU1_Ai_a1  Km_SU1_Ai_a2  Km_SU1_Ai_a3  Km_SU1_Ai_a4  Km_SU2_Ai_a0  Km_SU2_Ai_a1  Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.391985E+02 -0.878125E+00  0.337846E+00  0.466206E+01  0.340323E+01  0.366271E+02  0.604224E+01  0.225641E+02 -0.838504E+01 -0.131645E+02 -0.554757E+00  0.110658E+02  0.119174E+02  0.117145E+01  0.126229E+00  0.204852E-02  0.134268E-01  0.116646E-01  0.558852E-02 -0.169924E+02
  0.391985E+02 -0.878125E+00  0.337846E+00  0.466206E+01  0.340323E+01  0.366271E+02  0.604224E+01  0.225641E+02 -0.838504E+01 -0.131645E+02 -0.554757E+00  0.110658E+02  0.119174E+02  0.117145E+01  0.127120E+00  0.101772E-02  0.144513E-01  0.119399E-01  0.620403E-02 -0.143599E+02
  0.391985E+02 -0.878125E+00  0.337846E+00  0.466206E+01  0.340323E+01  0.361588E+02  0.604224E+01  0.225490E+02 -0.838504E+01 -0.131645E+02 -0.554757E+00  0.110658E+02  0.119174E+02  0.117145E+01  0.127120E+00  0.101772E-02  0.137245E-01  0.131956E-01  0.680912E-02 -0.151842E+02
  0.391985E+02 -0.878125E+00  0.337846E+00  0.466206E+01  0.340323E+01  0.361588E+02  0.604224E+01  0.225490E+02 -0.838504E+01 -0.131645E+02 -0.554757E+00  0.106220E+02  0.119174E+02 -0.829569E+00  0.128738E+00  0.217684E-02  0.144470E-01  0.134987E-01  0.676052E-02 -0.100992E+02
  0.391985E+02 -0.878125E+00  0.337846E+00  0.466206E+01  0.340323E+01  0.361588E+02  0.604224E+01  0.225490E+02 -0.838504E+01 -0.131645E+02 -0.554757E+00  0.106220E+02  0.162539E+02  0.832487E+00  0.128738E+00  0.617251E-03  0.138053E-01  0.123956E-01  0.770624E-02 -0.874407E+01
  0.391985E+02 -0.878125E+00 -0.176160E+00  0.463596E+01  0.340323E+01  0.361588E+02  0.604224E+01  0.225490E+02 -0.827147E+01 -0.131645E+02 -0.554757E+00  0.964625E+01  0.162539E+02  0.832487E+00  0.130762E+00  0.137513E-02  0.148515E-01  0.132744E-01  0.751986E-02 -0.567770E+01
  0.399480E+02 -0.878125E+00 -0.237629E-01  0.463596E+01  0.367045E+01  0.383894E+02  0.604224E+01  0.225238E+02 -0.827147E+01 -0.131645E+02 -0.554757E+00  0.964625E+01  0.162539E+02  0.832487E+00  0.131362E+00  0.137513E-02  0.164739E-01  0.132393E-01  0.720951E-02 -0.864401E+01
  0.399480E+02 -0.878125E+00 -0.520224E+00  0.463596E+01  0.295836E+01  0.362698E+02  0.604224E+01  0.225238E+02 -0.827147E+01 -0.131645E+02 -0.554757E+00  0.964625E+01  0.162539E+02  0.832487E+00  0.131362E+00  0.981776E-03  0.163296E-01  0.108894E-01  0.841153E-02 -0.564389E+01
  0.394972E+02 -0.878125E+00 -0.520224E+00  0.463596E+01  0.295836E+01  0.362698E+02  0.604224E+01  0.225238E+02 -0.827147E+01 -0.131645E+02 -0.801669E+00  0.964625E+01  0.162539E+02  0.580522E+01  0.131688E+00  0.206841E-03  0.168642E-01  0.114698E-01  0.941663E-02 -0.732853E+01
  0.394972E+02 -0.878125E+00 -0.520224E+00  0.463596E+01  0.295836E+01  0.362698E+02  0.604224E+01  0.225238E+02 -0.827147E+01 -0.131645E+02 -0.801669E+00  0.835285E+01  0.162539E+02 -0.226634E+01  0.132616E+00  0.206841E-03  0.154249E-01  0.922228E-02  0.974095E-02 -0.135492E+01
  0.394972E+02 -0.878125E+00 -0.520224E+00  0.463596E+01  0.295836E+01  0.362698E+02  0.604224E+01  0.225238E+02 -0.827147E+01 -0.131645E+02 -0.801669E+00  0.908017E+01  0.169911E+02 -0.673948E+00  0.132668E+00  0.100966E-02  0.146521E-01  0.953094E-02  0.862174E-02 -0.270212E+00
  0.394972E+02 -0.878125E+00 -0.438509E+00  0.463596E+01  0.120408E+01  0.362698E+02  0.604224E+01  0.225238E+02 -0.827147E+01 -0.131645E+02 -0.801669E+00  0.109224E+02  0.169911E+02 -0.673948E+00  0.132229E+00  0.238790E-02  0.140728E-01  0.943233E-02  0.710338E-02 -0.391437E+00
  0.394972E+02 -0.878125E+00 -0.438509E+00  0.463596E+01  0.120408E+01  0.367042E+02  0.560706E+01  0.225238E+02 -0.827147E+01 -0.131645E+02 -0.801669E+00  0.109224E+02  0.169911E+02 -0.186303E+01  0.133336E+00  0.125015E-02  0.142571E-01  0.103317E-01  0.635915E-02  0.150662E+01
  0.394972E+02 -0.878125E+00  0.417032E-01  0.338565E+01  0.120408E+01  0.367042E+02  0.560706E+01  0.225238E+02 -0.827147E+01 -0.129514E+02 -0.801669E+00  0.108306E+02  0.189753E+02 -0.186303E+01  0.133165E+00  0.116476E-02  0.151461E-01  0.101814E-01  0.642153E-02  0.258990E-01
  0.397256E+02 -0.878125E+00  0.417032E-01  0.338565E+01  0.120408E+01  0.367042E+02  0.560706E+01  0.225238E+02 -0.827147E+01 -0.129514E+02 -0.801669E+00  0.108306E+02  0.168849E+02  0.193910E+01  0.133165E+00  0.387201E-02  0.139699E-01  0.114568E-01  0.642153E-02  0.906439E+00
  0.397256E+02 -0.878125E+00  0.417032E-01  0.338565E+01  0.120408E+01  0.367042E+02  0.560706E+01  0.225238E+02 -0.827147E+01 -0.129514E+02 -0.801669E+00  0.108306E+02  0.165481E+02  0.428920E+01  0.133571E+00  0.413587E-02  0.152365E-01  0.111676E-01  0.647547E-02 -0.161130E+00
