a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.985809E+02   0.144944E+02   0.185959E+01   0.118173E-02   0.113586E+02   0.890725E+01   0.162888E+02   0.137829E+02   0.354537E+02
   0.101394E+03   0.182620E+01  -0.892794E+01   0.866579E-04   0.108544E+02   0.948256E+01   0.163985E+02   0.235287E+02   0.352409E+02
   0.102896E+03  -0.129718E+02   0.165510E+02   0.807709E-03   0.850640E+01   0.800144E+01   0.100285E+02   0.138765E+02   0.335751E+02
   0.985391E+02   0.116334E+02   0.434296E+01   0.154940E-02   0.132338E+02   0.143746E+02   0.153661E+02   0.188774E+02   0.310852E+02
   0.995917E+02  -0.376167E+00  -0.185861E+02   0.330680E-03   0.795502E+01   0.842025E+01   0.972969E+01   0.136528E+02   0.370540E+02
   0.100843E+03   0.734531E+01   0.152714E+01   0.337043E-03   0.754049E+01   0.108970E+02   0.115860E+02   0.184431E+02   0.368100E+02
   0.102203E+03   0.104618E+02   0.257317E+02   0.287110E-03   0.128870E+02   0.787260E+01   0.178189E+02   0.145597E+02   0.346230E+02
   0.100083E+03   0.437514E+01   0.845749E+01   0.124692E-03   0.107445E+02   0.937272E+01   0.139506E+02   0.128561E+02   0.399064E+02
   0.972244E+02   0.437514E+01  -0.126626E+02   0.290563E-03   0.831805E+01   0.941069E+01   0.194821E+02   0.168012E+02   0.381080E+02
   0.105918E+03  -0.123573E+02   0.331134E+02   0.496230E-03   0.145008E+02   0.919870E+01   0.190590E+02   0.169622E+02   0.311124E+02
   0.102128E+03   0.320734E+01   0.249559E+02   0.444229E-03   0.904636E+01   0.870903E+01   0.160114E+02   0.133134E+02   0.373356E+02
   0.102128E+03  -0.399011E+00   0.194607E+02   0.880609E-03   0.792636E+01   0.107215E+02   0.108289E+02   0.182852E+02   0.350090E+02
   0.989375E+02   0.612342E+01  -0.363857E+00   0.535606E-03   0.960887E+01   0.914166E+01   0.163428E+02   0.144507E+02   0.395751E+02
   0.101631E+03  -0.603172E+01   0.161338E+02   0.998777E-03   0.100534E+02   0.133371E+02   0.171498E+02   0.143973E+02   0.350831E+02
   0.101901E+03  -0.448856E+01   0.212476E+02   0.485818E-05   0.124552E+02   0.118945E+02   0.152025E+02   0.149267E+02   0.364620E+02
   0.101081E+03   0.918507E+01  -0.314612E+01   0.122857E-02   0.135590E+02   0.863574E+01   0.138852E+02   0.154076E+02   0.344651E+02
