a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.988919E+02  0.425493E+01 -0.473341E+01  0.101611E-03  0.101516E+02  0.121436E+02  0.163149E+02  0.109259E+02  0.392105E+02
  0.988919E+02  0.425493E+01 -0.473341E+01  0.101611E-03  0.890789E+01  0.120260E+02  0.165490E+02  0.107445E+02  0.390666E+02
  0.988919E+02 -0.146454E+01 -0.114009E+02  0.101611E-03  0.871476E+01  0.109731E+02  0.160044E+02  0.107445E+02  0.388031E+02
  0.988919E+02 -0.146454E+01 -0.114009E+02  0.101611E-03  0.857123E+01  0.949500E+01  0.136964E+02  0.107445E+02  0.390830E+02
  0.988919E+02  0.273935E+01 -0.304238E+01  0.101611E-03  0.857123E+01  0.728059E+01  0.133885E+02  0.100952E+02  0.383129E+02
  0.988919E+02  0.304334E+01 -0.563472E+01  0.221423E-03  0.798537E+01  0.728059E+01  0.113029E+02  0.100952E+02  0.372472E+02
  0.988919E+02  0.397020E+01 -0.563472E+01  0.221423E-03  0.832920E+01  0.750118E+01  0.122965E+02  0.100952E+02  0.380170E+02
  0.988919E+02  0.397020E+01 -0.563472E+01  0.221423E-03  0.848849E+01  0.724230E+01  0.149928E+02  0.100952E+02  0.381429E+02
  0.988919E+02  0.688416E+01  0.125338E+01  0.254908E-04  0.932080E+01  0.711864E+01  0.117453E+02  0.989879E+01  0.371909E+02
  0.988919E+02  0.522164E+01 -0.277254E+01  0.254908E-04  0.980171E+01  0.785795E+01  0.117453E+02  0.127733E+02  0.398008E+02
  0.988919E+02  0.522164E+01 -0.277254E+01  0.254908E-04  0.896833E+01  0.731141E+01  0.117453E+02  0.129083E+02  0.393495E+02
  0.988919E+02  0.522164E+01 -0.383175E+01  0.443885E-04  0.896833E+01  0.731141E+01  0.116762E+02  0.130604E+02  0.393616E+02
  0.988919E+02  0.522164E+01 -0.719369E+01  0.443885E-04  0.910889E+01  0.731141E+01  0.101024E+02  0.130604E+02  0.383472E+02
  0.988919E+02  0.522164E+01 -0.200534E+02  0.443885E-04  0.890698E+01  0.837563E+01  0.101024E+02  0.160896E+02  0.379504E+02
  0.988919E+02  0.192021E+01 -0.162197E+02  0.443885E-04  0.113926E+02  0.837563E+01  0.107208E+02  0.160639E+02  0.387897E+02
  0.988919E+02  0.387825E+01 -0.203441E+02  0.180833E-03  0.112831E+02  0.990636E+01  0.107208E+02  0.160639E+02  0.384415E+02
  0.988919E+02  0.387825E+01 -0.142872E+02  0.180833E-03  0.104713E+02  0.829459E+01  0.104632E+02  0.131192E+02  0.389297E+02
  0.987911E+02  0.387825E+01 -0.208978E+02  0.617327E-03  0.985495E+01  0.102968E+02  0.120046E+02  0.119198E+02  0.380219E+02
  0.987911E+02  0.387825E+01 -0.208978E+02  0.617327E-03  0.102747E+02  0.102968E+02  0.120046E+02  0.125132E+02  0.381748E+02
  0.987911E+02  0.387825E+01 -0.208978E+02  0.617327E-03  0.115871E+02  0.108654E+02  0.119527E+02  0.125132E+02  0.376433E+02
  0.987911E+02  0.387825E+01 -0.208978E+02  0.617327E-03  0.120800E+02  0.115412E+02  0.115050E+02  0.145309E+02  0.372473E+02
  0.987911E+02  0.387825E+01 -0.208978E+02  0.294861E-03  0.108127E+02  0.102378E+02  0.138901E+02  0.150794E+02  0.394847E+02
  0.987911E+02  0.387825E+01 -0.265449E+02  0.294861E-03  0.108127E+02  0.944412E+01  0.121133E+02  0.173469E+02  0.375692E+02
  0.987911E+02  0.360861E+01 -0.179033E+02  0.140403E-03  0.119932E+02  0.946910E+01  0.135566E+02  0.185690E+02  0.389314E+02
  0.987911E+02  0.360861E+01 -0.536109E+01  0.140403E-03  0.128269E+02  0.106200E+02  0.150067E+02  0.182615E+02  0.391889E+02
  0.987911E+02  0.360861E+01 -0.509287E+01  0.462829E-03  0.128857E+02  0.114379E+02  0.177575E+02  0.182338E+02  0.376159E+02
  0.987911E+02 -0.160576E+01 -0.509287E+01  0.462829E-03  0.128857E+02  0.983485E+01  0.191535E+02  0.177891E+02  0.371446E+02
  0.987911E+02  0.156062E+01 -0.301026E+01  0.462829E-03  0.128857E+02  0.967819E+01  0.179877E+02  0.169626E+02  0.381996E+02
  0.987911E+02  0.356899E+01 -0.831180E+01  0.462829E-03  0.116371E+02  0.860330E+01  0.173387E+02  0.167245E+02  0.389741E+02
  0.987911E+02  0.356899E+01 -0.963429E+01  0.462829E-03  0.116371E+02  0.779520E+01  0.163336E+02  0.152527E+02  0.390178E+02
