a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100152E+03   0.363529E+01   0.381427E-03   0.977742E+01   0.829709E+01   0.184240E+03  -0.339649E+01   0.000000E+00   0.187636E+03  -0.375273E+03
   0.100152E+03   0.363529E+01   0.381427E-03   0.110730E+02   0.829709E+01   0.183622E+03  -0.401503E+01   0.000000E+00   0.187637E+03  -0.375274E+03
   0.100152E+03   0.138837E+01   0.381427E-03   0.115780E+02   0.829709E+01   0.183299E+03  -0.461362E+01   0.000000E+00   0.187913E+03  -0.375825E+03
   0.100152E+03   0.138837E+01   0.381427E-03   0.115780E+02   0.847352E+01   0.183649E+03  -0.426400E+01   0.000000E+00   0.187913E+03  -0.375826E+03
   0.100152E+03   0.138837E+01   0.381427E-03   0.114675E+02   0.854724E+01   0.183925E+03  -0.398743E+01   0.000000E+00   0.187912E+03  -0.375825E+03
   0.100152E+03   0.138837E+01   0.381427E-03   0.113073E+02   0.103985E+02   0.185082E+03  -0.283094E+01   0.000000E+00   0.187913E+03  -0.375826E+03
   0.100152E+03   0.138837E+01   0.381427E-03   0.124929E+02   0.107514E+02   0.183040E+03  -0.487235E+01   0.000000E+00   0.187912E+03  -0.375825E+03
   0.100152E+03  -0.220921E+01   0.341361E-03   0.128250E+02   0.107514E+02   0.179780E+03  -0.551695E+01   0.000000E+00   0.185297E+03  -0.370594E+03
   0.100152E+03  -0.338967E+01   0.341361E-03   0.128250E+02   0.111190E+02   0.177908E+03  -0.585066E+01   0.000000E+00   0.183759E+03  -0.367517E+03
   0.100406E+03  -0.338967E+01   0.341361E-03   0.104035E+02   0.996319E+01   0.181679E+03  -0.195267E+01   0.000000E+00   0.183632E+03  -0.367263E+03
   0.100406E+03  -0.338967E+01   0.341361E-03   0.921426E+01   0.996319E+01   0.181544E+03  -0.208787E+01   0.000000E+00   0.183632E+03  -0.367264E+03
   0.100406E+03  -0.193400E+01   0.341361E-03   0.921426E+01   0.986470E+01   0.183324E+03  -0.208653E+01   0.000000E+00   0.185411E+03  -0.370821E+03
   0.100406E+03  -0.193400E+01   0.341361E-03   0.982649E+01   0.970180E+01   0.183559E+03  -0.185124E+01   0.000000E+00   0.185410E+03  -0.370820E+03
