a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.990305E+02   0.135513E+01   0.484218E-03   0.806433E+01   0.101973E+02   0.182837E+03
   0.990305E+02   0.513312E+01   0.484218E-03   0.806433E+01   0.897717E+01   0.181547E+03
   0.990305E+02   0.286966E+01   0.525123E-03   0.806433E+01   0.897717E+01   0.182364E+03
   0.990305E+02   0.305864E+01   0.525123E-03   0.806433E+01   0.890966E+01   0.182262E+03
   0.995749E+02   0.305864E+01   0.525123E-03   0.806433E+01   0.890966E+01   0.183188E+03
   0.995749E+02   0.305864E+01   0.525123E-03   0.806433E+01   0.935434E+01   0.183583E+03
   0.995749E+02   0.305864E+01   0.525123E-03   0.806433E+01   0.109125E+02   0.183270E+03
   0.995749E+02   0.305864E+01   0.525123E-03   0.806433E+01   0.109125E+02   0.183270E+03
   0.995749E+02   0.305864E+01   0.525123E-03   0.103468E+02   0.954447E+01   0.185683E+03
   0.995749E+02   0.305864E+01   0.525123E-03   0.105886E+02   0.938426E+01   0.185479E+03
   0.995749E+02   0.305864E+01   0.525123E-03   0.974224E+01   0.113191E+02   0.184938E+03
   0.995749E+02   0.455088E+00   0.345305E-03   0.924142E+01   0.105657E+02   0.184959E+03
   0.995749E+02   0.455088E+00   0.345305E-03   0.924142E+01   0.105657E+02   0.184959E+03
   0.998734E+02   0.455088E+00   0.345305E-03   0.924142E+01   0.105657E+02   0.185178E+03
   0.998734E+02   0.455088E+00   0.345305E-03   0.991737E+01   0.105657E+02   0.185415E+03
   0.998734E+02   0.405134E+01   0.345305E-03   0.991737E+01   0.960930E+01   0.185353E+03
   0.998734E+02   0.405134E+01   0.345305E-03   0.991737E+01   0.890031E+01   0.184831E+03
   0.998734E+02   0.405134E+01   0.706581E-03   0.991737E+01   0.881422E+01   0.183617E+03
   0.998734E+02   0.405134E+01   0.706581E-03   0.991737E+01   0.881422E+01   0.183617E+03
   0.998734E+02   0.946941E+00   0.545348E-03   0.991737E+01   0.881422E+01   0.185185E+03
   0.998734E+02   0.427105E+01   0.545348E-03   0.991737E+01   0.913999E+01   0.185296E+03
   0.998734E+02   0.427105E+01   0.545348E-03   0.800964E+01   0.913999E+01   0.183051E+03
   0.998734E+02   0.396465E+01   0.545348E-03   0.800964E+01   0.110413E+02   0.182890E+03
   0.100008E+03   0.396465E+01   0.915668E-03   0.800964E+01   0.110413E+02   0.178593E+03
   0.100008E+03   0.396465E+01   0.915668E-03   0.986310E+01   0.110413E+02   0.180838E+03
   0.100008E+03   0.646295E+01   0.915668E-03   0.991709E+01   0.116125E+02   0.179438E+03
   0.100323E+03   0.646295E+01   0.915668E-03   0.988738E+01   0.101451E+02   0.180696E+03
   0.100323E+03   0.646295E+01   0.915668E-03   0.988738E+01   0.101451E+02   0.180696E+03
   0.100323E+03   0.376773E+01   0.915668E-03   0.988738E+01   0.105644E+02   0.181258E+03
   0.100323E+03   0.293748E+01   0.652181E-03   0.103428E+02   0.111314E+02   0.184315E+03
   0.100323E+03   0.293748E+01   0.652181E-03   0.111259E+02   0.111314E+02   0.183730E+03
   0.100323E+03   0.293748E+01   0.135299E-03   0.111259E+02   0.117358E+02   0.180398E+03
   0.100323E+03   0.293748E+01   0.135299E-03   0.115671E+02   0.117358E+02   0.179868E+03
   0.100323E+03   0.293748E+01   0.401835E-03   0.104049E+02   0.117358E+02   0.184431E+03
   0.100323E+03   0.293748E+01   0.401835E-03   0.903201E+01   0.126828E+02   0.182512E+03
   0.100323E+03   0.293748E+01   0.401835E-03   0.903201E+01   0.126828E+02   0.182512E+03
   0.100323E+03   0.293748E+01   0.401835E-03   0.101040E+02   0.126828E+02   0.182913E+03
   0.100323E+03   0.293748E+01   0.502397E-03   0.101040E+02   0.111570E+02   0.185360E+03
   0.100323E+03   0.293748E+01   0.502397E-03   0.101040E+02   0.111570E+02   0.185360E+03
   0.100323E+03   0.293748E+01   0.502397E-03   0.101040E+02   0.111570E+02   0.185360E+03
