a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101458E+03   0.647090E-03   0.649763E-03   0.190932E-03   0.166438E-02   0.212171E+03   0.000000E+00   0.000000E+00   0.212171E+03  -0.424342E+03
   0.996670E+02   0.647090E-03   0.649763E-03   0.190932E-03   0.839342E-03   0.213856E+03   0.000000E+00   0.000000E+00   0.213856E+03  -0.427712E+03
   0.996670E+02   0.647090E-03   0.649763E-03   0.190932E-03   0.839342E-03   0.213856E+03   0.000000E+00   0.000000E+00   0.213856E+03  -0.427712E+03
   0.996670E+02   0.647090E-03   0.505535E-03   0.190932E-03   0.839342E-03   0.214382E+03   0.000000E+00   0.000000E+00   0.214382E+03  -0.428764E+03
   0.996670E+02   0.647090E-03   0.505535E-03   0.190932E-03   0.839342E-03   0.214382E+03   0.000000E+00   0.000000E+00   0.214382E+03  -0.428764E+03
   0.996670E+02   0.647090E-03   0.266996E-03   0.190932E-03   0.839342E-03   0.214798E+03   0.000000E+00   0.000000E+00   0.214798E+03  -0.429596E+03
   0.996670E+02   0.647090E-03   0.266996E-03   0.190932E-03   0.839342E-03   0.214798E+03   0.000000E+00   0.000000E+00   0.214798E+03  -0.429596E+03
   0.996670E+02   0.647090E-03   0.266996E-03   0.190932E-03   0.839342E-03   0.214798E+03   0.000000E+00   0.000000E+00   0.214798E+03  -0.429596E+03
   0.996670E+02   0.440377E-03   0.266996E-03   0.190932E-03   0.839342E-03   0.215428E+03   0.000000E+00   0.000000E+00   0.215428E+03  -0.430856E+03
   0.997524E+02   0.440377E-03   0.266996E-03   0.190932E-03   0.686796E-03   0.215497E+03   0.000000E+00   0.000000E+00   0.215497E+03  -0.430994E+03
   0.997524E+02   0.440377E-03   0.266996E-03   0.190932E-03   0.880568E-03   0.215662E+03   0.000000E+00   0.000000E+00   0.215662E+03  -0.431324E+03
   0.100329E+03   0.440377E-03   0.266996E-03   0.190932E-03   0.781244E-03   0.216808E+03   0.000000E+00   0.000000E+00   0.216808E+03  -0.433616E+03
   0.100329E+03   0.440377E-03   0.266996E-03   0.190932E-03   0.781244E-03   0.216808E+03   0.000000E+00   0.000000E+00   0.216808E+03  -0.433616E+03
   0.100329E+03   0.440377E-03   0.266996E-03   0.190932E-03   0.781244E-03   0.216808E+03   0.000000E+00   0.000000E+00   0.216808E+03  -0.433616E+03
