a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.969939E+02   0.889067E-03   0.102996E+02   0.913153E+01   0.123811E+02   0.152327E+02   0.173384E+03  -0.759871E+01   0.000000E+00   0.180983E+03  -0.361965E+03
   0.972856E+02   0.801403E-03   0.102996E+02   0.913153E+01   0.123811E+02   0.150033E+02   0.174646E+03  -0.758057E+01   0.000000E+00   0.182227E+03  -0.364453E+03
   0.972856E+02   0.801403E-03   0.959403E+01   0.761042E+01   0.134256E+02   0.150033E+02   0.174285E+03  -0.794133E+01   0.000000E+00   0.182226E+03  -0.364453E+03
   0.972856E+02   0.801403E-03   0.959403E+01   0.761042E+01   0.155185E+02   0.189289E+02   0.173370E+03  -0.885587E+01   0.000000E+00   0.182226E+03  -0.364452E+03
   0.972856E+02   0.931409E-03   0.959403E+01   0.886385E+01   0.211111E+02   0.120180E+02   0.171281E+03  -0.949460E+01   0.000000E+00   0.180776E+03  -0.361551E+03
   0.972856E+02   0.367968E-03   0.788680E+01   0.956866E+01   0.149786E+02   0.184895E+02   0.173294E+03  -0.846110E+01   0.000000E+00   0.181755E+03  -0.363510E+03
   0.972856E+02   0.367968E-03   0.785373E+01   0.956866E+01   0.149786E+02   0.130844E+02   0.173932E+03  -0.782281E+01   0.000000E+00   0.181755E+03  -0.363510E+03
   0.972856E+02   0.367968E-03   0.999936E+01   0.919989E+01   0.149786E+02   0.130844E+02   0.174397E+03  -0.735806E+01   0.000000E+00   0.181755E+03  -0.363510E+03
   0.972856E+02   0.367968E-03   0.999936E+01   0.919989E+01   0.142829E+02   0.122980E+02   0.174217E+03  -0.753823E+01   0.000000E+00   0.181755E+03  -0.363510E+03
   0.972856E+02   0.367968E-03   0.820061E+01   0.919989E+01   0.154394E+02   0.122980E+02   0.173865E+03  -0.789012E+01   0.000000E+00   0.181755E+03  -0.363510E+03
   0.972856E+02   0.367968E-03   0.820061E+01   0.705529E+01   0.134985E+02   0.183495E+02   0.172287E+03  -0.946776E+01   0.000000E+00   0.181755E+03  -0.363510E+03
   0.972856E+02   0.546103E-03   0.894672E+01   0.705529E+01   0.133367E+02   0.192957E+02   0.173841E+03  -0.957455E+01   0.000000E+00   0.183416E+03  -0.366831E+03
   0.972856E+02   0.546103E-03   0.101071E+02   0.705529E+01   0.135146E+02   0.165736E+02   0.174717E+03  -0.869918E+01   0.000000E+00   0.183416E+03  -0.366832E+03
   0.989505E+02   0.546103E-03   0.101071E+02   0.837600E+01   0.135146E+02   0.126250E+02   0.174122E+03  -0.771737E+01   0.000000E+00   0.181839E+03  -0.363679E+03
   0.989505E+02   0.546103E-03   0.101071E+02   0.978323E+01   0.134771E+02   0.153747E+02   0.174516E+03  -0.732393E+01   0.000000E+00   0.181840E+03  -0.363680E+03
   0.989505E+02   0.546103E-03   0.101071E+02   0.978323E+01   0.134771E+02   0.153747E+02   0.174516E+03  -0.732393E+01   0.000000E+00   0.181840E+03  -0.363680E+03
   0.989505E+02   0.546103E-03   0.101071E+02   0.978323E+01   0.156487E+02   0.153747E+02   0.174487E+03  -0.735246E+01   0.000000E+00   0.181839E+03  -0.363679E+03
   0.989505E+02   0.546103E-03   0.954795E+01   0.919456E+01   0.147248E+02   0.182406E+02   0.173936E+03  -0.790354E+01   0.000000E+00   0.181840E+03  -0.363679E+03
   0.989505E+02   0.546103E-03   0.954795E+01   0.132273E+02   0.141323E+02   0.131608E+02   0.173275E+03  -0.856522E+01   0.000000E+00   0.181840E+03  -0.363680E+03
   0.989505E+02   0.546103E-03   0.984795E+01   0.132273E+02   0.171961E+02   0.106757E+02   0.171860E+03  -0.998006E+01   0.000000E+00   0.181840E+03  -0.363680E+03
   0.989505E+02   0.754516E-03   0.832864E+01   0.120745E+02   0.122189E+02   0.106757E+02   0.172368E+03  -0.955338E+01   0.000000E+00   0.181921E+03  -0.363843E+03
   0.989505E+02   0.754516E-03   0.112581E+02   0.109989E+02   0.155734E+02   0.106757E+02   0.172999E+03  -0.892254E+01   0.000000E+00   0.181922E+03  -0.363843E+03
   0.989505E+02   0.754516E-03   0.112581E+02   0.896893E+01   0.155734E+02   0.106757E+02   0.173168E+03  -0.875322E+01   0.000000E+00   0.181921E+03  -0.363842E+03
   0.985222E+02   0.754516E-03   0.790126E+01   0.896893E+01   0.155734E+02   0.106757E+02   0.173607E+03  -0.891724E+01   0.000000E+00   0.182524E+03  -0.365048E+03
   0.985222E+02   0.754516E-03   0.790126E+01   0.115835E+02   0.154698E+02   0.106757E+02   0.173242E+03  -0.928276E+01   0.000000E+00   0.182525E+03  -0.365050E+03
   0.985222E+02   0.754516E-03   0.778149E+01   0.934642E+01   0.154698E+02   0.106757E+02   0.173592E+03  -0.893277E+01   0.000000E+00   0.182525E+03  -0.365050E+03
   0.985222E+02   0.754516E-03   0.114996E+02   0.934642E+01   0.175763E+02   0.111556E+02   0.173620E+03  -0.890499E+01   0.000000E+00   0.182525E+03  -0.365050E+03
   0.965893E+02   0.754516E-03   0.114996E+02   0.934642E+01   0.175763E+02   0.111556E+02   0.172718E+03  -0.890499E+01   0.000000E+00   0.181623E+03  -0.363246E+03
   0.968311E+02   0.754516E-03   0.114996E+02   0.934642E+01   0.180776E+02   0.111556E+02   0.173012E+03  -0.905443E+01   0.000000E+00   0.182066E+03  -0.364133E+03
   0.968311E+02   0.754516E-03   0.945328E+01   0.103279E+02   0.159220E+02   0.137420E+02   0.174666E+03  -0.740028E+01   0.000000E+00   0.182066E+03  -0.364133E+03
   0.968311E+02   0.754516E-03   0.994224E+01   0.980128E+01   0.159220E+02   0.154475E+02   0.174683E+03  -0.738319E+01   0.000000E+00   0.182066E+03  -0.364132E+03
   0.975505E+02   0.754516E-03   0.868348E+01   0.980128E+01   0.156348E+02   0.154475E+02   0.175369E+03  -0.745528E+01   0.000000E+00   0.182824E+03  -0.365649E+03
   0.975505E+02   0.754516E-03   0.868348E+01   0.980128E+01   0.165163E+02   0.154475E+02   0.175219E+03  -0.760457E+01   0.000000E+00   0.182824E+03  -0.365647E+03
   0.975505E+02   0.754516E-03   0.120119E+02   0.980128E+01   0.194557E+02   0.117037E+02   0.173349E+03  -0.947482E+01   0.000000E+00   0.182824E+03  -0.365648E+03
   0.975505E+02   0.754516E-03   0.110287E+02   0.980128E+01   0.151548E+02   0.166287E+02   0.175115E+03  -0.770948E+01   0.000000E+00   0.182824E+03  -0.365649E+03
   0.975505E+02   0.754516E-03   0.110287E+02   0.980128E+01   0.151548E+02   0.171932E+02   0.174981E+03  -0.784282E+01   0.000000E+00   0.182824E+03  -0.365648E+03
   0.975505E+02   0.754516E-03   0.110287E+02   0.137159E+02   0.161110E+02   0.171932E+02   0.173279E+03  -0.954548E+01   0.000000E+00   0.182824E+03  -0.365649E+03
   0.975505E+02   0.754516E-03   0.122478E+02   0.140141E+02   0.161110E+02   0.171932E+02   0.172582E+03  -0.102416E+02   0.000000E+00   0.182824E+03  -0.365647E+03
   0.975505E+02   0.754516E-03   0.118445E+02   0.133055E+02   0.161110E+02   0.171932E+02   0.173228E+03  -0.959638E+01   0.000000E+00   0.182824E+03  -0.365649E+03
   0.975505E+02   0.754516E-03   0.118445E+02   0.133055E+02   0.161434E+02   0.164852E+02   0.173385E+03  -0.943862E+01   0.000000E+00   0.182824E+03  -0.365647E+03
   0.975505E+02   0.754516E-03   0.118445E+02   0.133055E+02   0.170451E+02   0.183848E+02   0.172679E+03  -0.101449E+02   0.000000E+00   0.182824E+03  -0.365648E+03
   0.975505E+02   0.712336E-03   0.122680E+02   0.116910E+02   0.170451E+02   0.183848E+02   0.173643E+03  -0.950033E+01   0.000000E+00   0.183143E+03  -0.366287E+03
   0.975505E+02   0.712336E-03   0.127623E+02   0.116910E+02   0.170451E+02   0.181576E+02   0.173455E+03  -0.968744E+01   0.000000E+00   0.183142E+03  -0.366285E+03
   0.985068E+02   0.712336E-03   0.127623E+02   0.117559E+02   0.170451E+02   0.142082E+02   0.173742E+03  -0.905027E+01   0.000000E+00   0.182792E+03  -0.365585E+03
   0.977530E+02   0.527576E-03   0.124063E+02   0.892435E+01   0.170451E+02   0.150136E+02   0.175096E+03  -0.843705E+01   0.000000E+00   0.183533E+03  -0.367066E+03
   0.964178E+02   0.527576E-03   0.667743E+01   0.915896E+01   0.102713E+02   0.846587E+01   0.167820E+03  -0.138346E+02   0.000000E+00   0.181655E+03  -0.363309E+03
   0.964178E+02   0.527576E-03   0.667743E+01   0.915896E+01   0.102713E+02   0.846587E+01   0.167820E+03  -0.138346E+02   0.000000E+00   0.181655E+03  -0.363309E+03
   0.980838E+02   0.527576E-03   0.783412E+01   0.936236E+01   0.102713E+02   0.846587E+01   0.170670E+03  -0.126802E+02   0.000000E+00   0.183350E+03  -0.366700E+03
   0.980838E+02   0.102714E-02   0.783412E+01   0.936236E+01   0.193213E+02   0.973882E+01   0.169063E+03  -0.107027E+02   0.000000E+00   0.179766E+03  -0.359531E+03
   0.980838E+02   0.102714E-02   0.102915E+02   0.960564E+01   0.202618E+02   0.142703E+02   0.171076E+03  -0.869039E+01   0.000000E+00   0.179766E+03  -0.359533E+03
   0.980838E+02   0.374346E-03   0.102915E+02   0.960564E+01   0.182127E+02   0.183915E+02   0.172820E+03  -0.866639E+01   0.000000E+00   0.181486E+03  -0.362973E+03
   0.980838E+02   0.374346E-03   0.955091E+01   0.949702E+01   0.184171E+02   0.183915E+02   0.172810E+03  -0.867633E+01   0.000000E+00   0.181486E+03  -0.362973E+03
   0.980838E+02   0.374346E-03   0.955091E+01   0.742143E+01   0.184171E+02   0.183915E+02   0.171978E+03  -0.950807E+01   0.000000E+00   0.181486E+03  -0.362972E+03
   0.980838E+02   0.374346E-03   0.924951E+01   0.723010E+01   0.203660E+02   0.136485E+02   0.171747E+03  -0.973978E+01   0.000000E+00   0.181487E+03  -0.362974E+03
   0.980838E+02   0.818384E-03   0.106612E+02   0.723010E+01   0.197123E+02   0.129659E+02   0.172584E+03  -0.969095E+01   0.000000E+00   0.182275E+03  -0.364550E+03
   0.980838E+02   0.818384E-03   0.109491E+02   0.723010E+01   0.238008E+02   0.143179E+02   0.170725E+03  -0.115497E+02   0.000000E+00   0.182275E+03  -0.364549E+03
   0.982521E+02   0.818384E-03   0.125374E+02   0.808509E+01   0.130461E+02   0.143179E+02   0.173643E+03  -0.856126E+01   0.000000E+00   0.182204E+03  -0.364409E+03
   0.982521E+02   0.513443E-03   0.133628E+02   0.808509E+01   0.130461E+02   0.143179E+02   0.174031E+03  -0.903628E+01   0.000000E+00   0.183067E+03  -0.366135E+03
   0.982521E+02   0.513443E-03   0.131528E+02   0.808509E+01   0.159838E+02   0.139713E+02   0.174136E+03  -0.893036E+01   0.000000E+00   0.183066E+03  -0.366133E+03
   0.982521E+02   0.605556E-03   0.122387E+02   0.801091E+01   0.159493E+02   0.164387E+02   0.174706E+03  -0.866936E+01   0.000000E+00   0.183375E+03  -0.366751E+03
   0.982521E+02   0.605556E-03   0.121496E+02   0.801091E+01   0.160905E+02   0.195640E+02   0.173775E+03  -0.960039E+01   0.000000E+00   0.183375E+03  -0.366751E+03
   0.982521E+02   0.605556E-03   0.986770E+01   0.801091E+01   0.182813E+02   0.121460E+02   0.174701E+03  -0.867398E+01   0.000000E+00   0.183375E+03  -0.366750E+03
   0.982521E+02   0.605556E-03   0.986770E+01   0.801091E+01   0.182813E+02   0.121460E+02   0.174701E+03  -0.867398E+01   0.000000E+00   0.183375E+03  -0.366750E+03
   0.982521E+02   0.605556E-03   0.986770E+01   0.801091E+01   0.182813E+02   0.100179E+02   0.173414E+03  -0.996151E+01   0.000000E+00   0.183376E+03  -0.366751E+03
   0.982521E+02   0.605556E-03   0.101592E+02   0.801091E+01   0.139199E+02   0.154296E+02   0.175671E+03  -0.770452E+01   0.000000E+00   0.183376E+03  -0.366751E+03
   0.982521E+02   0.605556E-03   0.102580E+02   0.907410E+01   0.144618E+02   0.155160E+02   0.176033E+03  -0.734197E+01   0.000000E+00   0.183375E+03  -0.366750E+03
   0.982521E+02   0.605556E-03   0.721921E+01   0.114695E+02   0.144618E+02   0.178446E+02   0.174212E+03  -0.916339E+01   0.000000E+00   0.183375E+03  -0.366751E+03
   0.982521E+02   0.605556E-03   0.836522E+01   0.114695E+02   0.144618E+02   0.178446E+02   0.174993E+03  -0.838188E+01   0.000000E+00   0.183375E+03  -0.366750E+03
   0.982521E+02   0.605556E-03   0.811250E+01   0.115446E+02   0.115119E+02   0.195736E+02   0.173614E+03  -0.976096E+01   0.000000E+00   0.183375E+03  -0.366750E+03
