a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.969313E+02   0.625749E-03   0.877034E+01   0.134714E+02   0.100492E+02   0.133053E+02   0.172504E+03
   0.985305E+02   0.625749E-03   0.877034E+01   0.864564E+01   0.100492E+02   0.154482E+02   0.173907E+03
   0.985305E+02   0.625749E-03   0.877034E+01   0.864564E+01   0.100492E+02   0.154482E+02   0.173907E+03
   0.970255E+02   0.625749E-03   0.815518E+01   0.864564E+01   0.968266E+01   0.154482E+02   0.173384E+03
   0.970255E+02   0.625749E-03   0.117905E+02   0.112560E+02   0.179608E+02   0.154482E+02   0.174393E+03
   0.970255E+02   0.625749E-03   0.117905E+02   0.118875E+02   0.179608E+02   0.176117E+02   0.173698E+03
   0.970255E+02   0.625749E-03   0.980840E+01   0.122731E+02   0.206956E+02   0.176117E+02   0.173002E+03
   0.970255E+02   0.625749E-03   0.980840E+01   0.122731E+02   0.192370E+02   0.133777E+02   0.174030E+03
   0.970255E+02   0.625749E-03   0.980840E+01   0.122731E+02   0.192370E+02   0.133777E+02   0.174030E+03
   0.970255E+02   0.625749E-03   0.980840E+01   0.139512E+02   0.236585E+02   0.134211E+02   0.171018E+03
   0.970255E+02   0.625749E-03   0.716875E+01   0.134701E+02   0.242870E+02   0.134211E+02   0.169929E+03
   0.970255E+02   0.625749E-03   0.716875E+01   0.132217E+02   0.242870E+02   0.139853E+02   0.170134E+03
   0.970255E+02   0.625749E-03   0.757530E+01   0.144585E+02   0.219604E+02   0.133146E+02   0.170806E+03
   0.970255E+02   0.625749E-03   0.878632E+01   0.110005E+02   0.221469E+02   0.195887E+02   0.172083E+03
   0.970255E+02   0.625749E-03   0.878632E+01   0.110005E+02   0.221469E+02   0.155140E+02   0.173192E+03
   0.970255E+02   0.625749E-03   0.878632E+01   0.110005E+02   0.149910E+02   0.174506E+02   0.175091E+03
   0.970255E+02   0.625749E-03   0.878632E+01   0.110005E+02   0.137478E+02   0.183571E+02   0.174808E+03
   0.970255E+02   0.625749E-03   0.104841E+02   0.106991E+02   0.167164E+02   0.183571E+02   0.174650E+03
   0.970255E+02   0.625749E-03   0.104841E+02   0.101486E+02   0.191978E+02   0.149287E+02   0.174720E+03
   0.970255E+02   0.500978E-03   0.104841E+02   0.823743E+01   0.188574E+02   0.105284E+02   0.173218E+03
   0.970255E+02   0.419106E-03   0.109636E+02   0.823743E+01   0.188574E+02   0.105284E+02   0.172374E+03
   0.970255E+02   0.419106E-03   0.109636E+02   0.823743E+01   0.222590E+02   0.123301E+02   0.171844E+03
   0.968281E+02   0.419106E-03   0.112418E+02   0.103030E+02   0.117315E+02   0.123775E+02   0.173466E+03
   0.969726E+02   0.419106E-03   0.112418E+02   0.100360E+02   0.140389E+02   0.123775E+02   0.174295E+03
   0.969726E+02   0.419106E-03   0.112418E+02   0.100360E+02   0.140389E+02   0.123775E+02   0.174295E+03
   0.969726E+02   0.639511E-03   0.772354E+01   0.100360E+02   0.140389E+02   0.123775E+02   0.174848E+03
   0.969726E+02   0.828322E-03   0.622572E+01   0.958851E+01   0.140389E+02   0.123775E+02   0.171780E+03
   0.969726E+02   0.511597E-03   0.748185E+01   0.958851E+01   0.140389E+02   0.215249E+02   0.172900E+03
