a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.101299E+03 -0.161334E-03 -0.139770E+01 -0.111431E+02  0.252425E-04  0.829999E-04  0.302244E-03  0.419953E-03  0.778604E-03  0.482811E-03  0.107692E-02  0.182298E-03  0.147243E+03
  0.101299E+03  0.543325E+00  0.524620E+01  0.218660E+00  0.252425E-04  0.829999E-04  0.302244E-03  0.419953E-03  0.778604E-03  0.482811E-03  0.107692E-02  0.182298E-03  0.147284E+03
  0.101299E+03  0.543325E+00 -0.104378E+01  0.482532E+00  0.252425E-04  0.829999E-04  0.302244E-03  0.419953E-03  0.778604E-03  0.482811E-03  0.107692E-02  0.182298E-03  0.147475E+03
  0.101374E+03  0.310287E+01 -0.104378E+01 -0.607482E+01  0.252425E-04  0.829999E-04  0.302244E-03  0.419953E-03  0.778604E-03  0.482811E-03  0.107692E-02  0.182298E-03  0.146732E+03
  0.101374E+03  0.312483E+01 -0.104378E+01 -0.607482E+01  0.252425E-04  0.829999E-04  0.302244E-03  0.419953E-03  0.778604E-03  0.482811E-03  0.189737E-02  0.182298E-03  0.145406E+03
  0.101374E+03  0.312483E+01  0.202077E+01 -0.607482E+01  0.402552E-03  0.170352E-03  0.302244E-03  0.419953E-03  0.778604E-03  0.482811E-03  0.189737E-02  0.182298E-03  0.144690E+03
  0.101374E+03  0.312483E+01  0.202077E+01  0.947010E+00  0.402552E-03  0.170352E-03  0.302244E-03  0.177148E-02  0.778604E-03  0.482811E-03  0.189737E-02  0.182298E-03  0.143041E+03
  0.101374E+03  0.138383E+01  0.202077E+01  0.456815E+01  0.402552E-03  0.170352E-03  0.302244E-03  0.177148E-02  0.778604E-03  0.482811E-03  0.211101E-02  0.182298E-03  0.142813E+03
  0.101374E+03  0.138383E+01 -0.528676E+01  0.456815E+01  0.402552E-03  0.170352E-03  0.302244E-03  0.177148E-02  0.778604E-03  0.482811E-03  0.211101E-02  0.182298E-03  0.141821E+03
  0.101374E+03  0.138383E+01  0.481216E+00  0.456815E+01  0.402552E-03  0.170352E-03  0.302244E-03  0.177148E-02  0.778604E-03  0.482811E-03  0.133220E-02  0.182298E-03  0.143848E+03
  0.101374E+03  0.138383E+01  0.481216E+00  0.325744E+01  0.402552E-03  0.170352E-03  0.302244E-03  0.177148E-02  0.778604E-03  0.482811E-03  0.133220E-02  0.182298E-03  0.143948E+03
  0.101374E+03  0.340467E+01 -0.104007E+01 -0.163148E+01  0.402552E-03  0.170352E-03  0.302244E-03  0.177148E-02  0.778604E-03  0.482811E-03  0.133220E-02  0.182298E-03  0.143548E+03
  0.101374E+03  0.340467E+01  0.115395E+02  0.256841E+01  0.402552E-03  0.170352E-03  0.302244E-03  0.177148E-02  0.778604E-03  0.482811E-03  0.133220E-02  0.182298E-03  0.142602E+03
  0.101374E+03  0.340467E+01  0.115395E+02  0.109365E+02  0.402552E-03  0.210333E-03  0.302244E-03  0.177148E-02  0.874314E-03  0.482811E-03  0.133220E-02  0.182298E-03  0.142445E+03
  0.101374E+03  0.340467E+01  0.115395E+02  0.383358E+01  0.402552E-03  0.210333E-03  0.302244E-03  0.177148E-02  0.874314E-03  0.482811E-03  0.133220E-02  0.182298E-03  0.142549E+03
