"X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10"
1 0.142680198423947 -0.469463541466555 -0.206758717698059 0.300472000082596 0.242575502425173 -0.186940345234341 -0.257456846674319 0.0946965633879941
1 0.152766313736606 -0.464993680080993 -0.220236493185725 0.289867004935789 0.25589663942082 -0.169886462559667 -0.26753827269026 0.072017837797802
1 0.162852429049266 -0.460218629529131 -0.233481155553749 0.278623768838322 0.268459128026127 -0.152034568682847 -0.276089193239961 0.048726880559904
1 0.172938544361925 -0.455138389810968 -0.246477313936515 0.266759293549994 0.280221186208005 -0.13345416388099 -0.283051273168006 0.0249902524681204
1 0.183024659674585 -0.449752960926504 -0.259209577468407 0.254291667468919 0.291142624588572 -0.114218209956936 -0.288373926372792 0.000979296712186412
1 0.193110774987244 -0.444062342875739 -0.271662555283805 0.24124006563153 0.301184945084785 -0.0944029480666172 -0.292014659216805 -0.0231308775960724
1 0.203196890299904 -0.438066535658673 -0.283820856517093 0.227624749712581 0.310311439548077 -0.074087705602615 -0.293939389333034 -0.0471624510648215
1 0.213283005612563 -0.431765539275307 -0.295669090302653 0.213467068025136 0.318487288403987 -0.0533546921339179 -0.294122738392577 -0.0709359850016339
1 0.223369120925222 -0.42515935372564 -0.307191865774868 0.198789455520585 0.325679659291801 -0.0322887844018894 -0.292548297398504 -0.0942715436822361
1 0.233455236237882 -0.418247979009672 -0.318373792068121 0.183615433788631 0.331857805704179 -0.010977300372426 -0.289208863071023 -0.116989843643505
1 0.243541351550542 -0.411031415127403 -0.329199478316794 0.167969611057293 0.336993165626797 0.0104902376556723 -0.284106643889006 -0.138913425518495
1 0.253627466863201 -0.403509662078834 -0.339653533655269 0.151877682192914 0.341059460177973 0.0320223508861329 -0.277253434352932 -0.159867843714223
1 0.26371358217586 -0.395682719863964 -0.349720567217929 0.135366428700149 0.344032792248308 0.053525862804445 -0.268670756034296 -0.179682869015828
1 0.27379969748852 -0.387550588482793 -0.359385188139157 0.118463718721971 0.345891745140319 0.0749061689008824 -0.258389963976543 -0.19819369898361
1 0.283885812801179 -0.379113267935321 -0.368632005553336 0.101198507039675 0.346617481208072 0.0960675173373309 -0.246452317012591 -0.215242170792389
