a0_min_r_1     a0_flood_r_1   a1_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.115843E+03   0.337932E+02   0.307938E+01   0.195728E-03   0.994323E+01   0.101008E+02   0.128866E+02   0.157753E+02   0.499151E+02  -0.748383E+01   0.000000E+00   0.573989E+02  -0.114798E+03
   0.115843E+03   0.337932E+02   0.307938E+01   0.195728E-03   0.957739E+01   0.103231E+02   0.126356E+02   0.149686E+02   0.499209E+02  -0.747806E+01   0.000000E+00   0.573990E+02  -0.114798E+03
   0.115843E+03   0.337932E+02   0.279943E+01   0.195728E-03   0.896735E+01   0.896351E+01   0.137734E+02   0.149834E+02   0.503466E+02  -0.734359E+01   0.000000E+00   0.576902E+02  -0.115380E+03
   0.115843E+03   0.337932E+02   0.269569E+01   0.195728E-03   0.713247E+01   0.978955E+01   0.134215E+02   0.142311E+02   0.493923E+02  -0.835851E+01   0.000000E+00   0.577508E+02  -0.115502E+03
   0.115843E+03   0.337932E+02   0.291314E+01   0.219717E-03   0.662297E+01   0.981061E+01   0.138952E+02   0.152109E+02   0.485426E+02  -0.896796E+01   0.000000E+00   0.575106E+02  -0.115021E+03
   0.115843E+03   0.337932E+02   0.263762E+01   0.219717E-03   0.662297E+01   0.109934E+02   0.129954E+02   0.165557E+02   0.481805E+02  -0.951048E+01   0.000000E+00   0.576910E+02  -0.115382E+03
   0.115843E+03   0.337932E+02   0.184301E+01   0.219717E-03   0.759713E+01   0.117533E+02   0.129954E+02   0.156868E+02   0.487358E+02  -0.859988E+01   0.000000E+00   0.573357E+02  -0.114671E+03
   0.115843E+03   0.340446E+02   0.184301E+01   0.106934E-03   0.829329E+01   0.123755E+02   0.138763E+02   0.149589E+02   0.495809E+02  -0.828613E+01   0.000000E+00   0.578670E+02  -0.115734E+03
   0.115843E+03   0.340388E+02   0.200751E+01   0.106934E-03   0.956190E+01   0.989023E+01   0.127282E+02   0.165349E+02   0.503716E+02  -0.761902E+01   0.000000E+00   0.579906E+02  -0.115981E+03
   0.115843E+03   0.340388E+02   0.266814E+01   0.106934E-03   0.958891E+01   0.101071E+02   0.116422E+02   0.143365E+02   0.500686E+02  -0.778106E+01   0.000000E+00   0.578497E+02  -0.115699E+03
