a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.101164E+03   0.803344E+01   0.911159E+01   0.120098E+02  -0.599409E+01   0.359387E-03   0.115591E-02   0.168227E-02   0.805586E-03   0.182735E-02   0.431497E-03   0.615982E-03   0.746793E-03   0.180806E+03
   0.101164E+03   0.494474E+01   0.308494E+01   0.628023E+01  -0.138826E+02   0.359387E-03   0.115591E-02   0.168227E-02   0.805586E-03   0.182735E-02   0.431497E-03   0.615982E-03   0.120945E-02   0.180188E+03
   0.101164E+03   0.494474E+01   0.428172E+01   0.201609E+02  -0.602391E+01   0.359387E-03   0.115591E-02   0.168227E-02   0.805586E-03   0.182735E-02   0.431497E-03   0.615982E-03   0.120945E-02   0.180194E+03
   0.101164E+03   0.494474E+01   0.130270E+02   0.201609E+02   0.383874E+01   0.359387E-03   0.213062E-03   0.945814E-04   0.805586E-03   0.182735E-02   0.431497E-03   0.615982E-03   0.120945E-02   0.180945E+03
   0.101164E+03   0.116211E+02   0.130270E+02   0.193028E+02   0.606775E+01   0.359387E-03   0.213062E-03   0.945814E-04   0.805586E-03   0.182735E-02   0.569989E-03   0.615982E-03   0.120945E-02   0.182897E+03
   0.101164E+03   0.116211E+02   0.130270E+02   0.193028E+02   0.606775E+01   0.359387E-03   0.188414E-02   0.945814E-04   0.337787E-03   0.182735E-02   0.569989E-03   0.615982E-03   0.120945E-02   0.180188E+03
   0.102102E+03   0.107246E+02   0.145999E+02   0.588234E+01   0.236392E+02   0.359387E-03   0.188414E-02   0.945814E-04   0.337787E-03   0.182735E-02   0.136355E-02   0.615982E-03   0.120945E-02   0.178796E+03
   0.102578E+03   0.819620E+01   0.787709E+01   0.853106E+01   0.190413E+02   0.359387E-03   0.149519E-02   0.945814E-04   0.337787E-03   0.401939E-03   0.136355E-02   0.615982E-03   0.120945E-02   0.181868E+03
   0.102578E+03   0.819620E+01   0.122583E+02   0.606739E+01   0.146589E+02   0.359387E-03   0.149519E-02   0.945814E-04   0.358251E-03   0.401939E-03   0.136355E-02   0.615982E-03   0.120945E-02   0.183305E+03
   0.102578E+03   0.898974E+01   0.150799E+02   0.131463E+02   0.214356E+02   0.359387E-03   0.154550E-02   0.945814E-04   0.658464E-03   0.401939E-03   0.136355E-02   0.615982E-03   0.104348E-02   0.184543E+03
