a0_min         a0_flood       a1_flood       a2_flood       a3_flood       a4_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.188632E+03   0.374518E+02  -0.605375E+00   0.277270E+01  -0.105793E+01  -0.183305E+01   0.224647E-03   0.864434E+01   0.999616E+01   0.887164E+01   0.984392E+01   0.725213E+02
   0.179202E+03   0.331071E+02  -0.679942E+00   0.275860E+01  -0.100317E+01  -0.164401E+01   0.224647E-03   0.960524E+01   0.102523E+02   0.883978E+01   0.105231E+02   0.731001E+02
   0.178449E+03   0.256848E+02  -0.521982E+00   0.285680E+01  -0.779995E+00  -0.157571E+01   0.228436E-02   0.110884E+02   0.125081E+02   0.913184E+01   0.110335E+02   0.722032E+02
   0.178449E+03   0.278320E+02  -0.586825E+00   0.240675E+01  -0.112819E+01  -0.132189E+01   0.228436E-02   0.129733E+02   0.112643E+02   0.901423E+01   0.111895E+02   0.717104E+02
   0.177240E+03   0.235698E+02  -0.729811E+00   0.224006E+01  -0.136802E+01  -0.105664E+01   0.228436E-02   0.126103E+02   0.101963E+02   0.929461E+01   0.109412E+02   0.725135E+02
   0.165971E+03   0.165335E+02  -0.641752E+00   0.225455E+01  -0.160726E+01  -0.104383E+01   0.228436E-02   0.131357E+02   0.112411E+02   0.847620E+01   0.128906E+02   0.710148E+02
   0.149608E+03   0.181887E+02  -0.681664E+00   0.219110E+01  -0.177129E+01  -0.865138E+00   0.286749E-02   0.128411E+02   0.113077E+02   0.807003E+01   0.123327E+02   0.709621E+02
   0.138749E+03   0.189453E+02  -0.615318E+00   0.220116E+01  -0.151696E+01  -0.102431E+01   0.622803E-02   0.128411E+02   0.939524E+01   0.807003E+01   0.123327E+02   0.702151E+02
   0.140342E+03   0.180911E+02  -0.255812E+00   0.204754E+01  -0.955766E+00  -0.951465E+00   0.881107E-02   0.126255E+02   0.102275E+02   0.794637E+01   0.101677E+02   0.701092E+02
   0.139033E+03   0.231791E+02  -0.297375E+00   0.194689E+01  -0.623688E+00  -0.855284E+00   0.110290E-01   0.112866E+02   0.121439E+02   0.794637E+01   0.900686E+01   0.693577E+02
   0.155673E+03   0.215055E+02  -0.238500E+00   0.176237E+01  -0.395827E+00  -0.837888E+00   0.973014E-02   0.110828E+02   0.115112E+02   0.785802E+01   0.120162E+02   0.698427E+02
   0.166712E+03   0.233553E+02  -0.668044E-01   0.166863E+01  -0.228887E+00  -0.109133E+01   0.101518E-01   0.984719E+01   0.104621E+02   0.785802E+01   0.123199E+02   0.700267E+02
   0.173123E+03   0.180506E+02   0.199331E+00   0.162825E+01  -0.160424E-01  -0.122106E+01   0.101518E-01   0.984719E+01   0.100494E+02   0.833723E+01   0.105054E+02   0.710707E+02
   0.166528E+03   0.201637E+02   0.482782E+00   0.144138E+01  -0.108410E+00  -0.664206E+00   0.667382E-02   0.108278E+02   0.891549E+01   0.946422E+01   0.108082E+02   0.724170E+02
   0.173299E+03   0.181477E+02   0.443079E+00   0.123801E+01  -0.270773E+00  -0.986561E+00   0.615864E-02   0.886465E+01   0.890441E+01   0.106621E+02   0.998189E+01   0.726884E+02
   0.178100E+03   0.161137E+02   0.843514E+00   0.144353E+01  -0.430686E+00  -0.710305E+00   0.615864E-02   0.886465E+01   0.890441E+01   0.113042E+02   0.119432E+02   0.719265E+02
   0.193310E+03   0.893601E+01   0.554927E+00   0.131288E+01  -0.271414E+00  -0.486892E+00   0.586578E-02   0.886465E+01   0.846418E+01   0.113042E+02   0.119432E+02   0.719165E+02
   0.201258E+03   0.100360E+02   0.544235E+00   0.137996E+01  -0.215505E+00  -0.101691E+01   0.297403E-02   0.101106E+02   0.930660E+01   0.113042E+02   0.114527E+02   0.730299E+02
   0.199005E+03   0.655094E+01   0.631474E+00   0.130146E+01   0.217328E+00  -0.976457E+00   0.297403E-02   0.889717E+01   0.103469E+02   0.109291E+02   0.948722E+01   0.734064E+02
   0.197874E+03   0.653199E+01   0.848889E+00   0.100794E+01   0.540335E+00  -0.139508E+01   0.297403E-02   0.985938E+01   0.111616E+02   0.107145E+02   0.109869E+02   0.730747E+02
   0.213552E+03   0.138798E+02   0.101562E+01   0.123811E+01   0.733688E+00  -0.143608E+01   0.379847E-02   0.114069E+02   0.111951E+02   0.110691E+02   0.110457E+02   0.720779E+02
   0.221731E+03   0.199314E+02   0.101193E+01   0.105589E+01   0.603329E+00  -0.118835E+01   0.379847E-02   0.120671E+02   0.959211E+01   0.119998E+02   0.107492E+02   0.710383E+02
   0.234787E+03   0.199314E+02   0.106400E+01   0.821054E+00   0.585063E+00  -0.130428E+01   0.464690E-02   0.124191E+02   0.818890E+01   0.123805E+02   0.977123E+01   0.699856E+02
   0.239648E+03   0.251900E+02   0.978571E+00   0.118816E+01   0.357635E+00  -0.115944E+01   0.577275E-02   0.117142E+02   0.887402E+01   0.123805E+02   0.100452E+02   0.695551E+02
   0.259983E+03   0.237491E+02   0.978571E+00   0.130543E+01   0.213305E+00  -0.114422E+01   0.577275E-02   0.128082E+02   0.923250E+01   0.115281E+02   0.106332E+02   0.688650E+02
   0.266367E+03   0.273976E+02   0.712822E+00   0.170818E+01   0.735855E+00  -0.109770E+01   0.577275E-02   0.121489E+02   0.989809E+01   0.115281E+02   0.106332E+02   0.685282E+02
   0.255673E+03   0.281277E+02   0.100220E+01   0.151870E+01   0.103739E+01  -0.133478E+01   0.300179E-02   0.105656E+02   0.742581E+01   0.118848E+02   0.100721E+02   0.689639E+02
   0.255673E+03   0.227543E+02   0.108800E+01   0.182629E+01   0.906010E+00  -0.155753E+01   0.125663E-02   0.109727E+02   0.777411E+01   0.118848E+02   0.102321E+02   0.699014E+02
   0.258377E+03   0.239104E+02   0.109935E+01   0.200292E+01   0.736000E+00  -0.148962E+01   0.125663E-02   0.115936E+02   0.918106E+01   0.112006E+02   0.100753E+02   0.702505E+02
   0.266576E+03   0.219981E+02   0.139047E+01   0.197265E+01   0.405374E+00  -0.151788E+01   0.156955E-02   0.130608E+02   0.819110E+01   0.100798E+02   0.106979E+02   0.692892E+02
   0.271975E+03   0.235235E+02   0.143162E+01   0.222699E+01   0.312079E+00  -0.136419E+01   0.887964E-03   0.130608E+02   0.716013E+01   0.770660E+01   0.103672E+02   0.676010E+02
   0.271975E+03   0.140245E+02   0.140666E+01   0.192179E+01   0.191877E+00  -0.160937E+01   0.887964E-03   0.140501E+02   0.716013E+01   0.723138E+01   0.956516E+01   0.680977E+02
   0.273031E+03   0.131168E+02   0.136678E+01   0.179445E+01   0.166206E+00  -0.168915E+01   0.139818E-02   0.131580E+02   0.778641E+01   0.723138E+01   0.751265E+01   0.685621E+02
   0.275852E+03   0.125483E+02   0.120637E+01   0.157248E+01   0.151932E+00  -0.195408E+01   0.173667E-02   0.135203E+02   0.808519E+01   0.808963E+01   0.796138E+01   0.695694E+02
