a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.979624E+02  -0.442182E-01   0.448493E-03   0.118585E+02   0.929202E+01   0.173135E+02   0.143275E+02   0.174626E+03  -0.816795E+01   0.000000E+00   0.182794E+03  -0.365588E+03
   0.979624E+02  -0.442182E-01   0.448493E-03   0.123697E+02   0.760676E+01   0.127556E+02   0.196031E+02   0.172766E+03  -0.100284E+02   0.000000E+00   0.182794E+03  -0.365589E+03
   0.979624E+02  -0.254423E+00   0.448493E-03   0.123697E+02   0.760676E+01   0.126786E+02   0.178669E+02   0.173316E+03  -0.944158E+01   0.000000E+00   0.182758E+03  -0.365515E+03
   0.979624E+02  -0.254423E+00   0.448493E-03   0.129374E+02   0.640361E+01   0.163760E+02   0.150103E+02   0.172189E+03  -0.105683E+02   0.000000E+00   0.182757E+03  -0.365515E+03
   0.979624E+02   0.156961E-01   0.448493E-03   0.125421E+02   0.114171E+02   0.163760E+02   0.150103E+02   0.174139E+03  -0.866391E+01   0.000000E+00   0.182803E+03  -0.365606E+03
   0.979624E+02   0.156961E-01   0.448493E-03   0.126237E+02   0.859437E+01   0.163760E+02   0.147454E+02   0.174327E+03  -0.847676E+01   0.000000E+00   0.182804E+03  -0.365608E+03
   0.980583E+02  -0.101881E+01   0.448493E-03   0.116963E+02   0.110519E+02   0.106531E+02   0.185976E+02   0.172595E+03  -0.986216E+01   0.000000E+00   0.182457E+03  -0.364914E+03
   0.980583E+02  -0.101881E+01   0.448493E-03   0.944479E+01   0.110519E+02   0.964966E+01   0.185976E+02   0.172206E+03  -0.102520E+02   0.000000E+00   0.182458E+03  -0.364916E+03
   0.980583E+02   0.113687E+01   0.448493E-03   0.105954E+02   0.106130E+02   0.964966E+01   0.167160E+02   0.172977E+03  -0.970892E+01   0.000000E+00   0.182686E+03  -0.365372E+03
   0.980583E+02  -0.703751E+00   0.448493E-03   0.831945E+01   0.847088E+01   0.964966E+01   0.167160E+02   0.172633E+03  -0.992299E+01   0.000000E+00   0.182556E+03  -0.365112E+03
   0.980583E+02  -0.703751E+00   0.448493E-03   0.104395E+02   0.720510E+01   0.183706E+02   0.165900E+02   0.173271E+03  -0.928467E+01   0.000000E+00   0.182556E+03  -0.365111E+03
   0.980583E+02  -0.703751E+00   0.448493E-03   0.890739E+01   0.722613E+01   0.183706E+02   0.165900E+02   0.173307E+03  -0.924931E+01   0.000000E+00   0.182556E+03  -0.365113E+03
   0.980583E+02  -0.703751E+00   0.433675E-03   0.107385E+02   0.722613E+01   0.198377E+02   0.165900E+02   0.172492E+03  -0.987236E+01   0.000000E+00   0.182364E+03  -0.364729E+03
   0.980583E+02  -0.149553E+01   0.433675E-03   0.107385E+02   0.735509E+01   0.181779E+02   0.166466E+02   0.172910E+03  -0.915985E+01   0.000000E+00   0.182070E+03  -0.364140E+03
   0.980583E+02   0.133090E+00   0.433675E-03   0.966180E+01   0.954601E+01   0.181779E+02   0.166466E+02   0.174405E+03  -0.811365E+01   0.000000E+00   0.182519E+03  -0.365037E+03
   0.976670E+02   0.133090E+00   0.433675E-03   0.121967E+02   0.929474E+01   0.181779E+02   0.166466E+02   0.173981E+03  -0.883797E+01   0.000000E+00   0.182819E+03  -0.365638E+03
   0.978399E+02   0.133090E+00   0.433675E-03   0.134730E+02   0.131772E+02   0.181779E+02   0.999112E+01   0.170531E+03  -0.122070E+02   0.000000E+00   0.182738E+03  -0.365476E+03
   0.975441E+02   0.246020E+01   0.433675E-03   0.134730E+02   0.125512E+02   0.174630E+02   0.135771E+02   0.172497E+03  -0.100063E+02   0.000000E+00   0.182503E+03  -0.365007E+03
   0.970683E+02   0.246020E+01   0.515818E-03   0.134758E+02   0.125109E+02   0.174630E+02   0.108669E+02   0.172010E+03  -0.109386E+02   0.000000E+00   0.182949E+03  -0.365897E+03
   0.970683E+02   0.246020E+01   0.515818E-03   0.100526E+02   0.118892E+02   0.140011E+02   0.108669E+02   0.174170E+03  -0.877904E+01   0.000000E+00   0.182949E+03  -0.365898E+03
   0.970683E+02   0.246020E+01   0.515818E-03   0.949637E+01   0.775489E+01   0.119353E+02   0.108669E+02   0.173753E+03  -0.919558E+01   0.000000E+00   0.182949E+03  -0.365897E+03
   0.970683E+02   0.377432E+01   0.515818E-03   0.949637E+01   0.775489E+01   0.150076E+02   0.108669E+02   0.173563E+03  -0.877171E+01   0.000000E+00   0.182335E+03  -0.364669E+03
   0.970683E+02   0.377432E+01   0.554231E-03   0.105616E+02   0.988615E+01   0.150076E+02   0.111422E+02   0.174385E+03  -0.814954E+01   0.000000E+00   0.182535E+03  -0.365069E+03
   0.970683E+02   0.447564E+01   0.554231E-03   0.111695E+02   0.988615E+01   0.150076E+02   0.133109E+02   0.174515E+03  -0.757242E+01   0.000000E+00   0.182087E+03  -0.364175E+03
   0.964581E+02   0.447564E+01   0.492055E-03   0.111695E+02   0.988615E+01   0.150076E+02   0.153982E+02   0.172906E+03  -0.754826E+01   0.000000E+00   0.180454E+03  -0.360909E+03
   0.969050E+02   0.447564E+01   0.492055E-03   0.117452E+02   0.108828E+02   0.138443E+02   0.115929E+02   0.172923E+03  -0.849000E+01   0.000000E+00   0.181413E+03  -0.362826E+03
