IDTRANS;DIST;pk;ALTI_MOY
2329;11687,5;50260;191,4388
2331;11697,5;50250;191,4412
2332;11702,5;50245;191,4351
2333;11707,5;50240;191,4302
2335;11717,5;50230;191,4267
2336;11722,5;50225;191,4174
2338;11732,5;50215;191,4275
2339;11737,5;50210;191,4172
2340;11742,5;50205;191,4123
2342;11752,5;50195;191,4073
2343;11757,5;50190;191,4103
2345;11767,5;50180;191,4065
2346;11772,5;50175;191,4142
2347;11777,5;50170;191,4049
2349;11787,5;50160;191,4023
2350;11792,5;50155;191,4024
2352;11802,5;50145;191,3970
2353;11807,5;50140;191,4034
2354;11812,5;50135;191,3959
2356;11822,5;50125;191,3927
2357;11827,5;50120;191,3814
2359;11837,5;50110;191,3785
2360;11842,5;50105;191,3770
2362;11852,5;50095;191,3677
2363;11857,5;50090;191,3593
2365;11867,5;50080;191,3633
2366;11872,5;50075;191,3582
2368;11882,5;50065;191,3445
2369;11887,5;50060;191,3525
2371;11897,5;50050;191,3512
2372;11902,5;50045;191,3433
2374;11912,5;50035;191,3401
2375;11917,5;50030;191,3261
2377;11927,5;50020;191,3254
2378;11932,5;50015;191,3081
2380;11942,5;50005;191,3108
2381;11947,5;50000;191,3235
2383;11957,5;49990;191,3109
2384;11962,5;49985;191,3219
2386;11972,5;49975;191,3053
2387;11977,5;49970;191,3118
2389;11987,5;49960;191,3149
2390;11992,5;49955;191,3096
2391;11997,5;49950;191,3129
2393;12007,5;49940;191,3073
2394;12012,5;49935;191,3078
2395;12017,5;49930;191,3073
2397;12027,5;49920;191,3026
2398;12032,5;49915;191,3204
2399;12037,5;49910;191,3042
2401;12047,5;49900;191,3093
2402;12052,5;49895;191,3098
2403;12057,5;49890;191,2945
2404;12062,5;49885;191,3046
2406;12072,5;49875;191,3029
2407;12077,5;49870;191,2987
2408;12082,5;49865;191,2945
2410;12092,5;49855;191,3055
2411;12097,5;49850;191,2935
2412;12102,5;49845;191,2993
2414;12112,5;49835;191,3016
2415;12117,5;49830;191,2936
2416;12122,5;49825;191,2964
2418;12132,5;49815;191,2789
2419;12137,5;49810;191,2804
2420;12142,5;49805;191,2785
2421;12147,5;49800;191,2881
2423;12157,5;49790;191,2816
2424;12162,5;49785;191,2604
2425;12167,5;49780;191,2619
2427;12177,5;49770;191,2641
2428;12182,5;49765;191,2747
2429;12187,5;49760;191,2638
2430;12192,5;49755;191,2722
2432;12202,5;49745;191,2708
2433;12207,5;49740;191,2497
2434;12212,5;49735;191,2579
2435;12217,5;49730;191,2705
2437;12227,5;49720;191,2626
2438;12232,5;49715;191,2660
2439;12237,5;49710;191,2553
2440;12242,5;49705;191,2640
2441;12247,5;49700;191,2571
2443;12257,5;49690;191,2487
2444;12262,5;49685;191,2641
2445;12267,5;49680;191,2643
2446;12272,5;49675;191,2597
2447;12277,5;49670;191,2563
2448;12282,5;49665;191,2539
2450;12292,5;49655;191,2573
2451;12297,5;49650;191,2561
2452;12302,5;49645;191,2561
2453;12307,5;49640;191,2485
2454;12312,5;49635;191,2540
2455;12317,5;49630;191,2605
2457;12327,5;49620;191,2461
2458;12332,5;49615;191,2443
2459;12337,5;49610;191,2543
2460;12342,5;49605;191,2398
2461;12347,5;49600;191,2442
2463;12357,5;49590;191,2397
2464;12362,5;49585;191,2523
2465;12367,5;49580;191,2459
2466;12372,5;49575;191,2347
2467;12377,5;49570;191,2387
2468;12382,5;49565;191,2284
2469;12387,5;49560;191,2338
2471;12397,5;49550;191,2428
2472;12402,5;49545;191,2374
2473;12407,5;49540;191,2042
2474;12412,5;49535;191,2328
2475;12417,5;49530;191,2406
2476;12422,5;49525;191,2260
2477;12427,5;49520;191,2308
2479;12437,5;49510;191,2253
2480;12442,5;49505;191,2233
2481;12447,5;49500;191,2296
2482;12452,5;49495;191,2176
2483;12457,5;49490;191,1997
2484;12462,5;49485;191,1889
2485;12467,5;49480;191,1964
2487;12477,5;49470;191,1902
2488;12482,5;49465;191,1845
2489;12487,5;49460;191,1835
2490;12492,5;49455;191,1825
2492;12502,5;49445;191,1903
