Km_a0          Km_a1          Km_a2          Km_a3          Km_a4          Km_a5          Km_a6          Km_a7          Km_a8          Km_a9          Km_a10         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.350396E+02   0.152701E+02   0.599950E+01   0.248970E+02   0.261078E+02   0.660129E+01  -0.781288E+01   0.264688E+01  -0.157141E+02  -0.475884E+02  -0.194645E+02   0.376370E-02   0.458784E-02   0.105034E-01   0.143049E-01   0.187278E-02   0.302139E+03
   0.349085E+02   0.155279E+02   0.100294E+02   0.252205E+02   0.261078E+02   0.660129E+01  -0.730418E+01  -0.262616E+01  -0.129892E+02  -0.465031E+02  -0.208771E+02   0.146926E-02   0.255715E-02   0.891033E-02   0.163556E-01   0.700578E-02   0.302447E+03
   0.342261E+02   0.152642E+02   0.917997E+01   0.244548E+02   0.252159E+02   0.520117E+01  -0.603480E+01   0.128479E+01  -0.122789E+02  -0.475638E+02  -0.189072E+02   0.543260E-02   0.194659E-01   0.485962E-03   0.273795E-01   0.423782E-03   0.299255E+03
   0.340079E+02   0.144211E+02   0.683734E+01   0.218590E+02   0.258549E+02   0.747281E+01  -0.529965E+01   0.180947E+01  -0.125973E+02  -0.470009E+02  -0.158557E+02   0.138169E-03   0.166427E-01   0.440509E-03   0.544528E-01   0.266378E-02   0.299052E+03
   0.341897E+02   0.152838E+02   0.956618E+01   0.215792E+02   0.258549E+02   0.997003E+01  -0.468624E+01  -0.118259E+01  -0.109244E+02  -0.450037E+02  -0.187773E+02   0.349341E-02   0.103628E-02   0.302011E-01   0.939347E-02   0.713942E-02   0.301083E+03
   0.342725E+02   0.148687E+02   0.105132E+02   0.211926E+02   0.236621E+02   0.116565E+02  -0.261658E+01  -0.390444E+01  -0.105523E+02  -0.464184E+02  -0.169317E+02   0.649518E-02   0.381297E-02   0.184574E-01   0.952249E-02   0.150648E-01   0.298813E+03
   0.335202E+02   0.164430E+02   0.149568E+02   0.211926E+02   0.232989E+02   0.152288E+02   0.149865E+01  -0.277506E+01  -0.105274E+02  -0.439060E+02  -0.178508E+02   0.178616E-02   0.891914E-02   0.963676E-02   0.204195E-02   0.847247E-02   0.296617E+03
   0.331678E+02   0.159069E+02   0.129742E+02   0.224514E+02   0.262037E+02   0.119809E+02   0.318645E+01   0.827858E+00  -0.900858E+01  -0.402806E+02  -0.146997E+02   0.300982E-02   0.727767E-02   0.772169E-02   0.501265E-02   0.214674E-01   0.296640E+03
   0.339087E+02   0.158385E+02   0.949474E+01   0.229001E+02   0.265850E+02   0.107201E+02  -0.175437E+01   0.297638E+01  -0.121991E+02  -0.415719E+02  -0.119066E+02   0.970103E-02   0.226660E-02   0.476166E-02   0.140669E-01   0.990430E-04   0.298056E+03
   0.340993E+02   0.145691E+02   0.820837E+01   0.215989E+02   0.267545E+02   0.680764E+01  -0.536577E+01   0.318682E+01  -0.130356E+02  -0.442892E+02  -0.109573E+02   0.157821E-02   0.272862E-02   0.650171E-02   0.120084E-01   0.149780E-01   0.297322E+03
   0.334099E+02   0.145115E+02   0.643126E+01   0.224977E+02   0.252752E+02   0.651644E+01  -0.536577E+01  -0.431039E+00  -0.984821E+01  -0.405633E+02  -0.224282E+02   0.113430E-02   0.357504E-01   0.325655E-02   0.922395E-03   0.857407E-03   0.297547E+03
   0.339110E+02   0.146066E+02   0.801726E+01   0.212973E+02   0.244552E+02   0.847905E+01  -0.496665E+01  -0.409817E+01  -0.103104E+02  -0.431959E+02  -0.267266E+02   0.568420E-02   0.168627E-01   0.317153E-02   0.169980E-01   0.281941E-02   0.297504E+03
