Km_a0         Km_a1         Km_a2         Km_a3         Km_a4         Km_a5         Km_a6         Km_a7         Km_a8         Km_a9         Km_a10        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.297036E+02  0.326405E+01 -0.290620E+01  0.731191E+01  0.109202E+02  0.587203E+01  0.305445E+01  0.312687E+01 -0.556741E+01 -0.249896E+02  0.421266E+01  0.279769E-02  0.138310E-01  0.126555E-02  0.218037E-02  0.212565E-01  0.287432E+03
  0.297036E+02  0.326405E+01 -0.310579E+01  0.731191E+01  0.109202E+02  0.587203E+01  0.296616E+01  0.133484E+01 -0.556741E+01 -0.249896E+02  0.421266E+01  0.303054E-02  0.138020E-01  0.188302E-02  0.211197E-02  0.192118E-01  0.288808E+03
  0.297036E+02  0.326405E+01 -0.310579E+01  0.886413E+01  0.109202E+02  0.587203E+01  0.296616E+01  0.266235E+01 -0.556741E+01 -0.249896E+02  0.421266E+01  0.273580E-02  0.117564E-01  0.300326E-03  0.326568E-02  0.197910E-01  0.287781E+03
  0.297036E+02  0.326405E+01 -0.364037E+01  0.886413E+01  0.103705E+02  0.587203E+01 -0.283533E+00  0.266235E+01 -0.556741E+01 -0.249896E+02 -0.435857E+01  0.387109E-02  0.127493E-01  0.227019E-03  0.496023E-02  0.204018E-01  0.285153E+03
  0.293122E+02  0.326405E+01 -0.364037E+01  0.886413E+01  0.103705E+02  0.587203E+01 -0.283533E+00 -0.105772E+01 -0.556741E+01 -0.249896E+02 -0.207869E+01  0.368967E-02  0.124610E-01  0.227019E-03  0.466565E-02  0.205216E-01  0.287782E+03
  0.293122E+02  0.326405E+01 -0.364037E+01  0.886413E+01  0.103705E+02  0.587203E+01 -0.283533E+00  0.307084E+01 -0.556741E+01 -0.239869E+02  0.932175E+00  0.324908E-02  0.134330E-01  0.111603E-02  0.466565E-02  0.202472E-01  0.287859E+03
  0.293122E+02  0.326405E+01 -0.364037E+01  0.886413E+01  0.103705E+02  0.587203E+01 -0.283533E+00  0.307084E+01 -0.556741E+01 -0.269217E+02 -0.386056E+01  0.271942E-02  0.145638E-01  0.842707E-03  0.466565E-02  0.209758E-01  0.286839E+03
  0.293122E+02  0.326405E+01 -0.364037E+01  0.742335E+01  0.122595E+02  0.587203E+01 -0.191519E+01  0.307084E+01 -0.556741E+01 -0.269217E+02 -0.345152E+01  0.217331E-02  0.130686E-01  0.710305E-03  0.468643E-02  0.204183E-01  0.287781E+03
  0.293122E+02  0.326405E+01 -0.317934E+01  0.882173E+01  0.122595E+02  0.396185E+01 -0.191519E+01  0.307084E+01 -0.220469E+01 -0.269217E+02 -0.345152E+01  0.299684E-02  0.127461E-01  0.710305E-03  0.601711E-02  0.202164E-01  0.288896E+03
  0.293122E+02  0.326405E+01 -0.317934E+01  0.882173E+01  0.122595E+02  0.614007E+01 -0.191519E+01  0.734672E-01 -0.220469E+01 -0.269217E+02 -0.769860E+01  0.253500E-02  0.155303E-01  0.710305E-03  0.616720E-02  0.201070E-01  0.286843E+03
  0.293122E+02  0.326405E+01 -0.317934E+01  0.882173E+01  0.122595E+02  0.614007E+01 -0.321696E+01 -0.172471E+01 -0.220469E+01 -0.269217E+02 -0.769860E+01  0.334719E-02  0.167000E-01  0.710305E-03  0.664734E-02  0.194906E-01  0.285587E+03
  0.293122E+02  0.326405E+01 -0.317934E+01  0.882173E+01  0.122595E+02  0.614007E+01 -0.321696E+01  0.119398E+01 -0.220469E+01 -0.269217E+02 -0.769860E+01  0.190425E-02  0.160467E-01  0.150666E-02  0.776441E-02  0.193930E-01  0.286612E+03
  0.293122E+02  0.326405E+01 -0.317934E+01  0.882173E+01  0.122595E+02  0.614007E+01 -0.345996E+01  0.119398E+01 -0.934028E+00 -0.269217E+02 -0.769860E+01  0.315017E-02  0.168891E-01  0.388558E-02  0.727389E-02  0.191676E-01  0.286213E+03
  0.293122E+02  0.326405E+01 -0.496339E+01  0.882173E+01  0.131790E+02  0.614007E+01 -0.345996E+01  0.119398E+01 -0.934028E+00 -0.200502E+02 -0.769860E+01  0.311647E-02  0.179693E-01  0.371568E-02  0.845443E-02  0.191926E-01  0.284701E+03
  0.293122E+02  0.326405E+01 -0.496339E+01  0.882173E+01  0.131790E+02  0.614007E+01 -0.345996E+01  0.119398E+01 -0.934028E+00 -0.209821E+02 -0.644945E+01  0.466398E-02  0.180029E-01  0.407035E-02  0.851322E-02  0.200105E-01  0.286001E+03
  0.293122E+02  0.326405E+01 -0.496339E+01  0.882173E+01  0.131790E+02  0.614007E+01 -0.345996E+01  0.119398E+01 -0.934028E+00 -0.223297E+02 -0.515005E+00  0.466398E-02  0.182632E-01  0.289617E-02  0.842189E-02  0.194309E-01  0.286130E+03
  0.300835E+02  0.326405E+01 -0.496339E+01  0.882173E+01  0.131790E+02  0.835002E+01 -0.345996E+01 -0.747540E+00 -0.934028E+00 -0.274985E+02 -0.515005E+00  0.503926E-02  0.175583E-01  0.358129E-02  0.116608E-01  0.197048E-01  0.280172E+03
  0.300835E+02  0.326405E+01 -0.496339E+01  0.882173E+01  0.131790E+02  0.835002E+01 -0.345996E+01  0.422519E+01 -0.934028E+00 -0.274985E+02  0.215796E+01  0.567769E-02  0.186639E-01  0.225255E-02  0.136746E-01  0.223176E-01  0.280059E+03
  0.300835E+02  0.326405E+01 -0.496339E+01  0.882173E+01  0.131790E+02  0.835002E+01 -0.345996E+01  0.422519E+01 -0.222743E+01 -0.246740E+02  0.215796E+01  0.669853E-02  0.176396E-01  0.302995E-02  0.134200E-01  0.221680E-01  0.282721E+03
