a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.993304E+02  0.496581E+01  0.250398E-03  0.887938E+01  0.955775E+01  0.172257E+02  0.167105E+02  0.399077E+02
  0.993304E+02  0.496581E+01  0.302952E-03  0.887938E+01  0.104498E+02  0.164061E+02  0.150935E+02  0.401428E+02
  0.993304E+02  0.496581E+01  0.302952E-03  0.937899E+01  0.109432E+02  0.149019E+02  0.138979E+02  0.402960E+02
  0.993304E+02  0.323047E+01  0.302952E-03  0.954544E+01  0.101261E+02  0.147074E+02  0.151249E+02  0.405656E+02
  0.993304E+02  0.774413E+00  0.474155E-04  0.102828E+02  0.101261E+02  0.147074E+02  0.128222E+02  0.406280E+02
  0.993304E+02  0.774413E+00  0.261934E-03  0.982147E+01  0.978837E+01  0.139429E+02  0.153813E+02  0.405536E+02
  0.993304E+02 -0.332803E+01  0.455649E-04  0.851068E+01  0.105994E+02  0.149718E+02  0.143080E+02  0.397303E+02
  0.993304E+02 -0.332803E+01  0.891965E-04  0.931164E+01  0.112868E+02  0.147439E+02  0.137863E+02  0.396675E+02
  0.993304E+02  0.260563E+01  0.891965E-04  0.100156E+02  0.105496E+02  0.177698E+02  0.138401E+02  0.402761E+02
  0.993304E+02  0.349662E+01  0.643260E-03  0.971641E+01  0.102341E+02  0.204562E+02  0.125541E+02  0.377179E+02
  0.993304E+02  0.349662E+01  0.643260E-03  0.919436E+01  0.827597E+01  0.198497E+02  0.150798E+02  0.379314E+02
  0.993304E+02  0.349662E+01  0.643260E-03  0.105378E+02  0.827597E+01  0.198472E+02  0.144865E+02  0.378752E+02
  0.993304E+02  0.574191E+00  0.823506E-04  0.103597E+02  0.867907E+01  0.200016E+02  0.115736E+02  0.387112E+02
  0.993304E+02 -0.549835E+00  0.823506E-04  0.114958E+02  0.835127E+01  0.208980E+02  0.119164E+02  0.378745E+02
  0.993304E+02  0.145246E+01  0.429780E-03  0.114958E+02  0.949404E+01  0.219417E+02  0.109729E+02  0.367097E+02
  0.995943E+02  0.263212E+01  0.429780E-03  0.109816E+02  0.101386E+02  0.218998E+02  0.125103E+02  0.375359E+02
  0.995943E+02  0.263212E+01  0.368732E-03  0.116151E+02  0.910700E+01  0.216975E+02  0.122722E+02  0.375080E+02
  0.995943E+02  0.263212E+01  0.419249E-03  0.127084E+02  0.890895E+01  0.236522E+02  0.122722E+02  0.358259E+02
  0.995943E+02  0.749490E+01  0.419249E-03  0.137712E+02  0.938816E+01  0.239229E+02  0.118991E+02  0.345318E+02
  0.100637E+03  0.749490E+01  0.419249E-03  0.121709E+02  0.947117E+01  0.239518E+02  0.118991E+02  0.347002E+02
  0.100637E+03 -0.590690E+01  0.419249E-03  0.120233E+02  0.104377E+02  0.231492E+02  0.118991E+02  0.347332E+02
  0.100637E+03  0.506641E+00  0.408088E-03  0.120233E+02  0.821503E+01  0.236040E+02  0.135628E+02  0.356298E+02
  0.100637E+03  0.506641E+00  0.233988E-03  0.107916E+02  0.861335E+01  0.252054E+02  0.165660E+02  0.355271E+02
  0.100637E+03  0.438786E+01  0.233988E-03  0.102067E+02  0.774629E+01  0.243259E+02  0.156713E+02  0.357239E+02
  0.100637E+03  0.438786E+01  0.233988E-03  0.931538E+01  0.990992E+01  0.243259E+02  0.160997E+02  0.362599E+02
  0.100637E+03  0.438786E+01  0.233988E-03  0.871579E+01  0.857564E+01  0.230378E+02  0.159762E+02  0.366992E+02
  0.100637E+03  0.438786E+01  0.233988E-03  0.854445E+01  0.938840E+01  0.232116E+02  0.152474E+02  0.368049E+02
  0.100637E+03  0.323444E+01  0.233988E-03  0.104633E+02  0.999093E+01  0.250843E+02  0.145929E+02  0.360048E+02
  0.100637E+03  0.323444E+01  0.233988E-03  0.110414E+02  0.993635E+01  0.218428E+02  0.149123E+02  0.375240E+02
  0.100637E+03  0.323444E+01  0.741551E-04  0.104314E+02  0.857679E+01  0.229806E+02  0.149271E+02  0.371290E+02
  0.100637E+03 -0.529171E+01  0.741551E-04  0.964838E+01  0.674191E+01  0.229806E+02  0.145751E+02  0.349483E+02
  0.100637E+03  0.531058E+00  0.741551E-04  0.100833E+02  0.675071E+01  0.222164E+02  0.146067E+02  0.362227E+02
  0.100637E+03  0.531058E+00  0.741551E-04  0.117194E+02  0.797624E+01  0.222164E+02  0.134347E+02  0.368232E+02
  0.100637E+03  0.531058E+00  0.741551E-04  0.117194E+02  0.768826E+01  0.230334E+02  0.134347E+02  0.362281E+02
  0.100637E+03  0.531058E+00  0.741551E-04  0.109869E+02  0.710902E+01  0.208094E+02  0.134762E+02  0.370502E+02
  0.100637E+03  0.200228E+00  0.707024E-03  0.116091E+02  0.769630E+01  0.200815E+02  0.128395E+02  0.361562E+02
  0.100632E+03  0.283236E+01  0.234940E-03  0.111138E+02  0.735256E+01  0.173647E+02  0.128395E+02  0.382212E+02
  0.100632E+03  0.283236E+01  0.234940E-03  0.111408E+02  0.756941E+01  0.162787E+02  0.106411E+02  0.376616E+02
  0.100632E+03  0.283236E+01  0.234940E-03  0.109558E+02  0.813816E+01  0.170042E+02  0.113772E+02  0.383812E+02
  0.100632E+03  0.507101E+01  0.417700E-03  0.109658E+02  0.102389E+02  0.165636E+02  0.109663E+02  0.380062E+02
  0.995898E+02  0.507101E+01  0.417700E-03  0.102402E+02  0.101738E+02  0.165636E+02  0.109663E+02  0.388942E+02
  0.995898E+02  0.507101E+01  0.417700E-03  0.988119E+01  0.106698E+02  0.165636E+02  0.127225E+02  0.395775E+02
  0.995898E+02  0.507101E+01  0.417700E-03  0.118440E+02  0.968415E+01  0.181125E+02  0.114122E+02  0.382794E+02
  0.995898E+02  0.507101E+01  0.417700E-03  0.116803E+02  0.107139E+02  0.184238E+02  0.114122E+02  0.381012E+02
  0.995898E+02 -0.140627E+01  0.304941E-03  0.115155E+02  0.987787E+01  0.188347E+02  0.113463E+02  0.381972E+02
  0.995898E+02  0.912199E+01  0.304941E-03  0.111427E+02  0.980737E+01  0.192454E+02  0.127642E+02  0.382130E+02
  0.995898E+02  0.387618E+01  0.286051E-03  0.103560E+02  0.901379E+01  0.217459E+02  0.127642E+02  0.381618E+02
  0.995898E+02  0.387618E+01  0.286051E-03  0.868790E+01  0.901379E+01  0.196209E+02  0.127642E+02  0.390308E+02
  0.995898E+02  0.178292E+01  0.286051E-03  0.935306E+01  0.916744E+01  0.193427E+02  0.128780E+02  0.393220E+02
  0.995898E+02  0.178292E+01  0.286051E-03  0.935306E+01  0.904983E+01  0.195767E+02  0.126966E+02  0.391721E+02
