a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.101212E+03  0.577058E+01 -0.687897E+00  0.422775E-03  0.183345E-02  0.242403E-02  0.854349E-03  0.413220E-03  0.135618E-02  0.117074E-02  0.778140E-03  0.178300E+03
  0.101212E+03 -0.780289E-01 -0.687897E+00  0.422775E-03  0.183345E-02  0.242403E-02  0.854349E-03  0.413220E-03  0.135618E-02  0.117074E-02  0.778140E-03  0.178626E+03
  0.101212E+03 -0.780289E-01 -0.687897E+00  0.422775E-03  0.183345E-02  0.123175E-02  0.854349E-03  0.413220E-03  0.135618E-02  0.117074E-02  0.147673E-02  0.178914E+03
  0.101212E+03 -0.780289E-01 -0.687897E+00  0.422775E-03  0.183345E-02  0.123175E-02  0.854349E-03  0.413220E-03  0.135618E-02  0.117074E-02  0.147673E-02  0.178914E+03
  0.101212E+03 -0.780289E-01  0.124868E+02  0.422775E-03  0.183345E-02  0.123175E-02  0.854349E-03  0.413220E-03  0.135618E-02  0.117074E-02  0.147673E-02  0.177220E+03
  0.101212E+03 -0.199372E+01  0.764570E+01  0.422775E-03  0.183345E-02  0.123175E-02  0.104103E-02  0.413220E-03  0.135618E-02  0.117074E-02  0.147673E-02  0.177379E+03
  0.101212E+03 -0.745759E+01 -0.313411E+01  0.136517E-02  0.183345E-02  0.123175E-02  0.104103E-02  0.413220E-03  0.135618E-02  0.117074E-02  0.147673E-02  0.174094E+03
  0.101212E+03 -0.298391E+01 -0.738094E+00  0.136517E-02  0.183345E-02  0.146181E-02  0.104103E-02  0.413220E-03  0.135618E-02  0.117074E-02  0.180228E-02  0.175400E+03
  0.101212E+03 -0.298391E+01  0.101359E+02  0.136517E-02  0.183345E-02  0.146181E-02  0.104103E-02  0.413220E-03  0.135618E-02  0.117074E-02  0.180228E-02  0.174352E+03
  0.101212E+03  0.145358E+02  0.134253E+02  0.136517E-02  0.751610E-03  0.146181E-02  0.104103E-02  0.413220E-03  0.135618E-02  0.117074E-02  0.180228E-02  0.174993E+03
  0.101212E+03  0.124716E+02  0.134253E+02  0.136517E-02  0.751610E-03  0.702294E-03  0.104103E-02  0.413220E-03  0.135618E-02  0.117074E-02  0.180228E-02  0.177565E+03
  0.101212E+03  0.509981E+01  0.134253E+02  0.154470E-02  0.751610E-03  0.702294E-03  0.104103E-02  0.413220E-03  0.135618E-02  0.117074E-02  0.927782E-03  0.180146E+03
  0.101212E+03  0.509981E+01  0.771842E+01  0.154470E-02  0.751610E-03  0.702294E-03  0.104103E-02  0.413220E-03  0.135618E-02  0.150217E-02  0.927782E-03  0.180865E+03
  0.101212E+03  0.509981E+01 -0.287633E+01  0.154470E-02  0.103611E-02  0.702294E-03  0.104103E-02  0.413220E-03  0.135618E-02  0.150217E-02  0.927782E-03  0.179151E+03
  0.101212E+03  0.509981E+01 -0.287633E+01  0.154470E-02  0.103611E-02  0.702294E-03  0.104103E-02  0.684963E-03  0.135618E-02  0.150217E-02  0.927782E-03  0.179204E+03
  0.101212E+03 -0.506170E+00 -0.287633E+01  0.179435E-02  0.103611E-02  0.702294E-03  0.104103E-02  0.684963E-03  0.135618E-02  0.150217E-02  0.927782E-03  0.178465E+03
  0.101476E+03  0.968404E+00 -0.981593E+00  0.179435E-02  0.103611E-02  0.702294E-03  0.477344E-03  0.684963E-03  0.135618E-02  0.153943E-02  0.927782E-03  0.178630E+03
  0.101476E+03  0.968404E+00 -0.981593E+00  0.179435E-02  0.103611E-02  0.702294E-03  0.477344E-03  0.684963E-03  0.135618E-02  0.153943E-02  0.938763E-03  0.178604E+03
  0.101476E+03  0.968404E+00  0.147740E+02  0.179435E-02  0.103611E-02  0.702294E-03  0.477344E-03  0.684963E-03  0.217663E-02  0.408784E-03  0.151799E-02  0.177517E+03
  0.101476E+03 -0.395181E+01  0.147740E+02  0.179435E-02  0.112346E-02  0.702294E-03  0.477344E-03  0.684963E-03  0.217663E-02  0.408784E-03  0.151799E-02  0.175233E+03
  0.101476E+03 -0.395181E+01 -0.793544E+01  0.179435E-02  0.112346E-02  0.702294E-03  0.477344E-03  0.203649E-02  0.217663E-02  0.408784E-03  0.151799E-02  0.171910E+03
  0.101476E+03 -0.395181E+01 -0.793544E+01  0.179435E-02  0.112346E-02  0.702294E-03  0.477344E-03  0.203649E-02  0.217663E-02  0.408784E-03  0.151799E-02  0.171910E+03
  0.101476E+03 -0.395181E+01 -0.793544E+01  0.179435E-02  0.112346E-02  0.702294E-03  0.477344E-03  0.203649E-02  0.217663E-02  0.408784E-03  0.151799E-02  0.171910E+03
  0.101476E+03 -0.135540E+01 -0.793544E+01  0.179435E-02  0.112346E-02  0.702294E-03  0.477344E-03  0.203649E-02  0.217663E-02  0.408784E-03  0.114371E-02  0.173855E+03
  0.101476E+03 -0.135540E+01 -0.100825E+00  0.101553E-02  0.112346E-02  0.122893E-02  0.477344E-03  0.203649E-02  0.732060E-03  0.408784E-03  0.114371E-02  0.179061E+03
  0.101476E+03  0.412215E+01  0.112486E+02  0.101553E-02  0.112346E-02  0.122893E-02  0.477344E-03  0.373580E-03  0.732060E-03  0.408784E-03  0.114371E-02  0.182433E+03
  0.101476E+03  0.526377E+00  0.112486E+02  0.101553E-02  0.324293E-03  0.122893E-02  0.224642E-02  0.373580E-03  0.732060E-03  0.453685E-03  0.114371E-02  0.181192E+03
  0.101476E+03  0.526377E+00  0.413022E+01  0.101553E-02  0.324293E-03  0.122893E-02  0.117994E-02  0.373580E-03  0.732060E-03  0.453685E-03  0.114371E-02  0.183251E+03
  0.101476E+03  0.606338E+00 -0.501671E+00  0.111124E-02  0.324293E-03  0.122893E-02  0.117994E-02  0.373580E-03  0.732060E-03  0.453685E-03  0.114371E-02  0.182414E+03
  0.101476E+03  0.606338E+00 -0.501671E+00  0.111124E-02  0.324293E-03  0.122893E-02  0.117994E-02  0.373580E-03  0.732060E-03  0.453685E-03  0.114371E-02  0.182414E+03
  0.101476E+03  0.606338E+00 -0.501671E+00  0.123699E-02  0.324293E-03  0.122893E-02  0.117994E-02  0.373580E-03  0.732060E-03  0.453685E-03  0.114371E-02  0.182148E+03
