"X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15"
1 0.227248321558518 -0.422537300523254 -0.311533701605307 0.193010831494684 0 0 0 0 0 0 0 0 0
1 0.213449184443491 -0.431659168490613 -0.295861618748789 0.213229389215354 0 0 0 0 0 0 0 0 0
1 0.199650047328465 -0.440209787902612 -0.279579873200994 0.232475604822796 0 0 0 0 0 0 0 0 0
1 0.185850910213439 -0.448189158759254 -0.262727878647631 0.250692492145502 0 0 0 0 0 0 0 0 0
1 0.172051773098412 -0.455597281060539 -0.24534504877441 0.267826872135935 0 0 0 0 0 0 0 0 0
1 0.158252635983386 -0.462434154806465 -0.227470797267044 0.283829372870533 0 0 0 0 0 0 0 0 0
1 0.14445349886836 -0.468699779997033 -0.209144537811243 0.298654429549705 0 0 0 0 0 0 0 0 0
1 0.130654361753333 -0.474394156632244 -0.190405684092716 0.312260284497837 0 0 0 0 0 0 0 0 0
1 0.116855224638306 -0.479517284712096 -0.171293649797175 0.324608987163285 0 0 0 0 0 0 0 0 0
1 0.10305608752328 -0.484069164236591 -0.151847848610332 0.335666394118379 0 0 0 0 0 0 0 0 0
1 0.0892569504082537 -0.488049795205728 -0.132107694217896 0.345402169059424 0 0 0 0 0 0 0 0 0
1 0.0754578132932271 -0.491459177619507 -0.112112600305578 0.353789782806696 0 0 0 0 0 0 0 0 0
1 0.0616586761782003 -0.494297311477928 -0.0919019805590878 0.360806513304447 0 0 0 0 0 0 0 0 0
1 0.0478595390631744 -0.496564196780991 -0.071515248664139 0.366433445620899 0 0 0 0 0 0 0 0 0
1 0.0340604019481479 -0.498259833528696 -0.0509918183064396 0.370655471948249 0 0 0 0 0 0 0 0 0
1 0.0202612648331211 -0.499384221721043 -0.0303711031717009 0.37346129160267 0 0 0 0 0 0 0 0 0
1 0.00646212771809451 -0.499937361358033 -0.0096925169456343 0.374843411024303 0 0 0 0 0 0 0 0 0
1 -0.00733700939693149 -0.499919252439664 0.011004526686049 0.374798143777265 0 0 0 0 0 0 0 0 0
1 -0.0211361465119582 -0.499329894965938 0.03168061403764 0.373325610549649 0 0 0 0 0 0 0 0 0
1 -0.0349352836269847 -0.498169288936853 0.0522963314234269 0.370429739153516 0 0 0 0 0 0 0 0 0
1 -0.0487344207420107 -0.496437434352411 0.0728122651576984 0.366118264524904 0 0 0 0 0 0 0 0 0
1 -0.0625335578570374 -0.494134331212611 0.0931890015547454 0.360402728723822 0 0 0 0 0 0 0 0 0
1 -0.0763326949720641 -0.491259979517453 0.113387126928856 0.353298480934256 0 0 0 0 0 0 0 0 0
1 -0.0901318320870906 -0.487814379266937 0.13336722759432 0.344824677464161 0 0 0 0 0 0 0 0 0
1 -0.103930969202117 -0.483797530461063 0.153089889865426 0.335004281745469 0 0 0 0 0 0 0 0 0
1 -0.117730106317143 -0.479209433099831 0.172515700056464 0.323864064334082 0 0 0 0 0 0 0 0 0
1 -0.13152924343217 -0.474050087183241 0.191605244481723 0.311434602909876 0 0 0 0 0 0 0 0 0
1 -0.145328380547197 -0.468319492711294 0.210319109455493 0.297750282276704 0 0 0 0 0 0 0 0 0
1 -0.159127517662223 -0.462017649683989 0.228617881292061 0.282849294362387 0 0 0 0 0 0 0 0 0
1 -0.172926654777249 -0.455144558101325 0.246462146305719 0.266773638218723 0 0 0 0 0 0 0 0 0
1 -0.186725791892276 -0.447700217963304 0.263812490810754 0.249569120021482 0 0 0 0 0 0 0 0 0
1 -0.200524929007302 -0.439684629269924 0.280629501121458 0.231285353070407 0 0 0 0 0 0 0 0 0
1 -0.214324066122328 -0.431097792021188 0.296873763552117 0.211975757789216 0 0 0 0 0 0 0 0 0
1 -0.228123203237355 -0.421939706217093 0.312505864417023 0.191697561725597 0 0 0 0 0 0 0 0 0
1 -0.241922340352382 -0.41221037185764 0.327486390030464 0.170511799551215 0 0 0 0 0 0 0 0 0
1 -0.255721477467408 -0.401909788942829 0.341775926706729 0.148483313061707 0 0 0 0 0 0 0 0 0
1 -0.269520614582434 -0.39103795747266 0.355335060760108 0.125680751176681 0 0 0 0 0 0 0 0 0
1 -0.283319751697461 -0.379594877447134 0.368124378504891 0.102176569939721 0 0 0 0 0 0 0 0 0
1 -0.297118888812488 -0.367580548866249 0.380104466255365 0.0780470325183855 0 0 0 0 0 0 0 0 0
1 -0.310918025927514 -0.354994971730007 0.391235910325821 0.0533722092042036 0 0 0 0 0 0 0 0 0
1 -0.32471716304254 -0.341838146038406 0.401479297030548 0.028235977412677 0 0 0 0 0 0 0 0 0
1 -0.338516300157567 -0.328110071791448 0.410795212683836 0.00272602168328362 0 0 0 0 0 0 0 0 0
1 -0.352315437272593 -0.313810748989133 0.419144243599972 -0.0230661663205257 0 0 0 0 0 0 0 0 0
1 -0.36611457438762 -0.298940177631458 0.426486976093248 -0.0490452878113301 0 0 0 0 0 0 0 0 0
1 -0.379913711502646 -0.283498357718426 0.432783996477951 -0.0751122368777318 0 0 0 0 0 0 0 0 0
1 -0.393712848617673 -0.267485289250036 0.437995891068372 -0.101164100484361 0 0 0 0 0 0 0 0 0
1 -0.407511985732699 -0.250900972226288 0.442083246178799 -0.127094158471874 0 0 0 0 0 0 0 0 0
1 -0.421311122847725 -0.233745406647183 0.445006648123522 -0.152791883556954 0 0 0 0 0 0 0 0 0
1 -0.435110259962752 -0.216018592512719 0.44672668321683 -0.178142941332313 0 0 0 0 0 0 0 0 0
1 -0.448909397077779 -0.197720529822898 0.447203937773013 -0.203029190266687 0 0 0 0 0 0 0 0 0
1 -0.462708534192805 -0.178851218577719 0.446398998106359 -0.227328681704838 0 0 0 0 0 0 0 0 0
1 -0.476507671307831 -0.159410658777182 0.444272450531158 -0.250915659867559 0 0 0 0 0 0 0 0 0
1 -0.490306808422858 -0.139398850421286 0.440784881361699 -0.273660561851665 0 0 0 0 0 0 0 0 0
1 -0.504105945537885 -0.118815793510033 0.435896876912272 -0.295430017630001 0 0 0 0 0 0 0 0 0
1 -0.517905082652911 -0.0976614880434228 0.429569023497166 -0.316086850051435 0 0 0 0 0 0 0 0 0
1 -0.531704219767937 -0.0759359340214538 0.421761907430669 -0.335490074840866 0 0 0 0 0 0 0 0 0
1 -0.545503356882964 -0.0536391314441266 0.412436115027072 -0.353494900599218 0 0 0 0 0 0 0 0 0
1 -0.55930249399799 -0.0307710803114429 0.401552232600664 -0.369952728803439 0 0 0 0 0 0 0 0 0
1 -0.573101631113016 -0.00733178062340017 0.389070846465733 -0.384711153806509 0 0 0 0 0 0 0 0 0
1 -0.586900768228043 0.0166787676200009 0.37495254293657 -0.39761396283743 0 0 0 0 0 0 0 0 0
1 -0.60069990534307 0.0412605644187594 0.359157908327463 -0.408501136001232 0 0 0 0 0 0 0 0 0
1 -0.614499042458096 0.066413609772876 0.341647528952701 -0.417208846278974 0 0 0 0 0 0 0 0 0
1 -0.628298179573122 0.0921379036823493 0.322381991126575 -0.423569459527737 0 0 0 0 0 0 0 0 0
1 -0.642097316688149 0.118433446147182 0.301321881163373 -0.427411534480634 0 0 0 0 0 0 0 0 0
1 -0.655896453803176 0.145300237167372 0.278427785377384 -0.428559822746801 0 0 0 0 0 0 0 0 0
1 -0.669695590918202 0.172738276742919 0.253660290082899 -0.426835268811401 0 0 0 0 0 0 0 0 0
