KP,Cote,ID_Cal,Date
58925,193.029,158,13/02/11
58920,193.0275,158,13/02/11
58915,193.0358,158,13/02/11
58910,193.026,158,13/02/11
58905,193.0259,158,13/02/11
58900,193.0386,158,13/02/11
58895,193.0282,158,13/02/11
58890,193.0235,158,13/02/11
58885,193.0209,158,13/02/11
58880,193.0254,158,13/02/11
58875,193.0247,158,13/02/11
58870,193.0292,158,13/02/11
58865,193.0304,158,13/02/11
58860,193.0215,158,13/02/11
58855,193.0288,158,13/02/11
58850,193.0232,158,13/02/11
58845,193.0274,158,13/02/11
58840,193.0287,158,13/02/11
58835,193.0225,158,13/02/11
58830,193.0213,158,13/02/11
58825,193.0279,158,13/02/11
58820,193.0333,158,13/02/11
58815,193.0276,158,13/02/11
58810,193.0282,158,13/02/11
58805,193.0262,158,13/02/11
58800,193.0272,158,13/02/11
58795,193.0275,158,13/02/11
58790,193.0231,158,13/02/11
58785,193.0281,158,13/02/11
58780,193.0243,158,13/02/11
58775,193.0276,158,13/02/11
58770,193.0286,158,13/02/11
58765,193.0306,158,13/02/11
58760,193.03,158,13/02/11
58755,193.0254,158,13/02/11
58750,193.0278,158,13/02/11
58745,193.0245,158,13/02/11
58740,193.0263,158,13/02/11
58735,193.0336,158,13/02/11
58730,193.0308,158,13/02/11
58725,193.0299,158,13/02/11
58720,193.0233,158,13/02/11
58715,193.0296,158,13/02/11
58710,193.0296,158,13/02/11
58705,193.0241,158,13/02/11
58700,193.024,158,13/02/11
58695,193.0237,158,13/02/11
58690,193.0266,158,13/02/11
58685,193.0274,158,13/02/11
58680,193.0231,158,13/02/11
58675,193.0197,158,13/02/11
58670,193.0278,158,13/02/11
58665,193.035,158,13/02/11
58660,193.026,158,13/02/11
58655,193.0238,158,13/02/11
58650,193.025,158,13/02/11
58645,193.0261,158,13/02/11
58640,193.0246,158,13/02/11
58635,193.0217,158,13/02/11
58630,193.0153,158,13/02/11
58625,193.0246,158,13/02/11
58620,193.0217,158,13/02/11
58615,193.0105,158,13/02/11
58610,193.0227,158,13/02/11
58605,193.021,158,13/02/11
58600,193.0151,158,13/02/11
58595,193.0213,158,13/02/11
58590,193.0112,158,13/02/11
58585,193.0119,158,13/02/11
58580,193.022,158,13/02/11
58575,193.0184,158,13/02/11
58570,193.0116,158,13/02/11
58565,193.0156,158,13/02/11
58560,193.0165,158,13/02/11
58555,193.0077,158,13/02/11
58550,193.012,158,13/02/11
58545,193.018,158,13/02/11
58540,193.017,158,13/02/11
58535,193.0093,158,13/02/11
58530,193.0073,158,13/02/11
58525,193.015,158,13/02/11
58520,193.0134,158,13/02/11
58515,193.0122,158,13/02/11
58510,193.0129,158,13/02/11
58505,193.0113,158,13/02/11
58500,193.0086,158,13/02/11
58495,193.0189,158,13/02/11
58490,193.0135,158,13/02/11
58485,193.011,158,13/02/11
58480,193.0157,158,13/02/11
58475,193.0168,158,13/02/11
58470,193.0186,158,13/02/11
58465,193.0132,158,13/02/11
58460,193.0135,158,13/02/11
58455,193.0204,158,13/02/11
58450,193.015,158,13/02/11
58445,193.0167,158,13/02/11
58440,193.0209,158,13/02/11
58435,193.0217,158,13/02/11
58430,193.0169,158,13/02/11
58425,193.014,158,13/02/11
58420,193.0251,158,13/02/11
58415,193.0156,158,13/02/11
58410,193.0178,158,13/02/11
58405,193.0299,158,13/02/11
58400,193.0156,158,13/02/11
58395,193.0246,158,13/02/11
58390,193.0295,158,13/02/11
58385,193.0136,158,13/02/11
58380,193.0242,158,13/02/11
58375,193.0249,158,13/02/11
58370,193.0146,158,13/02/11
58365,193.0108,158,13/02/11
58360,193.0244,158,13/02/11
58355,193.0218,158,13/02/11
58350,193.0262,158,13/02/11
58345,193.0249,158,13/02/11
58340,193.0246,158,13/02/11
58335,193.0132,158,13/02/11
58330,193.0181,158,13/02/11
58325,193.0114,158,13/02/11
58320,192.9966,158,13/02/11
58315,192.9967,158,13/02/11
58310,193.0053,158,13/02/11
58305,193.0043,158,13/02/11
58300,193.0065,158,13/02/11
58295,192.989,158,13/02/11
58290,192.9973,158,13/02/11
58285,192.9933,158,13/02/11
58280,192.9964,158,13/02/11
58275,192.9953,158,13/02/11
58270,192.9867,158,13/02/11
58265,192.9925,158,13/02/11
58260,192.983,158,13/02/11
58255,192.9868,158,13/02/11
58250,192.9824,158,13/02/11
58245,193.0018,158,13/02/11
58240,192.9867,158,13/02/11
58235,192.9898,158,13/02/11
58230,192.9949,158,13/02/11
58225,192.9944,158,13/02/11
58220,192.9937,158,13/02/11
58215,192.9878,158,13/02/11
58210,192.9861,158,13/02/11
58205,192.9843,158,13/02/11
58200,192.9957,158,13/02/11
58195,192.992,158,13/02/11
58190,192.9834,158,13/02/11
58185,192.9868,158,13/02/11
58180,192.9865,158,13/02/11
58175,192.9844,158,13/02/11
58170,192.9813,158,13/02/11
58165,192.9827,158,13/02/11
58160,192.9804,158,13/02/11
58155,192.9744,158,13/02/11
58150,192.9742,158,13/02/11
58145,192.9808,158,13/02/11
58140,192.9733,158,13/02/11
58135,192.9731,158,13/02/11
58130,192.9733,158,13/02/11
58125,192.9736,158,13/02/11
58120,192.9704,158,13/02/11
58115,192.9661,158,13/02/11
58110,192.964,158,13/02/11
58105,192.9688,158,13/02/11
58100,192.9626,158,13/02/11
58095,192.9622,158,13/02/11
58090,192.9608,158,13/02/11
58085,192.967,158,13/02/11
58080,192.9619,158,13/02/11
58075,192.9622,158,13/02/11
58070,192.9627,158,13/02/11
58065,192.9552,158,13/02/11
58060,192.959,158,13/02/11
58055,192.9566,158,13/02/11
58050,192.9571,158,13/02/11
58045,192.9606,158,13/02/11
58040,192.9604,158,13/02/11
58035,192.9536,158,13/02/11
58030,192.9546,158,13/02/11
58025,192.9667,158,13/02/11
58020,192.9603,158,13/02/11
58015,192.9409,158,13/02/11
58010,192.957,158,13/02/11
58005,192.96,158,13/02/11
