a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101302E+03   0.390668E+01  -0.364548E+01   0.104468E+02  -0.551593E+01   0.215582E-03   0.857705E-04   0.153376E-03   0.161364E-02   0.190044E+03   0.000000E+00   0.000000E+00   0.190044E+03  -0.380088E+03
   0.101302E+03   0.608243E+01   0.450546E+01   0.104468E+02  -0.802578E+01   0.215582E-03   0.857705E-04   0.153376E-03   0.161364E-02   0.190207E+03   0.000000E+00   0.000000E+00   0.190207E+03  -0.380414E+03
   0.101302E+03   0.608243E+01   0.450546E+01   0.134306E+02   0.111472E+02   0.215582E-03   0.186731E-03   0.153376E-03   0.132644E-02   0.192822E+03   0.000000E+00   0.000000E+00   0.192822E+03  -0.385644E+03
   0.101302E+03   0.608243E+01   0.450546E+01   0.134306E+02   0.833168E+01   0.215582E-03   0.186731E-03   0.153376E-03   0.132644E-02   0.192953E+03   0.000000E+00   0.000000E+00   0.192953E+03  -0.385906E+03
   0.101812E+03   0.608243E+01   0.356987E+01   0.196983E+02  -0.111659E+01   0.215582E-03   0.186731E-03   0.153376E-03   0.132644E-02   0.190513E+03   0.000000E+00   0.000000E+00   0.190513E+03  -0.381026E+03
   0.101812E+03   0.608243E+01   0.606840E+01   0.214442E+02   0.565570E+01   0.215582E-03   0.186731E-03   0.153376E-03   0.132644E-02   0.191203E+03   0.000000E+00   0.000000E+00   0.191203E+03  -0.382406E+03
   0.101812E+03   0.608243E+01   0.606840E+01   0.140884E+02   0.565570E+01   0.215582E-03   0.186731E-03   0.153376E-03   0.132644E-02   0.193047E+03   0.000000E+00   0.000000E+00   0.193047E+03  -0.386094E+03
   0.101219E+03   0.530453E+01   0.606840E+01   0.109295E+02   0.325812E+01   0.215582E-03   0.186731E-03   0.243708E-03   0.132644E-02   0.192620E+03   0.000000E+00   0.000000E+00   0.192620E+03  -0.385240E+03
   0.101219E+03   0.530453E+01   0.783739E+01   0.515593E+01   0.957336E+01   0.215582E-03   0.186731E-03   0.243708E-03   0.132644E-02   0.192307E+03   0.000000E+00   0.000000E+00   0.192307E+03  -0.384614E+03
   0.101219E+03   0.530453E+01   0.103102E+02   0.515593E+01   0.760252E+01   0.215582E-03   0.186731E-03   0.243708E-03   0.132644E-02   0.191385E+03   0.000000E+00   0.000000E+00   0.191385E+03  -0.382770E+03
   0.101797E+03   0.208742E+01   0.691389E+01   0.799684E+01  -0.608372E+01   0.215582E-03   0.405586E-03   0.243708E-03   0.132644E-02   0.189795E+03   0.000000E+00   0.000000E+00   0.189795E+03  -0.379590E+03
   0.100855E+03   0.469543E+01   0.670407E+01   0.834580E+01   0.132239E+01   0.215582E-03   0.405586E-03   0.243708E-03   0.132644E-02   0.191178E+03   0.000000E+00   0.000000E+00   0.191178E+03  -0.382356E+03
   0.100855E+03  -0.196179E+01   0.500157E+01   0.462781E+01   0.662308E+01   0.215582E-03   0.405586E-03   0.804546E-03   0.132644E-02   0.184916E+03   0.000000E+00   0.000000E+00   0.184916E+03  -0.369832E+03
   0.100111E+03   0.386472E+01   0.942841E+00   0.880767E+01  -0.632812E+01   0.215582E-03   0.405586E-03   0.804546E-03   0.197194E-02   0.185081E+03   0.000000E+00   0.000000E+00   0.185081E+03  -0.370162E+03
   0.100111E+03   0.386472E+01   0.467016E+00  -0.659404E+01  -0.161655E+02   0.215582E-03   0.405586E-03   0.804546E-03   0.197194E-02   0.182911E+03   0.000000E+00   0.000000E+00   0.182911E+03  -0.365822E+03
   0.100253E+03   0.835799E+01   0.467016E+00  -0.156953E+01  -0.102170E+02   0.215582E-03   0.405586E-03   0.804546E-03   0.781138E-03   0.184047E+03   0.000000E+00   0.000000E+00   0.184047E+03  -0.368094E+03
   0.994644E+02  -0.156604E+01  -0.314875E+01  -0.156953E+01   0.127354E+02   0.785686E-03   0.661264E-03   0.804546E-03   0.781138E-03   0.182282E+03   0.000000E+00   0.000000E+00   0.182282E+03  -0.364564E+03
   0.100953E+03  -0.156604E+01  -0.377689E+01   0.780725E+01  -0.182858E+00   0.648294E-03   0.120158E-02   0.804546E-03   0.781138E-03   0.179715E+03   0.000000E+00   0.000000E+00   0.179715E+03  -0.359430E+03
   0.101798E+03   0.886583E+01   0.228301E+01  -0.109243E+01   0.365938E+01   0.643103E-03   0.120158E-02   0.804546E-03   0.990681E-03   0.179271E+03   0.000000E+00   0.000000E+00   0.179271E+03  -0.358542E+03
   0.101798E+03   0.205360E+01   0.105735E+01  -0.109243E+01  -0.238603E+02   0.643103E-03   0.168430E-02   0.804546E-03   0.990681E-03   0.178087E+03   0.000000E+00   0.000000E+00   0.178087E+03  -0.356174E+03
   0.101798E+03  -0.347720E+00  -0.379817E+01  -0.124253E+02  -0.213721E+02   0.713493E-03   0.168430E-02   0.804546E-03   0.990681E-03   0.178649E+03   0.000000E+00   0.000000E+00   0.178649E+03  -0.357298E+03
   0.101798E+03  -0.171582E+01  -0.132822E+01  -0.139279E+02  -0.549589E+01   0.713493E-03   0.168430E-02   0.804546E-03   0.118976E-02   0.179162E+03   0.000000E+00   0.000000E+00   0.179162E+03  -0.358324E+03
   0.101798E+03   0.175045E+00  -0.699079E+01  -0.237822E+02  -0.266903E+02   0.212703E-02   0.168690E-02   0.804546E-03   0.118976E-02   0.173853E+03   0.000000E+00   0.000000E+00   0.173853E+03  -0.347706E+03
   0.101798E+03   0.306490E+00  -0.699079E+01  -0.186790E+02  -0.708651E+01   0.212703E-02   0.168690E-02   0.804546E-03   0.118976E-02   0.173666E+03   0.000000E+00   0.000000E+00   0.173666E+03  -0.347332E+03
   0.101395E+03  -0.806894E+01  -0.734415E+00  -0.490970E+01   0.155862E+01   0.212703E-02   0.168690E-02   0.261027E-03   0.118976E-02   0.176472E+03   0.000000E+00   0.000000E+00   0.176472E+03  -0.352944E+03
   0.101395E+03  -0.806894E+01  -0.277482E+01  -0.153253E+02   0.343432E+01   0.212703E-02   0.243418E-03   0.261027E-03   0.118976E-02   0.180724E+03   0.000000E+00   0.000000E+00   0.180724E+03  -0.361448E+03
   0.101395E+03  -0.573090E+01   0.140534E+01  -0.153253E+02  -0.345339E-01   0.212703E-02   0.243418E-03   0.261027E-03   0.118976E-02   0.183573E+03   0.000000E+00   0.000000E+00   0.183573E+03  -0.367146E+03
   0.101395E+03  -0.573090E+01   0.140534E+01  -0.137653E+02   0.450435E+01   0.307451E-02   0.243418E-03   0.261027E-03   0.187377E-02   0.180030E+03   0.000000E+00   0.000000E+00   0.180030E+03  -0.360060E+03
   0.101395E+03   0.224113E+01   0.140534E+01   0.786333E+01  -0.823490E+00   0.213171E-02   0.243418E-03   0.261027E-03   0.187377E-02   0.184399E+03   0.000000E+00   0.000000E+00   0.184399E+03  -0.368798E+03
   0.100067E+03   0.354730E+01   0.140534E+01   0.259036E+01  -0.147995E+01   0.213171E-02   0.243418E-03   0.261027E-03   0.187377E-02   0.183160E+03   0.000000E+00   0.000000E+00   0.183160E+03  -0.366320E+03
   0.100067E+03   0.354730E+01  -0.428099E+01   0.280309E+01  -0.462642E+01   0.343200E-02   0.243418E-03   0.261027E-03   0.187377E-02   0.179925E+03   0.000000E+00   0.000000E+00   0.179925E+03  -0.359850E+03
   0.100067E+03   0.354730E+01  -0.911260E+01  -0.815573E+01   0.657532E+01   0.343200E-02   0.243418E-03   0.261027E-03   0.187377E-02   0.175191E+03   0.000000E+00   0.000000E+00   0.175191E+03  -0.350382E+03
   0.100067E+03   0.354730E+01  -0.413525E+01   0.300581E+01   0.243188E+01   0.343200E-02   0.243418E-03   0.261027E-03   0.187377E-02   0.179639E+03   0.000000E+00   0.000000E+00   0.179639E+03  -0.359278E+03
   0.100062E+03   0.354730E+01  -0.413525E+01   0.650126E+01   0.243188E+01   0.904476E-03   0.243418E-03   0.261027E-03   0.187377E-02   0.187414E+03   0.000000E+00   0.000000E+00   0.187414E+03  -0.374828E+03
   0.100062E+03   0.131541E+01  -0.605949E+01  -0.114022E+01   0.600523E+01   0.904476E-03   0.243418E-03   0.261027E-03   0.165671E-02   0.187628E+03   0.000000E+00   0.000000E+00   0.187628E+03  -0.375256E+03
   0.100062E+03   0.618735E+00  -0.605949E+01  -0.114022E+01  -0.275552E+01   0.904476E-03   0.243418E-03   0.261027E-03   0.165671E-02   0.188608E+03   0.000000E+00   0.000000E+00   0.188608E+03  -0.377216E+03
