a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.100000E+03   0.601678E+02   0.487655E-03   0.628310E+01   0.127218E+02   0.300031E-03   0.152691E+02   0.629211E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.967666E+01   0.111455E+02   0.374241E-03   0.141390E+02   0.657217E+02
   0.100000E+03   0.605351E+02   0.389679E-03   0.967666E+01   0.111455E+02   0.428275E-03   0.128888E+02   0.655310E+02
   0.100000E+03   0.605351E+02   0.389679E-03   0.967666E+01   0.111455E+02   0.392321E-03   0.128888E+02   0.656282E+02
   0.100000E+03   0.605351E+02   0.528412E-03   0.967666E+01   0.111455E+02   0.392321E-03   0.122601E+02   0.647921E+02
   0.100000E+03   0.578060E+02   0.528412E-03   0.112634E+02   0.111455E+02   0.984279E-03   0.122247E+02   0.628783E+02
   0.100000E+03   0.580384E+02   0.528412E-03   0.883166E+01   0.912745E+01   0.108430E-02   0.189700E+02   0.627334E+02
   0.100000E+03   0.580384E+02   0.528412E-03   0.883166E+01   0.912745E+01   0.108430E-02   0.133646E+02   0.636063E+02
   0.100000E+03   0.581111E+02   0.528412E-03   0.883166E+01   0.912745E+01   0.426277E-03   0.133646E+02   0.651638E+02
   0.100000E+03   0.592143E+02   0.528412E-03   0.922573E+01   0.912745E+01   0.136581E-03   0.157019E+02   0.662722E+02
   0.100000E+03   0.592143E+02   0.289047E-03   0.878679E+01   0.912745E+01   0.136581E-03   0.164687E+02   0.667646E+02
   0.100000E+03   0.592143E+02   0.289047E-03   0.100945E+02   0.905249E+01   0.136581E-03   0.164687E+02   0.668224E+02
   0.100000E+03   0.591490E+02   0.289047E-03   0.100945E+02   0.905249E+01   0.136581E-03   0.177448E+02   0.664926E+02
   0.100000E+03   0.591490E+02   0.289047E-03   0.100945E+02   0.905249E+01   0.136581E-03   0.177448E+02   0.664926E+02
   0.100000E+03   0.591490E+02   0.289047E-03   0.119104E+02   0.878970E+01   0.136581E-03   0.137270E+02   0.664029E+02
   0.100000E+03   0.591490E+02   0.289047E-03   0.119104E+02   0.106781E+02   0.136581E-03   0.121968E+02   0.660441E+02
   0.100000E+03   0.591490E+02   0.289047E-03   0.119104E+02   0.852369E+01   0.136581E-03   0.121968E+02   0.660043E+02
   0.100000E+03   0.591490E+02   0.445645E-03   0.140828E+02   0.936937E+01   0.136581E-03   0.128792E+02   0.651332E+02
   0.100000E+03   0.587665E+02   0.445645E-03   0.132660E+02   0.936937E+01   0.700249E-03   0.128792E+02   0.642095E+02
   0.100000E+03   0.587665E+02   0.445645E-03   0.132660E+02   0.936937E+01   0.700249E-03   0.163772E+02   0.641633E+02
