a0_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.100634E+03   0.251122E-03   0.988042E+01   0.946961E+01   0.183322E+03
   0.100634E+03   0.868494E-03   0.988042E+01   0.946961E+01   0.181785E+03
   0.100634E+03   0.868494E-03   0.920524E+01   0.946961E+01   0.181520E+03
   0.100634E+03   0.868494E-03   0.920524E+01   0.946717E+01   0.181519E+03
   0.100634E+03   0.868494E-03   0.920524E+01   0.893121E+01   0.181088E+03
   0.100634E+03   0.868494E-03   0.920524E+01   0.744755E+01   0.177566E+03
   0.986020E+02   0.895668E-03   0.101780E+02   0.911102E+01   0.179421E+03
   0.986020E+02   0.895668E-03   0.105125E+02   0.108888E+02   0.179172E+03
   0.100427E+03   0.895668E-03   0.105125E+02   0.108888E+02   0.180919E+03
   0.100427E+03   0.581169E-03   0.105512E+02   0.111047E+02   0.184415E+03
   0.100427E+03   0.581169E-03   0.105512E+02   0.110638E+02   0.184457E+03
   0.100427E+03   0.581169E-03   0.105512E+02   0.109745E+02   0.184544E+03
   0.100427E+03   0.581169E-03   0.103537E+02   0.107421E+02   0.184844E+03
   0.100427E+03   0.581169E-03   0.105579E+02   0.107421E+02   0.184737E+03
   0.100443E+03   0.581169E-03   0.888638E+01   0.107421E+02   0.184354E+03
   0.100443E+03   0.411859E-03   0.104975E+02   0.103430E+02   0.185261E+03
   0.100443E+03   0.411859E-03   0.101664E+02   0.105126E+02   0.185313E+03
   0.100443E+03   0.411859E-03   0.105324E+02   0.905556E+01   0.184938E+03
   0.100443E+03   0.411859E-03   0.945667E+01   0.949814E+01   0.185337E+03
   0.100443E+03   0.411859E-03   0.945667E+01   0.949814E+01   0.185337E+03
   0.100443E+03   0.411859E-03   0.111841E+02   0.101131E+02   0.184762E+03
   0.100443E+03   0.411859E-03   0.105808E+02   0.101131E+02   0.185284E+03
   0.100443E+03   0.411859E-03   0.118649E+02   0.101131E+02   0.183867E+03
   0.100443E+03   0.411859E-03   0.121787E+02   0.101131E+02   0.183361E+03
   0.998007E+02   0.411859E-03   0.110247E+02   0.925462E+01   0.184899E+03
   0.998007E+02   0.411859E-03   0.110247E+02   0.925462E+01   0.184899E+03
   0.998007E+02   0.411859E-03   0.110247E+02   0.103050E+02   0.185047E+03
   0.998007E+02   0.411859E-03   0.102266E+02   0.835152E+01   0.184205E+03
   0.998007E+02   0.374430E-03   0.102266E+02   0.101394E+02   0.185473E+03
   0.998007E+02   0.296548E-03   0.102266E+02   0.103090E+02   0.184789E+03
   0.998007E+02   0.296548E-03   0.980362E+01   0.103090E+02   0.184837E+03
   0.998007E+02   0.561202E-03   0.980362E+01   0.933413E+01   0.185215E+03
   0.998007E+02   0.561202E-03   0.980362E+01   0.933413E+01   0.185215E+03
   0.998007E+02   0.485138E-03   0.908783E+01   0.933413E+01   0.185182E+03
   0.998007E+02   0.485138E-03   0.869080E+01   0.990395E+01   0.184873E+03
   0.998007E+02   0.485138E-03   0.870395E+01   0.990395E+01   0.184892E+03
   0.998007E+02   0.390829E-03   0.870395E+01   0.990395E+01   0.184803E+03
   0.998007E+02   0.336962E-03   0.870395E+01   0.990395E+01   0.184473E+03
   0.998007E+02   0.336962E-03   0.871565E+01   0.915798E+01   0.184187E+03
   0.999263E+02   0.480514E-03   0.958506E+01   0.915798E+01   0.185441E+03
   0.999263E+02   0.480514E-03   0.100930E+02   0.915798E+01   0.185475E+03
   0.999263E+02   0.480514E-03   0.100930E+02   0.110276E+02   0.185198E+03
   0.999263E+02   0.480514E-03   0.100930E+02   0.880748E+01   0.185095E+03
   0.999263E+02   0.330445E-03   0.114756E+02   0.880748E+01   0.183514E+03
   0.999263E+02   0.330445E-03   0.103787E+02   0.874694E+01   0.184409E+03
   0.999263E+02   0.613270E-03   0.111604E+02   0.874694E+01   0.183589E+03
   0.999263E+02   0.612978E-03   0.111604E+02   0.874694E+01   0.183592E+03
   0.999263E+02   0.456735E-03   0.874970E+01   0.874694E+01   0.184290E+03
   0.999263E+02   0.456735E-03   0.932176E+01   0.878648E+01   0.184927E+03
   0.999263E+02   0.456735E-03   0.932176E+01   0.878648E+01   0.184927E+03
   0.999263E+02   0.321624E-03   0.932176E+01   0.104281E+02   0.184892E+03
   0.999263E+02   0.233617E-03   0.952357E+01   0.104281E+02   0.183942E+03
   0.999263E+02   0.233617E-03   0.952357E+01   0.999812E+01   0.184072E+03
   0.999263E+02   0.175740E-03   0.110500E+02   0.108165E+02   0.182304E+03
   0.999263E+02   0.146135E-03   0.110500E+02   0.104628E+02   0.182111E+03
   0.999263E+02   0.146135E-03   0.110500E+02   0.993716E+01   0.182263E+03
