Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.404531E+02  -0.219414E+01   0.504372E+01   0.298069E+01   0.109917E+02   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.108102E+00   0.486010E-02   0.624309E-02   0.161596E-01   0.183890E-01  -0.106422E+04   0.138555E+02   0.000000E+00  -0.107808E+04   0.215615E+04
   0.404531E+02  -0.136898E+01   0.504372E+01   0.430401E+01   0.109917E+02   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.109637E+00   0.657498E-02   0.458006E-02   0.171619E-01   0.188370E-01  -0.102120E+04   0.137053E+02   0.000000E+00  -0.103491E+04   0.206981E+04
   0.404531E+02  -0.136898E+01   0.504372E+01   0.430401E+01   0.109917E+02   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.109637E+00   0.479187E-02   0.492151E-02   0.192977E-01   0.188370E-01  -0.102127E+04   0.136359E+02   0.000000E+00  -0.103491E+04   0.206981E+04
   0.404531E+02  -0.136898E+01   0.504372E+01   0.502296E+01   0.109917E+02   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.109637E+00   0.505538E-02   0.327798E-02   0.199911E-01   0.185820E-01  -0.102082E+04   0.137300E+02   0.000000E+00  -0.103455E+04   0.206910E+04
   0.404531E+02  -0.136898E+01   0.504372E+01   0.502296E+01   0.111597E+02   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.110198E+00   0.505538E-02   0.401349E-02   0.199911E-01   0.192388E-01  -0.100767E+04   0.135908E+02   0.000000E+00  -0.102126E+04   0.204252E+04
   0.404531E+02  -0.136898E+01   0.504372E+01   0.502296E+01   0.111597E+02   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.110198E+00   0.603678E-02   0.401349E-02   0.180031E-01   0.171956E-01  -0.100736E+04   0.138958E+02   0.000000E+00  -0.102126E+04   0.204251E+04
   0.404531E+02  -0.136898E+01   0.504372E+01   0.502296E+01   0.111597E+02   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.110198E+00   0.429212E-02   0.509293E-02   0.189161E-01   0.162432E-01  -0.100729E+04   0.139662E+02   0.000000E+00  -0.102126E+04   0.204251E+04
   0.404531E+02  -0.133672E+01   0.676310E+01   0.502296E+01   0.111597E+02   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.111050E+00   0.331094E-02   0.777790E-02   0.189639E-01   0.140819E-01  -0.987443E+03   0.140072E+02   0.000000E+00  -0.100145E+04   0.200290E+04
   0.407779E+02  -0.133672E+01   0.676310E+01   0.502296E+01   0.111597E+02   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.111050E+00   0.704645E-03   0.723967E-02   0.212050E-01   0.134681E-01  -0.985424E+03   0.141589E+02   0.000000E+00  -0.999583E+03   0.199917E+04
   0.407779E+02  -0.386428E+00   0.676310E+01   0.502296E+01   0.111597E+02   0.335717E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.111050E+00   0.124117E-02   0.737673E-02   0.186203E-01   0.110361E-01  -0.983817E+03   0.145933E+02   0.000000E+00  -0.998410E+03   0.199682E+04
