a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.995569E+02   0.429384E+01   0.132448E-03   0.424701E-03   0.479540E-03   0.271340E-03   0.121890E-02   0.582610E-03   0.103173E-02   0.165478E-03   0.184550E+03   0.000000E+00   0.000000E+00   0.184550E+03  -0.369100E+03
   0.997442E+02   0.290035E+01   0.132448E-03   0.424701E-03   0.524815E-03   0.271340E-03   0.121890E-02   0.582610E-03   0.103173E-02   0.165478E-03   0.185414E+03   0.000000E+00   0.000000E+00   0.185414E+03  -0.370828E+03
   0.100231E+03   0.290035E+01   0.132448E-03   0.424701E-03   0.340402E-03   0.271340E-03   0.121890E-02   0.582610E-03   0.103173E-02   0.165478E-03   0.185441E+03   0.000000E+00   0.000000E+00   0.185441E+03  -0.370882E+03
   0.993676E+02  -0.179267E+01   0.132448E-03   0.424701E-03   0.340402E-03   0.871444E-03   0.121890E-02   0.582610E-03   0.103173E-02   0.165478E-03   0.184343E+03   0.000000E+00   0.000000E+00   0.184343E+03  -0.368686E+03
   0.993676E+02  -0.179267E+01   0.132448E-03   0.424701E-03   0.854049E-03   0.871444E-03   0.266720E-02   0.582610E-03   0.130741E-02   0.165478E-03   0.181417E+03   0.000000E+00   0.000000E+00   0.181417E+03  -0.362834E+03
   0.985415E+02  -0.179267E+01   0.132448E-03   0.424701E-03   0.673266E-03   0.871444E-03   0.929891E-03   0.582610E-03   0.130741E-02   0.165478E-03   0.182371E+03   0.000000E+00   0.000000E+00   0.182371E+03  -0.364742E+03
   0.985415E+02  -0.320339E+00   0.238609E-03   0.424701E-03   0.673266E-03   0.871444E-03   0.929891E-03   0.582610E-03   0.130741E-02   0.165478E-03   0.183316E+03   0.000000E+00   0.000000E+00   0.183316E+03  -0.366632E+03
   0.102181E+03   0.377204E+01   0.238609E-03   0.424701E-03   0.673266E-03   0.871444E-03   0.929891E-03   0.582610E-03   0.139468E-02   0.165478E-03   0.181020E+03   0.000000E+00   0.000000E+00   0.181020E+03  -0.362040E+03
   0.102181E+03   0.377204E+01   0.238609E-03   0.424701E-03   0.988918E-03   0.871444E-03   0.929891E-03   0.582610E-03   0.139468E-02   0.165478E-03   0.180793E+03   0.000000E+00   0.000000E+00   0.180793E+03  -0.361586E+03
   0.102181E+03   0.314390E+01   0.238609E-03   0.424701E-03   0.984502E-03   0.701825E-03   0.167107E-02   0.582610E-03   0.113988E-02   0.165478E-03   0.180092E+03   0.000000E+00   0.000000E+00   0.180092E+03  -0.360184E+03
   0.102181E+03   0.314390E+01   0.238609E-03   0.424701E-03   0.984502E-03   0.695416E-03   0.167107E-02   0.582610E-03   0.113988E-02   0.415833E-03   0.180529E+03   0.000000E+00   0.000000E+00   0.180529E+03  -0.361058E+03
   0.102181E+03   0.340913E+01   0.238609E-03   0.424701E-03   0.984502E-03   0.695416E-03   0.167107E-02   0.124477E-02   0.113988E-02   0.415833E-03   0.180874E+03   0.000000E+00   0.000000E+00   0.180874E+03  -0.361748E+03
   0.102181E+03   0.340913E+01   0.238609E-03   0.424701E-03   0.984502E-03   0.695416E-03   0.167107E-02   0.124477E-02   0.122678E-02   0.415833E-03   0.180705E+03   0.000000E+00   0.000000E+00   0.180705E+03  -0.361410E+03
   0.102181E+03   0.891366E+00   0.437693E-03   0.424701E-03   0.984502E-03   0.695416E-03   0.167107E-02   0.561782E-03   0.107712E-03   0.415833E-03   0.181129E+03   0.000000E+00   0.000000E+00   0.181129E+03  -0.362258E+03
   0.102181E+03  -0.202069E+01   0.113939E-02   0.424701E-03   0.183539E-02   0.695416E-03   0.167107E-02   0.561782E-03   0.107712E-03   0.415833E-03   0.179270E+03   0.000000E+00   0.000000E+00   0.179270E+03  -0.358540E+03
   0.100702E+03   0.375892E+01   0.110739E-02   0.424701E-03   0.183539E-02   0.695416E-03   0.167107E-02   0.561782E-03   0.107712E-03   0.415833E-03   0.181433E+03   0.000000E+00   0.000000E+00   0.181433E+03  -0.362866E+03
   0.100244E+03   0.292919E+01   0.207904E-02   0.424701E-03   0.116438E-02   0.446527E-03   0.167107E-02   0.561782E-03   0.107712E-03   0.415833E-03   0.181610E+03   0.000000E+00   0.000000E+00   0.181610E+03  -0.363220E+03
   0.100244E+03   0.292919E+01   0.302493E-02   0.424701E-03   0.116438E-02   0.446527E-03   0.167107E-02   0.561782E-03   0.107712E-03   0.415833E-03   0.180252E+03   0.000000E+00   0.000000E+00   0.180252E+03  -0.360504E+03
   0.100244E+03   0.497198E+01   0.302493E-02   0.943558E-03   0.116438E-02   0.446527E-03   0.167107E-02   0.561782E-03   0.107712E-03   0.415833E-03   0.178171E+03   0.000000E+00   0.000000E+00   0.178171E+03  -0.356342E+03
   0.100244E+03   0.457855E+01   0.331884E-02   0.710497E-03   0.116438E-02   0.940190E-04   0.251552E-02   0.561782E-03   0.107712E-03   0.415833E-03   0.176182E+03   0.000000E+00   0.000000E+00   0.176182E+03  -0.352364E+03
   0.100244E+03   0.457855E+01   0.312843E-03   0.356919E-03   0.116438E-02   0.940190E-04   0.251552E-02   0.561782E-03   0.107712E-03   0.415833E-03   0.181566E+03   0.000000E+00   0.000000E+00   0.181566E+03  -0.363132E+03
   0.100244E+03  -0.190090E+01   0.312843E-03   0.356919E-03   0.116438E-02   0.940190E-04   0.169537E-02   0.114956E-02   0.107712E-03   0.415833E-03   0.181867E+03   0.000000E+00   0.000000E+00   0.181867E+03  -0.363734E+03
   0.100244E+03   0.138909E+01   0.312843E-03   0.356919E-03   0.116438E-02   0.940190E-04   0.169537E-02   0.114956E-02   0.107712E-03   0.415833E-03   0.183553E+03   0.000000E+00   0.000000E+00   0.183553E+03  -0.367106E+03
   0.100244E+03   0.219049E+01   0.312843E-03   0.356919E-03   0.120373E-02   0.940190E-04   0.169537E-02   0.114956E-02   0.107712E-03   0.415833E-03   0.183494E+03   0.000000E+00   0.000000E+00   0.183494E+03  -0.366988E+03
   0.100244E+03   0.219049E+01   0.310593E-03   0.356919E-03   0.120373E-02   0.940190E-04   0.169537E-02   0.164936E-02   0.170420E-03   0.415833E-03   0.182692E+03   0.000000E+00   0.000000E+00   0.182692E+03  -0.365384E+03
   0.100244E+03   0.219049E+01   0.310593E-03   0.356919E-03   0.295638E-03   0.914819E-04   0.169537E-02   0.707482E-03   0.170420E-03   0.415833E-03   0.184988E+03   0.000000E+00   0.000000E+00   0.184988E+03  -0.369976E+03
   0.100244E+03   0.219049E+01   0.310593E-03   0.356919E-03   0.295638E-03   0.914819E-04   0.111230E-03   0.707482E-03   0.170420E-03   0.615873E-03   0.186533E+03   0.000000E+00   0.000000E+00   0.186533E+03  -0.373066E+03
   0.100244E+03   0.623616E+01   0.310593E-03   0.636234E-03   0.295638E-03   0.914819E-04   0.111230E-03   0.707482E-03   0.170420E-03   0.615873E-03   0.184629E+03   0.000000E+00   0.000000E+00   0.184629E+03  -0.369258E+03
   0.100244E+03   0.472202E+01   0.310593E-03   0.636234E-03   0.295638E-03   0.914819E-04   0.590658E-04   0.707482E-03   0.170420E-03   0.615873E-03   0.185622E+03   0.000000E+00   0.000000E+00   0.185622E+03  -0.371244E+03
   0.100244E+03   0.467526E+01   0.781849E-03   0.636234E-03   0.295638E-03   0.914819E-04   0.590658E-04   0.707482E-03   0.170420E-03   0.615873E-03   0.185086E+03   0.000000E+00   0.000000E+00   0.185086E+03  -0.370172E+03
