Km_a0         Km_a1         Km_a2         Km_a3         Km_a4         Km_a5         Km_a6         Km_a7         Km_a8         Km_a9         Km_a10        Km_a11        Km_a12        Km_a13        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.287141E+02  0.228431E+01 -0.611386E+01  0.361330E+01  0.719391E+01  0.247343E+01 -0.141870E+01  0.417223E+01 -0.439861E+01 -0.196693E+02  0.349542E-01  0.643074E+01  0.843107E+01  0.153417E+02  0.374696E-02  0.216033E-02  0.136692E-01  0.131983E-01  0.110526E-01  0.266898E+03
  0.287141E+02  0.179510E+01 -0.611386E+01  0.361330E+01  0.719391E+01  0.247343E+01 -0.507247E+01  0.417223E+01 -0.439861E+01 -0.196693E+02  0.349542E-01  0.643074E+01  0.116922E+02  0.153417E+02  0.323888E-02  0.161525E-02  0.124562E-01  0.124176E-01  0.109778E-01  0.263222E+03
  0.287141E+02  0.179510E+01 -0.611386E+01  0.283449E+01  0.719391E+01  0.300007E+01 -0.507247E+01  0.417223E+01 -0.505396E+01 -0.196693E+02  0.349542E-01  0.643074E+01  0.116922E+02  0.133584E+02  0.361887E-02  0.241235E-02  0.133692E-01  0.129432E-01  0.109281E-01  0.260842E+03
  0.287141E+02  0.276274E+01 -0.611386E+01  0.283449E+01  0.639474E+01  0.300007E+01 -0.507247E+01  0.417223E+01 -0.500906E+01 -0.276252E+02  0.349542E-01  0.548765E+01  0.199019E+01  0.133584E+02  0.395227E-02  0.230461E-02  0.124773E-01  0.134664E-01  0.117649E-01  0.262933E+03
  0.287141E+02  0.274156E+01 -0.611386E+01  0.501275E+01  0.639474E+01  0.300007E+01 -0.507247E+01  0.417223E+01 -0.500906E+01 -0.276252E+02  0.349542E-01  0.548765E+01  0.547397E+01  0.133584E+02  0.369047E-02  0.279981E-02  0.115551E-01  0.120879E-01  0.110787E-01  0.267394E+03
  0.287141E+02  0.274156E+01 -0.611386E+01  0.501275E+01  0.639474E+01  0.300007E+01 -0.507247E+01  0.417223E+01 -0.500906E+01 -0.276252E+02 -0.139231E+01  0.548765E+01  0.463817E+01  0.151617E+02  0.484375E-02  0.540497E-03  0.108593E-01  0.130430E-01  0.122639E-01  0.266511E+03
  0.287141E+02  0.274156E+01 -0.611386E+01  0.501275E+01  0.639474E+01  0.866028E+00 -0.507247E+01  0.417223E+01 -0.500906E+01 -0.276252E+02  0.119293E+01  0.768604E+01  0.686886E+01  0.151617E+02  0.509815E-02  0.723257E-03  0.108684E-01  0.130430E-01  0.119969E-01  0.268504E+03
  0.287141E+02  0.216279E+01 -0.611386E+01  0.501275E+01  0.639474E+01  0.569981E+00 -0.507247E+01  0.417223E+01 -0.500906E+01 -0.276252E+02  0.119293E+01  0.605421E+01  0.686886E+01  0.151617E+02  0.616252E-02  0.154578E-02  0.108684E-01  0.141163E-01  0.137812E-01  0.267540E+03
  0.287141E+02  0.216279E+01 -0.611386E+01  0.501275E+01  0.639474E+01  0.569981E+00 -0.507247E+01  0.420618E+01 -0.312407E+01 -0.276252E+02 -0.403537E+01  0.605421E+01  0.686886E+01  0.136998E+02  0.689250E-02  0.425842E-03  0.119229E-01  0.132590E-01  0.125843E-01  0.266625E+03
  0.287141E+02  0.184236E+01 -0.486932E+01  0.501275E+01  0.639474E+01  0.569981E+00 -0.516692E+01  0.630516E+00 -0.312407E+01 -0.200481E+02 -0.403537E+01  0.808591E+01  0.686886E+01  0.184870E+02  0.537603E-02  0.425842E-03  0.132713E-01  0.153097E-01  0.128498E-01  0.266434E+03
  0.287141E+02  0.184236E+01 -0.486932E+01  0.353905E+01  0.639474E+01  0.569981E+00  0.601617E+00  0.630516E+00 -0.312407E+01 -0.200481E+02 -0.456996E+01  0.879504E+01  0.631924E+01  0.184870E+02  0.472609E-02  0.425842E-03  0.125059E-01  0.151341E-01  0.118927E-01  0.264046E+03
  0.287141E+02  0.184236E+01 -0.359486E+01  0.353905E+01  0.639474E+01  0.569981E+00  0.260296E+01  0.959860E+00 -0.312407E+01 -0.200481E+02 -0.456996E+01  0.879504E+01  0.631924E+01  0.184870E+02  0.271299E-02  0.239246E-03  0.121124E-01  0.160017E-01  0.119272E-01  0.262920E+03
  0.287141E+02  0.184236E+01 -0.359486E+01  0.353905E+01  0.639474E+01  0.569981E+00  0.260296E+01  0.148648E+01 -0.312407E+01 -0.200481E+02 -0.300709E+01  0.979769E+01  0.933011E+01  0.162841E+02  0.368507E-02  0.112826E-02  0.121124E-01  0.157272E-01  0.109267E-01  0.265035E+03
  0.287141E+02  0.184236E+01 -0.359486E+01  0.353905E+01  0.639474E+01  0.569981E+00  0.260296E+01  0.148648E+01 -0.605881E+01 -0.200481E+02 -0.300709E+01  0.979769E+01  0.796348E+01  0.162841E+02  0.441368E-02  0.149887E-02  0.102344E-01  0.157272E-01  0.106386E-01  0.263686E+03
  0.287141E+02  0.386467E+01 -0.359486E+01  0.353905E+01  0.639474E+01  0.569981E+00  0.301200E+01 -0.995803E+00 -0.605881E+01 -0.206499E+02 -0.291260E+01  0.726374E+01  0.796348E+01  0.160745E+02  0.450589E-02  0.177855E-02  0.107354E-01  0.153452E-01  0.930038E-02  0.264791E+03
  0.287141E+02  0.386467E+01 -0.359486E+01  0.353905E+01  0.639474E+01  0.569981E+00 -0.103736E+01 -0.513374E+01 -0.605881E+01 -0.222275E+02 -0.291260E+01  0.726374E+01  0.796348E+01  0.160745E+02  0.512995E-02  0.403818E-02  0.100499E-01  0.157200E-01  0.928478E-02  0.267356E+03
  0.287141E+02  0.386467E+01 -0.359486E+01  0.353905E+01  0.589734E+01  0.569981E+00 -0.416845E+01 -0.839493E+00 -0.844741E+01 -0.222275E+02  0.528853E+00  0.596196E+01  0.616531E+01  0.160745E+02  0.466215E-02  0.223421E-02  0.107883E-01  0.167833E-01  0.798789E-02  0.269665E+03
  0.287141E+02  0.386467E+01 -0.359486E+01  0.353905E+01  0.589734E+01  0.130715E+01 -0.330718E+01 -0.119696E+01 -0.844741E+01 -0.222275E+02  0.528853E+00  0.776008E+01  0.616531E+01  0.160745E+02  0.311493E-02  0.275420E-02  0.119814E-01  0.173002E-01  0.795644E-02  0.270695E+03
  0.287141E+02  0.386467E+01 -0.359486E+01  0.353905E+01  0.589734E+01  0.130715E+01 -0.235602E+00 -0.255364E+01 -0.844741E+01 -0.222275E+02  0.528853E+00  0.620789E+01  0.455298E+01  0.160745E+02  0.193001E-02  0.419970E-02  0.123138E-01  0.154295E-01  0.639685E-02  0.270674E+03
