a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.101053E+03   0.312798E-03   0.858882E+01   0.845174E+01   0.129617E+02   0.195609E+02   0.377417E+02
   0.999284E+02   0.186269E-03   0.105478E+02   0.673254E+01   0.152431E+02   0.170284E+02   0.384575E+02
   0.100431E+03   0.170038E-03   0.892705E+01   0.536803E+01   0.152431E+02   0.113003E+02   0.351547E+02
   0.101383E+03   0.438067E-04   0.901570E+01   0.112015E+02   0.137015E+02   0.131663E+02   0.387176E+02
   0.996739E+02   0.600500E-03   0.899247E+01   0.125603E+02   0.152186E+02   0.181521E+02   0.378791E+02
   0.985512E+02   0.172611E-03   0.686748E+01   0.101932E+02   0.123095E+02   0.170148E+02   0.383610E+02
   0.985512E+02   0.360042E-03   0.822268E+01   0.735207E+01   0.144274E+02   0.167665E+02   0.386346E+02
   0.995226E+02   0.209831E-03   0.708390E+01   0.109559E+02   0.157618E+02   0.152470E+02   0.391064E+02
   0.975820E+02   0.903439E-04   0.100354E+02   0.908087E+01   0.131944E+02   0.120778E+02   0.390311E+02
   0.975820E+02   0.472523E-03   0.807541E+01   0.100390E+02   0.145284E+02   0.129495E+02   0.384973E+02
   0.987146E+02   0.388356E-03   0.104322E+02   0.125982E+02   0.162617E+02   0.147397E+02   0.389310E+02
   0.102488E+03   0.109005E-02   0.108454E+02   0.149725E+02   0.176785E+02   0.185800E+02   0.321190E+02
   0.100051E+03   0.590391E-04   0.133643E+02   0.797578E+01   0.190073E+02   0.127614E+02   0.376539E+02
   0.100051E+03   0.190022E-03   0.863871E+01   0.834993E+01   0.167058E+02   0.153188E+02   0.397629E+02
   0.992110E+02   0.310211E-03   0.106027E+02   0.948662E+01   0.127508E+02   0.171987E+02   0.397358E+02
   0.998868E+02   0.353083E-03   0.125073E+02   0.721188E+01   0.155551E+02   0.139809E+02   0.382445E+02
   0.100592E+03   0.353083E-03   0.687279E+01   0.821469E+01   0.125177E+02   0.121608E+02   0.374783E+02
   0.100854E+03   0.630536E-05   0.107409E+02   0.126486E+02   0.132678E+02   0.119831E+02   0.383032E+02
   0.980739E+02   0.435587E-03   0.103192E+02   0.105174E+02   0.147941E+02   0.142005E+02   0.394288E+02
   0.996955E+02   0.514688E-03   0.964129E+01   0.109163E+02   0.174805E+02   0.141333E+02   0.391450E+02
   0.983649E+02   0.313328E-03   0.111619E+02   0.960801E+01   0.228820E+02   0.982609E+01   0.353235E+02
   0.983649E+02   0.190143E-03   0.968389E+01   0.962023E+01   0.180685E+02   0.158735E+02   0.395648E+02
   0.994022E+02   0.190143E-03   0.949195E+01   0.968623E+01   0.140471E+02   0.181907E+02   0.399774E+02
   0.982070E+02   0.450568E-04   0.117066E+02   0.120478E+02   0.185452E+02   0.154050E+02   0.383406E+02
   0.101056E+03   0.577073E-03   0.941953E+01   0.114966E+02   0.225142E+02   0.116152E+02   0.353455E+02
