a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.976810E+02   0.310666E+01   0.150430E+01   0.645706E-03   0.125122E+02   0.117597E+02   0.168148E+02   0.113290E+02   0.173586E+03  -0.958315E+01   0.000000E+00   0.183169E+03  -0.366338E+03
   0.978416E+02   0.310666E+01   0.150430E+01   0.645706E-03   0.135629E+02   0.117597E+02   0.168148E+02   0.113290E+02   0.172978E+03  -0.101968E+02   0.000000E+00   0.183175E+03  -0.366350E+03
   0.978416E+02   0.310666E+01   0.150430E+01   0.645706E-03   0.955436E+01   0.117597E+02   0.969780E+01   0.113290E+02   0.172799E+03  -0.103760E+02   0.000000E+00   0.183175E+03  -0.366350E+03
   0.978416E+02   0.310666E+01   0.441113E+01   0.645706E-03   0.955436E+01   0.857134E+01   0.969780E+01   0.182937E+02   0.172883E+03  -0.100153E+02   0.000000E+00   0.182898E+03  -0.365797E+03
   0.978416E+02   0.310666E+01   0.241626E+01   0.645706E-03   0.610063E+01   0.857134E+01   0.165704E+02   0.158389E+02   0.172853E+03  -0.102757E+02   0.000000E+00   0.183129E+03  -0.366257E+03
   0.978416E+02   0.310666E+01   0.729770E+01   0.645706E-03   0.754182E+01   0.977976E+01   0.136746E+02   0.145194E+02   0.174283E+03  -0.795115E+01   0.000000E+00   0.182234E+03  -0.364468E+03
   0.991976E+02   0.310666E+01   0.729770E+01   0.645706E-03   0.754182E+01   0.977976E+01   0.163225E+02   0.145194E+02   0.173646E+03  -0.811041E+01   0.000000E+00   0.181756E+03  -0.363513E+03
   0.991976E+02   0.310666E+01   0.754816E+01   0.645706E-03   0.754182E+01   0.975015E+01   0.127693E+02   0.153942E+02   0.173594E+03  -0.815214E+01   0.000000E+00   0.181746E+03  -0.363492E+03
   0.991976E+02   0.381790E+01   0.947471E+01   0.645706E-03   0.754182E+01   0.975015E+01   0.127693E+02   0.153942E+02   0.173189E+03  -0.815214E+01   0.000000E+00   0.181341E+03  -0.362682E+03
   0.991976E+02   0.381790E+01   0.824482E+00   0.645706E-03   0.106207E+02   0.975015E+01   0.155835E+02   0.158083E+02   0.173403E+03  -0.749081E+01   0.000000E+00   0.180894E+03  -0.361788E+03
