a0_min        a0_flood      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.103558E+03  0.537878E+02  0.247903E-03  0.101883E+02  0.121995E+02  0.126235E-02  0.214308E+02  0.301322E+02
  0.103558E+03  0.537878E+02  0.247903E-03  0.863924E+01  0.107118E+02  0.117290E-02  0.231127E+02  0.298662E+02
  0.103558E+03  0.537878E+02  0.247903E-03  0.897343E+01  0.107501E+02  0.951593E-03  0.231127E+02  0.301597E+02
  0.103558E+03  0.537878E+02  0.247903E-03  0.897343E+01  0.102921E+02  0.951593E-03  0.214654E+02  0.310631E+02
  0.103558E+03  0.529293E+02  0.247903E-03  0.101477E+02  0.934595E+01  0.870195E-03  0.209806E+02  0.317774E+02
  0.103558E+03  0.529293E+02  0.247903E-03  0.100131E+02  0.817773E+01  0.870195E-03  0.197525E+02  0.319991E+02
  0.103558E+03  0.538604E+02  0.247903E-03  0.100744E+02  0.761516E+01  0.134143E-02  0.192524E+02  0.308968E+02
  0.103558E+03  0.538604E+02  0.247903E-03  0.960691E+01  0.761516E+01  0.637903E-03  0.178816E+02  0.320768E+02
  0.103558E+03  0.538604E+02  0.247903E-03  0.960691E+01  0.900972E+01  0.781663E-03  0.171656E+02  0.327676E+02
  0.103558E+03  0.538604E+02  0.247903E-03  0.100272E+02  0.105207E+02  0.781663E-03  0.163964E+02  0.328676E+02
  0.102508E+03  0.542359E+02  0.530160E-03  0.105511E+02  0.983797E+01  0.348210E-03  0.157897E+02  0.372196E+02
  0.102508E+03  0.542359E+02  0.530160E-03  0.110313E+02  0.983797E+01  0.348210E-03  0.159368E+02  0.370684E+02
  0.102508E+03  0.542359E+02  0.530160E-03  0.103245E+02  0.853715E+01  0.367549E-03  0.156598E+02  0.371166E+02
  0.102508E+03  0.570126E+02  0.530160E-03  0.106479E+02  0.889882E+01  0.160815E-02  0.133769E+02  0.348835E+02
  0.102508E+03  0.534551E+02  0.459216E-03  0.109545E+02  0.102944E+02  0.160815E-02  0.113153E+02  0.351378E+02
