a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100189E+03   0.563604E+02   0.738826E-03   0.107294E+02   0.973870E+01   0.240273E-02   0.168249E+02   0.354638E+02  -0.907950E+00   0.000000E+00   0.363718E+02  -0.727435E+02
   0.100189E+03   0.563604E+02   0.738826E-03   0.105171E+02   0.973870E+01   0.488492E-02   0.191061E+02   0.332365E+02  -0.313523E+01   0.000000E+00   0.363717E+02  -0.727435E+02
   0.100189E+03   0.569413E+02   0.738826E-03   0.928245E+01   0.973870E+01   0.259606E-02   0.191061E+02   0.351821E+02  -0.161283E+01   0.000000E+00   0.367949E+02  -0.735899E+02
   0.100189E+03   0.606168E+02   0.738826E-03   0.100531E+02   0.973870E+01   0.259606E-02   0.205975E+02   0.347753E+02  -0.222407E+01   0.000000E+00   0.369994E+02  -0.739987E+02
   0.100189E+03   0.579325E+02   0.738826E-03   0.100531E+02   0.973870E+01   0.368873E-02   0.251515E+02   0.320064E+02  -0.525427E+01   0.000000E+00   0.372607E+02  -0.745213E+02
   0.100189E+03   0.579325E+02   0.738826E-03   0.100531E+02   0.128555E+02   0.426337E-02   0.251515E+02   0.306046E+02  -0.665608E+01   0.000000E+00   0.372607E+02  -0.745214E+02
   0.100392E+03   0.579325E+02   0.738826E-03   0.123168E+02   0.122755E+02   0.244305E-02   0.159264E+02   0.351601E+02  -0.213151E+01   0.000000E+00   0.372916E+02  -0.745832E+02
   0.100392E+03   0.579325E+02   0.738826E-03   0.123849E+02   0.111933E+02   0.140171E-02   0.133524E+02   0.365338E+02  -0.757843E+00   0.000000E+00   0.372916E+02  -0.745833E+02
   0.100392E+03   0.552606E+02   0.738826E-03   0.123849E+02   0.111933E+02   0.140171E-02   0.138630E+02   0.348768E+02  -0.703812E+00   0.000000E+00   0.355806E+02  -0.711612E+02
   0.100392E+03   0.552606E+02   0.738826E-03   0.139061E+02   0.111933E+02   0.140171E-02   0.134059E+02   0.339271E+02  -0.165351E+01   0.000000E+00   0.355806E+02  -0.711612E+02
   0.100392E+03   0.586208E+02   0.738826E-03   0.139061E+02   0.962987E+01   0.140171E-02   0.115673E+02   0.354559E+02  -0.190083E+01   0.000000E+00   0.373567E+02  -0.747135E+02
   0.100392E+03   0.586208E+02   0.738826E-03   0.100223E+02   0.962987E+01   0.140171E-02   0.115673E+02   0.371425E+02  -0.214246E+00   0.000000E+00   0.373567E+02  -0.747135E+02
   0.100392E+03   0.631590E+02   0.738826E-03   0.134159E+02   0.805357E+01   0.154632E-02   0.115673E+02   0.322676E+02  -0.211057E+01   0.000000E+00   0.343782E+02  -0.687563E+02
   0.100392E+03   0.635263E+02   0.650648E-03   0.106697E+02   0.805357E+01   0.165162E-02   0.115673E+02   0.327889E+02  -0.951433E+00   0.000000E+00   0.337403E+02  -0.674807E+02
   0.100392E+03   0.635263E+02   0.650648E-03   0.106697E+02   0.924007E+01   0.158155E-02   0.115673E+02   0.332233E+02  -0.517048E+00   0.000000E+00   0.337403E+02  -0.674807E+02
   0.100231E+03   0.635263E+02   0.775508E-03   0.106697E+02   0.924007E+01   0.158155E-02   0.109385E+02   0.334240E+02  -0.863329E+00   0.000000E+00   0.342873E+02  -0.685747E+02
