Km_SU1_Rh_a0  Km_SU1_Rh_a1  Km_SU1_Rh_a2  Km_SU1_Rh_a3  Km_SU1_Rh_a4  Km_SU2_Rh_a0  Km_SU2_Rh_a1  Km_SU2_Rh_a2  Km_SU1_Ai_a0  Km_SU1_Ai_a1  Km_SU1_Ai_a2  Km_SU1_Ai_a3  Km_SU1_Ai_a4  Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.393194E+02 -0.245405E+01  0.232886E+01  0.673200E+01  0.501788E+01  0.360972E+02  0.183179E+01 -0.995282E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.299142E+00  0.486530E-02  0.690142E-02  0.629048E-02  0.489193E-03 -0.113420E+03
  0.393194E+02 -0.245405E+01  0.232886E+01  0.623892E+01  0.501788E+01  0.366584E+02  0.183179E+01 -0.995282E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.299046E+00  0.403637E-02  0.668528E-02  0.710584E-02  0.280295E-02 -0.113172E+03
  0.393194E+02 -0.245405E+01  0.232886E+01  0.716045E+01  0.501788E+01  0.366584E+02  0.183179E+01 -0.867679E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.298409E+00  0.390802E-02  0.628641E-02  0.727591E-02  0.191085E-02 -0.114098E+03
  0.393194E+02 -0.245405E+01  0.232886E+01  0.716045E+01  0.415646E+01  0.352730E+02  0.183179E+01 -0.836489E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.299267E+00  0.435674E-02  0.592153E-02  0.716028E-02  0.191085E-02 -0.114238E+03
  0.393194E+02 -0.245405E+01  0.232886E+01  0.684560E+01  0.607143E+01  0.358244E+02  0.183179E+01 -0.836489E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.299421E+00  0.439064E-02  0.761262E-02  0.907774E-02  0.275649E-02 -0.114138E+03
  0.393194E+02  0.522915E+00  0.232886E+01  0.452287E+01  0.692933E+01  0.353548E+02  0.183179E+01 -0.836489E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.298246E+00  0.531934E-02  0.812910E-02  0.834786E-02  0.228354E-02 -0.113897E+03
  0.399610E+02  0.522915E+00  0.232886E+01  0.309579E+01  0.473328E+01  0.353548E+02  0.183179E+01 -0.699590E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.298360E+00  0.450446E-02  0.910322E-02  0.694213E-02  0.303148E-02 -0.112675E+03
  0.399610E+02  0.522915E+00  0.232886E+01  0.309579E+01  0.217243E+01  0.353548E+02  0.183179E+01 -0.623087E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.298288E+00  0.383576E-02  0.105333E-01  0.664902E-02  0.404431E-02 -0.113619E+03
  0.399610E+02  0.522915E+00  0.232886E+01  0.309579E+01  0.111915E+01  0.349076E+02  0.704537E+00 -0.623087E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.299218E+00  0.273057E-02  0.109518E-01  0.515016E-02  0.211198E-02 -0.113875E+03
  0.399610E+02 -0.135628E+01  0.232886E+01  0.309579E+01  0.111915E+01  0.357209E+02  0.704537E+00 -0.623087E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.298157E+00  0.814913E-03  0.109647E-01  0.471069E-02  0.625243E-03 -0.111471E+03
