Kmin_a0       Kmin_a1       Kmin_a2       Kmin_a3       Kmin_a4       Kmin_a5       Kmin_a6       Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.298365E+02  0.568784E+00 -0.391421E+01  0.827162E+01  0.699516E+01  0.706203E+01  0.200755E+01  0.838040E-02  0.283058E-02  0.191659E-01  0.583286E-02  0.115521E-02 -0.848630E+03
  0.298365E+02  0.568784E+00 -0.319017E+01  0.709492E+01  0.699516E+01  0.357053E+01  0.200755E+01  0.871153E-02  0.361332E-02  0.189700E-01  0.658951E-02  0.104278E-02 -0.849503E+03
  0.298365E+02 -0.264578E-01 -0.319017E+01  0.709492E+01  0.699516E+01  0.357053E+01  0.200755E+01  0.938363E-02  0.239606E-02  0.207121E-01  0.477209E-02  0.104278E-02 -0.848644E+03
  0.298365E+02 -0.264578E-01 -0.319017E+01  0.709492E+01  0.699516E+01  0.397957E+01 -0.474737E+00  0.802435E-02  0.227570E-02  0.207310E-01  0.426530E-02  0.446742E-03 -0.847452E+03
  0.297107E+02  0.434579E+00 -0.319017E+01  0.709492E+01  0.699516E+01  0.397957E+01 -0.474737E+00  0.869690E-02  0.227570E-02  0.199909E-01  0.454141E-02  0.102951E-02 -0.847568E+03
  0.297107E+02  0.434579E+00 -0.410795E+01  0.709492E+01  0.699516E+01  0.397957E+01 -0.474737E+00  0.832173E-02  0.271134E-02  0.183413E-01  0.394193E-02  0.161162E-02 -0.846809E+03
  0.297107E+02  0.434579E+00 -0.410795E+01  0.709492E+01  0.699516E+01  0.397957E+01 -0.474737E+00  0.934627E-02  0.298663E-02  0.189568E-01  0.338657E-02  0.143115E-02 -0.846831E+03
  0.297107E+02  0.434579E+00 -0.410795E+01  0.631434E+01  0.699516E+01  0.392919E+01 -0.474737E+00  0.859505E-02  0.342313E-02  0.183965E-01  0.520673E-02  0.236534E-02 -0.847614E+03
  0.297107E+02  0.434579E+00 -0.410795E+01  0.631434E+01  0.699516E+01  0.684788E+01 -0.474737E+00  0.997775E-02  0.144582E-02  0.170847E-01  0.461287E-02  0.308931E-02 -0.847334E+03
  0.297107E+02 -0.915151E-02 -0.410795E+01  0.631434E+01  0.699516E+01  0.684788E+01 -0.474737E+00  0.102808E-01  0.139722E-02  0.173896E-01  0.486700E-02  0.680119E-03 -0.847127E+03
  0.297107E+02 -0.915151E-02 -0.410795E+01  0.631434E+01  0.699516E+01  0.582368E+01 -0.474737E+00  0.106773E-01  0.104040E-02  0.193571E-01  0.505089E-02  0.680119E-03 -0.846826E+03
