Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.399441E+02  -0.133331E+00   0.254636E+01   0.536603E+01   0.400666E+01   0.366103E+02   0.784185E+01   0.229430E+02  -0.920883E+01  -0.106711E+02  -0.393786E+01   0.127129E+02   0.672399E+02  -0.662947E+01   0.125414E+00   0.108957E-02   0.283304E-01   0.179401E-01   0.230807E-01   0.834119E+02
   0.399441E+02  -0.133331E+00   0.254636E+01   0.536603E+01   0.400666E+01   0.366103E+02   0.103297E+02   0.229430E+02  -0.920883E+01  -0.106711E+02  -0.393786E+01   0.127129E+02   0.716867E+02  -0.128267E+02   0.126269E+00   0.781500E-03   0.281494E-01   0.170681E-01   0.211105E-01   0.879732E+02
   0.399441E+02  -0.133331E+00   0.254636E+01   0.536603E+01   0.400666E+01   0.366103E+02   0.103297E+02   0.229430E+02  -0.920883E+01  -0.106711E+02  -0.250471E+01   0.129450E+02   0.755335E+02  -0.179695E+02   0.126643E+00   0.781500E-03   0.289007E-01   0.170681E-01   0.202825E-01   0.901982E+02
   0.399441E+02  -0.133331E+00   0.254636E+01   0.536603E+01   0.331881E+01   0.366103E+02   0.103297E+02   0.230852E+02  -0.920883E+01  -0.106711E+02  -0.250471E+01   0.129450E+02   0.782457E+02  -0.147032E+02   0.127151E+00   0.103047E-02   0.304395E-01   0.165037E-01   0.212123E-01   0.900554E+02
   0.399441E+02  -0.133331E+00   0.254636E+01   0.536603E+01   0.331881E+01   0.366103E+02   0.103297E+02   0.229150E+02  -0.920883E+01  -0.106711E+02  -0.250471E+01   0.129450E+02   0.734888E+02  -0.163402E+02   0.127978E+00   0.137015E-02   0.316342E-01   0.170212E-01   0.203108E-01   0.921919E+02
   0.399441E+02   0.750168E-01   0.254636E+01   0.557909E+01   0.643297E+01   0.365497E+02   0.103297E+02   0.229150E+02  -0.920883E+01  -0.106711E+02  -0.320951E+01   0.129450E+02   0.686543E+02  -0.167720E+02   0.127978E+00   0.150668E-02   0.320726E-01   0.173827E-01   0.213493E-01   0.951503E+02
   0.399441E+02   0.750168E-01   0.254636E+01   0.557909E+01   0.643297E+01   0.365497E+02   0.103297E+02   0.229150E+02  -0.920883E+01  -0.106711E+02  -0.320951E+01   0.129450E+02   0.747658E+02  -0.271606E+01   0.127978E+00   0.272139E-02   0.339732E-01   0.165769E-01   0.186301E-01   0.951913E+02
   0.399441E+02   0.750168E-01   0.254636E+01   0.557909E+01   0.643297E+01   0.365497E+02   0.976833E+01   0.229150E+02  -0.920883E+01  -0.106711E+02  -0.320951E+01   0.129450E+02   0.750243E+02  -0.982294E+01   0.129000E+00   0.334632E-02   0.330901E-01   0.160047E-01   0.189147E-01   0.980228E+02
   0.399441E+02   0.750168E-01   0.254636E+01   0.557909E+01   0.643297E+01   0.365497E+02   0.976833E+01   0.229150E+02  -0.920883E+01  -0.106711E+02  -0.320951E+01   0.129450E+02   0.714746E+02  -0.392946E+01   0.129000E+00   0.425133E-02   0.321300E-01   0.173129E-01   0.199906E-01   0.977900E+02
   0.399441E+02   0.750168E-01   0.254636E+01   0.557909E+01   0.643297E+01   0.365497E+02   0.976833E+01   0.229150E+02  -0.947388E+01  -0.106711E+02  -0.320951E+01   0.129450E+02   0.701978E+02   0.219817E+01   0.129586E+00   0.521002E-02   0.293272E-01   0.165387E-01   0.197358E-01   0.100776E+03
   0.399441E+02  -0.838056E+00   0.254636E+01   0.557909E+01   0.643297E+01   0.365497E+02   0.100247E+02   0.229150E+02  -0.947388E+01  -0.106711E+02  -0.320951E+01   0.129450E+02   0.634648E+02   0.985931E+01   0.131034E+00   0.521002E-02   0.285872E-01   0.177017E-01   0.215037E-01   0.103198E+03
   0.397603E+02  -0.838056E+00   0.254636E+01   0.557909E+01   0.643297E+01   0.365497E+02   0.100247E+02   0.229150E+02  -0.942641E+01  -0.106711E+02  -0.320951E+01   0.129450E+02   0.632642E+02   0.534150E+01   0.131514E+00   0.486687E-02   0.288244E-01   0.170078E-01   0.201845E-01   0.103562E+03
   0.397603E+02  -0.838056E+00   0.254636E+01   0.557909E+01   0.578446E+01   0.365497E+02   0.100247E+02   0.229150E+02  -0.942641E+01  -0.107704E+02  -0.320951E+01   0.129450E+02   0.552496E+02   0.397311E+01   0.131638E+00   0.591855E-02   0.295411E-01   0.161782E-01   0.201845E-01   0.104318E+03
   0.397603E+02  -0.838056E+00   0.254636E+01   0.624468E+01   0.578446E+01   0.365497E+02   0.100247E+02   0.229150E+02  -0.942641E+01  -0.107704E+02  -0.320951E+01   0.130393E+02   0.502806E+02   0.852149E+01   0.131370E+00   0.607504E-02   0.289133E-01   0.146577E-01   0.214059E-01   0.103740E+03
   0.396332E+02  -0.838056E+00   0.254636E+01   0.624468E+01   0.578446E+01   0.360349E+02   0.100247E+02   0.229150E+02  -0.942641E+01  -0.107704E+02  -0.320951E+01   0.122710E+02   0.516960E+02   0.225904E+02   0.131370E+00   0.618923E-02   0.306919E-01   0.135095E-01   0.201603E-01   0.103140E+03
