a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.103149E+03   0.308983E+01   0.186755E-03   0.162022E-04   0.350226E-03   0.191278E-02   0.184645E+03   0.000000E+00   0.000000E+00   0.184645E+03  -0.369290E+03
   0.103149E+03  -0.221676E+01   0.186755E-03   0.621149E-03   0.350226E-03   0.191278E-02   0.182295E+03   0.000000E+00   0.000000E+00   0.182295E+03  -0.364590E+03
   0.997094E+02   0.771124E+01   0.186755E-03   0.621149E-03   0.350226E-03   0.191278E-02   0.183507E+03   0.000000E+00   0.000000E+00   0.183507E+03  -0.367014E+03
   0.997094E+02   0.313429E+01   0.186755E-03   0.621149E-03   0.350226E-03   0.184233E-02   0.187286E+03   0.000000E+00   0.000000E+00   0.187286E+03  -0.374572E+03
   0.993801E+02   0.593779E+01   0.186755E-03   0.621149E-03   0.350226E-03   0.218742E-02   0.183780E+03   0.000000E+00   0.000000E+00   0.183780E+03  -0.367560E+03
   0.993801E+02   0.593779E+01   0.409694E-03   0.621149E-03   0.350226E-03   0.218742E-02   0.183348E+03   0.000000E+00   0.000000E+00   0.183348E+03  -0.366696E+03
   0.993801E+02  -0.648231E+00   0.409694E-03   0.621149E-03   0.350226E-03   0.218742E-02   0.184565E+03   0.000000E+00   0.000000E+00   0.184565E+03  -0.369130E+03
   0.991896E+02   0.197779E+01   0.409694E-03   0.621149E-03   0.350226E-03   0.218742E-02   0.184528E+03   0.000000E+00   0.000000E+00   0.184528E+03  -0.369056E+03
   0.999736E+02   0.191904E+01   0.409694E-03   0.245821E-03   0.216236E-03   0.139921E-02   0.190621E+03   0.000000E+00   0.000000E+00   0.190621E+03  -0.381242E+03
   0.100604E+03   0.191904E+01   0.409694E-03   0.245821E-03   0.216236E-03   0.181223E-02   0.190979E+03   0.000000E+00   0.000000E+00   0.190979E+03  -0.381958E+03
   0.100692E+03   0.143181E+01   0.409694E-03   0.245821E-03   0.290369E-03   0.613265E-03   0.188554E+03   0.000000E+00   0.000000E+00   0.188554E+03  -0.377108E+03
   0.100692E+03   0.256551E+01   0.409694E-03   0.245821E-03   0.290369E-03   0.136881E-02   0.191439E+03   0.000000E+00   0.000000E+00   0.191439E+03  -0.382878E+03
   0.100963E+03   0.256551E+01   0.237033E-03   0.245821E-03   0.290369E-03   0.136881E-02   0.191914E+03   0.000000E+00   0.000000E+00   0.191914E+03  -0.383828E+03
   0.100963E+03   0.256551E+01   0.237033E-03   0.245821E-03   0.290369E-03   0.136881E-02   0.191914E+03   0.000000E+00   0.000000E+00   0.191914E+03  -0.383828E+03
   0.100963E+03   0.256551E+01   0.237033E-03   0.245821E-03   0.300199E-03   0.136881E-02   0.191869E+03   0.000000E+00   0.000000E+00   0.191869E+03  -0.383738E+03
   0.100963E+03   0.256551E+01   0.689859E-03   0.245821E-03   0.300199E-03   0.136881E-02   0.190465E+03   0.000000E+00   0.000000E+00   0.190465E+03  -0.380930E+03
   0.100963E+03   0.329668E+01   0.390767E-03   0.245821E-03   0.300199E-03   0.136881E-02   0.191266E+03   0.000000E+00   0.000000E+00   0.191266E+03  -0.382532E+03
   0.100963E+03   0.329668E+01   0.390767E-03   0.245821E-03   0.300199E-03   0.136881E-02   0.191266E+03   0.000000E+00   0.000000E+00   0.191266E+03  -0.382532E+03
   0.100963E+03   0.329668E+01   0.390767E-03   0.245821E-03   0.300199E-03   0.882882E-03   0.190574E+03   0.000000E+00   0.000000E+00   0.190574E+03  -0.381148E+03
   0.100963E+03   0.329668E+01   0.390767E-03   0.245821E-03   0.300199E-03   0.882882E-03   0.190574E+03   0.000000E+00   0.000000E+00   0.190574E+03  -0.381148E+03
   0.100963E+03   0.871728E+00   0.390767E-03   0.245821E-03   0.300199E-03   0.882882E-03   0.190897E+03   0.000000E+00   0.000000E+00   0.190897E+03  -0.381794E+03
   0.100963E+03   0.871728E+00   0.390767E-03   0.245821E-03   0.300199E-03   0.882882E-03   0.190897E+03   0.000000E+00   0.000000E+00   0.190897E+03  -0.381794E+03
