Kmin_a0       Kmin_a1       Kmin_a2       Kmin_a3       Kmin_a4       Kmin_a5       Kmin_a6       Kmin_a7       Kmin_a8       Kmin_a9       Kmin_a10      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.307273E+02  0.951707E+00 -0.598306E+01  0.419599E+01  0.530352E+01  0.624544E+01  0.140484E+01 -0.597410E+01 -0.477005E+01 -0.917270E+01  0.666895E+01  0.983042E-03  0.180156E-01  0.347137E-03  0.914517E-02  0.127164E-01 -0.822444E+03
  0.312196E+02 -0.178939E+00 -0.540383E+01  0.419599E+01  0.530352E+01  0.749526E+01  0.140484E+01 -0.770143E+01 -0.111228E+01 -0.128464E+02  0.818041E+01  0.163156E-02  0.183972E-01  0.347137E-03  0.865877E-02  0.120573E-01 -0.824284E+03
  0.312196E+02 -0.178939E+00 -0.545963E+01  0.419599E+01  0.665505E+01  0.749526E+01  0.140484E+01 -0.770143E+01 -0.111228E+01 -0.128464E+02  0.730991E+01  0.511783E-03  0.187594E-01  0.131770E-02  0.104789E-01  0.120996E-01 -0.822993E+03
  0.312196E+02 -0.178939E+00 -0.545963E+01  0.419599E+01  0.665505E+01  0.478394E+01  0.140484E+01 -0.770143E+01 -0.446118E+01 -0.121947E+02  0.730991E+01  0.219695E-02  0.194116E-01  0.372240E-03  0.997087E-02  0.115545E-01 -0.822282E+03
  0.312196E+02 -0.178939E+00 -0.583392E+01  0.419599E+01  0.665505E+01  0.478394E+01  0.626025E+00 -0.770143E+01 -0.393454E+01 -0.121947E+02  0.730991E+01  0.206587E-02  0.196363E-01  0.211662E-02  0.105186E-01  0.126894E-01 -0.823034E+03
  0.312196E+02  0.172100E+01 -0.583392E+01  0.419599E+01  0.928308E+01  0.453585E+01  0.626025E+00 -0.673379E+01 -0.393454E+01 -0.121947E+02  0.651075E+01  0.151130E-02  0.184003E-01  0.280619E-02  0.105276E-01  0.110983E-01 -0.820412E+03
  0.312196E+02  0.777911E+00 -0.583392E+01  0.419599E+01  0.928308E+01  0.399718E+01  0.626025E+00 -0.673379E+01 -0.393454E+01 -0.121947E+02  0.648956E+01  0.186077E-03  0.188360E-01  0.367157E-02  0.117264E-01  0.125856E-01 -0.821461E+03
  0.312196E+02  0.777911E+00 -0.583392E+01  0.419599E+01  0.928308E+01  0.399718E+01  0.261692E+01 -0.804278E+01 -0.145857E+01 -0.121947E+02  0.648956E+01  0.186077E-03  0.195268E-01  0.300567E-02  0.111999E-01  0.112377E-01 -0.821304E+03
  0.312951E+02  0.777911E+00 -0.602189E+01  0.419599E+01  0.928308E+01  0.666661E+01  0.411118E+00 -0.804278E+01 -0.146149E+01 -0.106991E+02  0.412914E+01  0.186077E-03  0.172675E-01  0.230985E-02  0.121550E-01  0.124229E-01 -0.821848E+03
  0.312951E+02  0.777911E+00 -0.602189E+01  0.431878E+01  0.102687E+02  0.337579E+01  0.411118E+00 -0.804278E+01 -0.146149E+01 -0.120502E+02  0.412914E+01  0.120541E-02  0.179987E-01  0.213383E-02  0.122928E-01  0.113531E-01 -0.823105E+03
  0.312951E+02  0.777911E+00 -0.602189E+01  0.298376E+01  0.102687E+02  0.279702E+01  0.411118E+00 -0.804278E+01 -0.475957E+01 -0.123463E+02  0.412914E+01  0.985756E-03  0.175408E-01  0.432860E-02  0.140037E-01  0.110267E-01 -0.826181E+03
  0.312951E+02  0.777911E+00 -0.602189E+01  0.298376E+01  0.102687E+02  0.279702E+01  0.411118E+00 -0.804278E+01 -0.475957E+01 -0.123463E+02  0.751205E+01  0.253846E-02  0.162570E-01  0.495865E-02  0.140105E-01  0.114037E-01 -0.825825E+03
