Kmin_a0        Kmin_a1        Kmin_a2        Kmin_a3        Kmin_a4        Kmin_a5        Kmin_a6        Kmin_a7        Kmin_a8        Kmin_a9        Kmin_a10       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.306390E+02   0.916846E+00  -0.477288E+01   0.727506E+01   0.775799E+01   0.465466E+01   0.453502E+01  -0.444363E+01  -0.599625E+01  -0.148951E+02   0.373771E+01   0.835146E-02   0.575732E-02   0.181649E-01   0.177379E-01   0.216682E-01  -0.825997E+03
   0.314205E+02   0.767842E+00  -0.494419E+01   0.514664E+01   0.101224E+02   0.800404E+01   0.264141E+01  -0.467165E+01  -0.260410E+01  -0.100346E+02   0.444729E+01   0.631460E-03   0.159084E-01   0.189279E-01   0.200416E-01   0.272712E-02  -0.825890E+03
   0.313979E+02   0.122451E+01  -0.604745E+01   0.418567E+01   0.554361E+01   0.633085E+01   0.275361E+01  -0.522717E+01  -0.723853E+01  -0.140544E+02   0.114820E+02   0.715141E-02   0.137892E-01   0.888314E-02   0.449112E-03   0.272712E-02  -0.824081E+03
   0.313979E+02   0.251483E+01  -0.582220E+01   0.587224E+01   0.707243E+01   0.742947E+01   0.738228E+00  -0.464614E+01  -0.656713E+01  -0.129508E+02   0.784893E+01   0.656048E-02   0.323511E-02   0.189585E-01   0.155645E-02   0.558703E-02  -0.823995E+03
   0.306828E+02   0.184969E+01  -0.519633E+01   0.420457E+01   0.595217E+01   0.671316E+01   0.162379E+00  -0.616194E+01  -0.334374E+01  -0.113303E+02   0.732948E+01   0.585203E-02   0.170916E-02   0.404990E-01   0.129563E-01   0.386971E-02  -0.824545E+03
   0.305745E+02   0.238213E+01  -0.416005E+01   0.725714E+01   0.657666E+01   0.379979E+01   0.688955E+00  -0.848700E+01  -0.214335E+01  -0.685087E+01   0.376841E+01   0.599578E-02   0.365971E-02   0.423441E-01   0.749596E-02   0.272546E-01  -0.829830E+03
   0.300746E+02   0.131159E+01  -0.564303E+01   0.365892E+01   0.901626E+01   0.335333E+01   0.113464E+00  -0.887416E+01   0.243269E+01  -0.936103E+01   0.450498E+01   0.643566E-02   0.133124E-01   0.603305E-02   0.178557E-01   0.382569E-02  -0.827559E+03
   0.305760E+02   0.761124E+00  -0.257336E+01   0.644075E+01   0.618150E+01   0.313594E+01   0.265662E+01  -0.779225E+01  -0.395855E+01  -0.131036E+02   0.508303E+01   0.172183E-02   0.218310E-03   0.304701E-01   0.158427E-02   0.148399E-01  -0.823240E+03
   0.305760E+02   0.216404E+01  -0.257336E+01   0.517388E+01   0.101385E+02   0.479277E+01   0.426062E+00  -0.316540E+01  -0.274549E+01  -0.136413E+02   0.343216E+01   0.172183E-02   0.230067E-01   0.157432E-02   0.490365E-02   0.100808E-01  -0.826061E+03
   0.310614E+02   0.250865E+01  -0.257336E+01   0.807643E+01   0.101385E+02   0.251680E+01   0.395644E+01  -0.455894E+01  -0.504880E+01  -0.147478E+02   0.704155E+01   0.269886E-02   0.751510E-03   0.380210E-01   0.295321E-03   0.141003E-01  -0.828210E+03
   0.311362E+02   0.219673E+01  -0.517316E+01   0.653370E+01   0.104597E+02   0.487165E+01   0.326986E+01  -0.455894E+01  -0.504880E+01  -0.123347E+02   0.758799E+01   0.208093E-02   0.856135E-02   0.106038E-01   0.920093E-02   0.380645E-02  -0.821386E+03
   0.308046E+02   0.206404E+01  -0.435493E+01   0.423876E+01   0.890416E+01   0.488114E+01   0.583300E+01  -0.813601E+01  -0.396642E+01  -0.120293E+02   0.469324E+01   0.630122E-02   0.235393E-02   0.879868E-02   0.925569E-02   0.121074E-02  -0.820333E+03
   0.300112E+02   0.214146E+01  -0.371556E+01   0.314528E+01   0.795472E+01   0.650742E+01   0.240327E+01  -0.577022E+01  -0.377271E+01  -0.129768E+02   0.376347E+01   0.567384E-02   0.238828E-02   0.109221E-01   0.397095E-02   0.483857E-02  -0.821343E+03
   0.310614E+02   0.244095E+01  -0.375011E+01   0.391275E+01   0.100663E+02   0.601846E+01   0.226432E+01  -0.764995E+01  -0.577009E+01  -0.133881E+02   0.600076E+01   0.852217E-03   0.679482E-03   0.359975E-02   0.120637E-02   0.875466E-02  -0.818803E+03
   0.310378E+02   0.276666E+01  -0.493403E+01   0.442221E+01   0.970170E+01   0.912279E+01   0.126559E+01  -0.796882E+01  -0.360034E+01  -0.996907E+01   0.816636E+01   0.447692E-03   0.884700E-02   0.448928E-02   0.120637E-02   0.211822E-01  -0.823952E+03
   0.312432E+02   0.136018E+01  -0.422884E+01   0.434658E+01   0.766052E+01   0.493280E+01   0.374989E+01  -0.905084E+01  -0.375930E+01  -0.113373E+02   0.626720E+01   0.209709E-01   0.480067E-02   0.194729E-01   0.115636E-01   0.151184E-01  -0.825631E+03
   0.314335E+02   0.619285E+00  -0.674917E+01   0.630043E+01   0.855045E+01   0.493280E+01   0.374989E+01  -0.714434E+01  -0.509200E+01  -0.106985E+02   0.521124E+01   0.432514E-04   0.539224E-02   0.388450E-02   0.531356E-02   0.284886E-01  -0.821198E+03
   0.314335E+02   0.619285E+00  -0.542990E+01   0.268771E+01   0.782669E+01   0.359433E+01   0.438776E+01  -0.917158E+01  -0.597290E+01  -0.158607E+02   0.965198E+01   0.114653E-03   0.254393E-02   0.769686E-03   0.749804E-02   0.133839E-01  -0.823822E+03
   0.310814E+02   0.619285E+00  -0.438446E+01   0.318088E+01   0.760432E+01   0.494062E+01   0.435371E+01  -0.890964E+01  -0.597290E+01  -0.137539E+02   0.701462E+01   0.724438E-02   0.446025E-02   0.103946E-02   0.109593E-02   0.161557E-01  -0.821191E+03
   0.306049E+02   0.114984E+01  -0.528300E+01   0.557718E+01   0.801489E+01   0.471900E+01   0.267725E+01  -0.929706E+01  -0.151606E+01  -0.808361E+01   0.448115E+01   0.663954E-02   0.912194E-02   0.206407E-01   0.397442E-02   0.246035E-01  -0.823396E+03
   0.306049E+02   0.119213E+01  -0.584963E+01   0.464089E+01   0.837801E+01   0.835719E+01   0.267725E+01  -0.918942E+01  -0.311146E+00  -0.117735E+02   0.943222E+00   0.416705E-02   0.237675E-02   0.132965E-01   0.913669E-02   0.448481E-01  -0.826818E+03
   0.307253E+02   0.149146E+01  -0.424273E+01   0.464089E+01   0.560250E+01   0.504240E+01   0.419272E+01  -0.892645E+01  -0.638132E+01  -0.120659E+02   0.406912E+01   0.300239E-02   0.728234E-02   0.308978E-02   0.190225E-03   0.601938E-02  -0.819071E+03
   0.307253E+02   0.191551E+01  -0.441156E+01   0.524937E+01   0.749645E+01   0.724417E+01   0.305546E+01  -0.685541E+01  -0.355262E+01  -0.105694E+02   0.340203E+01   0.514496E-02   0.605763E-02   0.153054E-02   0.111867E-01   0.615559E-02  -0.819188E+03
   0.308340E+02   0.141959E+01  -0.379963E+01   0.946675E+01   0.749645E+01   0.413786E+01   0.555987E+01  -0.611885E+01  -0.365532E+01  -0.126934E+02   0.267166E+01   0.307366E-02   0.983372E-02   0.141371E-02   0.473319E-02   0.979985E-02  -0.823808E+03
   0.311496E+02   0.772777E+00  -0.367212E+01   0.797372E+01   0.856244E+01   0.496091E+01   0.509100E+01  -0.707691E+01  -0.289069E+01  -0.152038E+02   0.541406E+01   0.139966E-01   0.437360E-02   0.188666E-01   0.473319E-02   0.134665E-01  -0.826221E+03
   0.311027E+02   0.819256E+00  -0.546494E+01   0.509937E+01   0.639161E+01   0.393664E+01   0.252229E+01  -0.500748E+01  -0.333943E+01  -0.109759E+02   0.943907E+01   0.131620E-01   0.438361E-02   0.966325E-02   0.112049E-01   0.217834E-02  -0.822533E+03
   0.304094E+02   0.254418E+01  -0.531150E+01   0.412319E+01   0.768353E+01   0.774648E+01   0.448447E+01  -0.548182E+01  -0.604773E+01  -0.935291E+01   0.518991E+01   0.281073E-02   0.711378E-02   0.168542E-01   0.153308E-02   0.217834E-02  -0.822247E+03
   0.308507E+02   0.274180E+01  -0.531150E+01   0.412319E+01   0.838059E+01   0.745932E+01   0.488631E+01  -0.682347E+01  -0.752738E+01  -0.866479E+01   0.413632E+01   0.488059E-02   0.781115E-03   0.230171E-01   0.153308E-02   0.894208E-02  -0.823749E+03
   0.309258E+02   0.223273E+01  -0.337327E+01   0.597971E+01   0.655700E+01   0.755875E+01   0.229680E+01  -0.753400E+01  -0.584994E+01  -0.111648E+02   0.722294E+01   0.240633E-03   0.549928E-01   0.108630E-01   0.397960E-01   0.625258E-02  -0.828867E+03
   0.304972E+02   0.223273E+01  -0.376535E+01   0.597971E+01   0.655700E+01   0.807588E+01   0.410228E+01  -0.566185E+01  -0.341475E+01  -0.132827E+02   0.403770E+01   0.385208E-02   0.315027E-01   0.122533E-02   0.101852E-01   0.737759E-02  -0.824906E+03
   0.304796E+02   0.222857E+01  -0.376535E+01   0.574334E+01   0.828451E+01   0.555564E+01   0.103726E+01  -0.832495E+01  -0.103556E+01  -0.132827E+02   0.374759E+01   0.939559E-02   0.595969E-02   0.121847E-01   0.789733E-02   0.551533E-02  -0.822085E+03
   0.308832E+02   0.161955E+01  -0.376535E+01   0.521776E+01   0.971509E+01   0.748583E+01   0.190207E+00  -0.541466E+01  -0.433467E+01  -0.130380E+02  -0.132744E+00   0.348129E-02   0.366556E-02   0.160379E-01   0.860865E-02   0.831758E-02  -0.824372E+03
