a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101923E+03   0.378233E+01   0.983158E+01   0.637021E+01   0.626326E-04   0.140942E-03   0.279812E-03   0.149303E+03   0.000000E+00   0.000000E+00   0.149303E+03  -0.298606E+03
   0.101923E+03   0.378233E+01   0.105653E+02   0.930225E+01   0.626326E-04   0.140942E-03   0.279812E-03   0.148809E+03   0.000000E+00   0.000000E+00   0.148809E+03  -0.297618E+03
   0.101923E+03   0.378233E+01   0.461338E+01   0.930225E+01   0.626326E-04   0.140942E-03   0.279812E-03   0.150175E+03   0.000000E+00   0.000000E+00   0.150175E+03  -0.300350E+03
   0.101923E+03   0.378233E+01   0.415023E+01  -0.409275E-01   0.626326E-04   0.137840E-03   0.279812E-03   0.149875E+03   0.000000E+00   0.000000E+00   0.149875E+03  -0.299750E+03
   0.101923E+03   0.378233E+01   0.415023E+01   0.557903E+01   0.626326E-04   0.367699E-03   0.279812E-03   0.149254E+03   0.000000E+00   0.000000E+00   0.149254E+03  -0.298508E+03
   0.101923E+03  -0.166291E+01   0.295397E+01  -0.111256E+02   0.626326E-04   0.665200E-03   0.279812E-03   0.147322E+03   0.000000E+00   0.000000E+00   0.147322E+03  -0.294644E+03
   0.101923E+03  -0.416754E+01   0.295397E+01  -0.111256E+02   0.626326E-04   0.665200E-03   0.279812E-03   0.146878E+03   0.000000E+00   0.000000E+00   0.146878E+03  -0.293756E+03
   0.101923E+03  -0.416754E+01  -0.975285E+01  -0.111256E+02   0.626326E-04   0.665200E-03   0.130179E-03   0.144991E+03   0.000000E+00   0.000000E+00   0.144991E+03  -0.289982E+03
   0.101923E+03  -0.416754E+01  -0.305345E+01  -0.111256E+02   0.626326E-04   0.216989E-03   0.130179E-03   0.148809E+03   0.000000E+00   0.000000E+00   0.148809E+03  -0.297618E+03
   0.101923E+03  -0.416754E+01  -0.305345E+01  -0.585315E+01   0.230950E-03   0.216989E-03   0.130179E-03   0.147599E+03   0.000000E+00   0.000000E+00   0.147599E+03  -0.295198E+03
   0.101923E+03  -0.237140E+00   0.328736E+01  -0.124211E+02   0.230950E-03   0.216989E-03   0.130179E-03   0.149302E+03   0.000000E+00   0.000000E+00   0.149302E+03  -0.298604E+03
   0.101923E+03  -0.431102E+01   0.328736E+01  -0.114794E+02   0.230950E-03   0.216989E-03   0.130179E-03   0.148990E+03   0.000000E+00   0.000000E+00   0.148990E+03  -0.297980E+03
   0.101876E+03  -0.431102E+01   0.328736E+01  -0.103377E+01   0.230950E-03   0.159968E-03   0.130179E-03   0.147129E+03   0.000000E+00   0.000000E+00   0.147129E+03  -0.294258E+03
