a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100459E+03   0.286588E+01   0.417755E-03   0.155538E-03   0.676246E-03   0.120338E-02   0.149637E-02   0.107887E-02   0.651372E-03   0.789846E-03   0.168992E-03   0.208285E+03   0.000000E+00   0.000000E+00   0.208285E+03  -0.416570E+03
   0.100459E+03   0.602767E+01   0.417755E-03   0.155538E-03   0.676246E-03   0.123189E-02   0.907612E-03   0.107887E-02   0.651372E-03   0.789846E-03   0.168992E-03   0.207994E+03   0.000000E+00   0.000000E+00   0.207994E+03  -0.415988E+03
   0.100459E+03   0.602767E+01   0.417755E-03   0.155538E-03   0.676246E-03   0.728140E-03   0.907612E-03   0.107887E-02   0.651372E-03   0.789846E-03   0.168992E-03   0.208777E+03   0.000000E+00   0.000000E+00   0.208777E+03  -0.417554E+03
   0.100459E+03   0.627939E+01   0.417755E-03   0.343843E-02   0.676246E-03   0.728140E-03   0.907612E-03   0.107887E-02   0.129257E-03   0.789846E-03   0.168992E-03   0.202819E+03   0.000000E+00   0.000000E+00   0.202819E+03  -0.405638E+03
   0.100459E+03   0.176168E+01   0.257194E-03   0.213370E-02   0.676246E-03   0.848892E-03   0.907612E-03   0.978728E-03   0.129257E-03   0.789846E-03   0.168992E-03   0.207028E+03   0.000000E+00   0.000000E+00   0.207028E+03  -0.414056E+03
   0.100459E+03  -0.368161E-01   0.257194E-03   0.134556E-02   0.676246E-03   0.848892E-03   0.907612E-03   0.978728E-03   0.129257E-03   0.789846E-03   0.168992E-03   0.208410E+03   0.000000E+00   0.000000E+00   0.208410E+03  -0.416820E+03
   0.100459E+03  -0.368161E-01   0.257194E-03   0.430311E-03   0.676246E-03   0.848892E-03   0.907612E-03   0.978728E-03   0.129257E-03   0.789846E-03   0.168992E-03   0.210229E+03   0.000000E+00   0.000000E+00   0.210229E+03  -0.420458E+03
   0.100459E+03  -0.368161E-01   0.257194E-03   0.546603E-03   0.676246E-03   0.848892E-03   0.907612E-03   0.305157E-02   0.129257E-03   0.789846E-03   0.168992E-03   0.206911E+03   0.000000E+00   0.000000E+00   0.206911E+03  -0.413822E+03
   0.100281E+03   0.337940E+01   0.257194E-03   0.546603E-03   0.676246E-03   0.848892E-03   0.907612E-03   0.154562E-02   0.436000E-03   0.789846E-03   0.168992E-03   0.209301E+03   0.000000E+00   0.000000E+00   0.209301E+03  -0.418602E+03
   0.100281E+03   0.337940E+01   0.257194E-03   0.546603E-03   0.676246E-03   0.110614E-02   0.907612E-03   0.581511E-03   0.436000E-03   0.789846E-03   0.168992E-03   0.209901E+03   0.000000E+00   0.000000E+00   0.209901E+03  -0.419802E+03
   0.100281E+03   0.337940E+01   0.257194E-03   0.546603E-03   0.676246E-03   0.110614E-02   0.907612E-03   0.581511E-03   0.436000E-03   0.789846E-03   0.168992E-03   0.209901E+03   0.000000E+00   0.000000E+00   0.209901E+03  -0.419802E+03
   0.100281E+03  -0.694725E+00   0.257194E-03   0.551208E-03   0.676246E-03   0.110614E-02   0.907612E-03   0.581511E-03   0.436000E-03   0.789846E-03   0.168992E-03   0.209979E+03   0.000000E+00   0.000000E+00   0.209979E+03  -0.419958E+03
   0.100281E+03  -0.694725E+00   0.257194E-03   0.551208E-03   0.171542E-03   0.110614E-02   0.751860E-03   0.581511E-03   0.436000E-03   0.985767E-03   0.168992E-03   0.208978E+03   0.000000E+00   0.000000E+00   0.208978E+03  -0.417956E+03
   0.100281E+03   0.518857E+01   0.257194E-03   0.551208E-03   0.257763E-03   0.374535E-03   0.170980E-02   0.581511E-03   0.436000E-03   0.985767E-03   0.168992E-03   0.207254E+03   0.000000E+00   0.000000E+00   0.207254E+03  -0.414508E+03
   0.100281E+03   0.542496E+01   0.257194E-03   0.551208E-03   0.257763E-03   0.374535E-03   0.101573E-02   0.581511E-03   0.436000E-03   0.985767E-03   0.566286E-03   0.208663E+03   0.000000E+00   0.000000E+00   0.208663E+03  -0.417326E+03
   0.100281E+03   0.542496E+01   0.257194E-03   0.551208E-03   0.257763E-03   0.374535E-03   0.101573E-02   0.581511E-03   0.436000E-03   0.985767E-03   0.566286E-03   0.208663E+03   0.000000E+00   0.000000E+00   0.208663E+03  -0.417326E+03
   0.100281E+03   0.542496E+01   0.257194E-03   0.551208E-03   0.174385E-02   0.374535E-03   0.101573E-02   0.581511E-03   0.477558E-03   0.689312E-03   0.566286E-03   0.206844E+03   0.000000E+00   0.000000E+00   0.206844E+03  -0.413688E+03
   0.100281E+03   0.458616E+00   0.257194E-03   0.551208E-03   0.174385E-02   0.374535E-03   0.101573E-02   0.581511E-03   0.477558E-03   0.689312E-03   0.566286E-03   0.208248E+03   0.000000E+00   0.000000E+00   0.208248E+03  -0.416496E+03
   0.100281E+03   0.109771E+01   0.257194E-03   0.551208E-03   0.174385E-02   0.113196E-02   0.121938E-03   0.581511E-03   0.477558E-03   0.689312E-03   0.566286E-03   0.208623E+03   0.000000E+00   0.000000E+00   0.208623E+03  -0.417246E+03
   0.100281E+03   0.109771E+01   0.257194E-03   0.551208E-03   0.174385E-02   0.147673E-03   0.121938E-03   0.581511E-03   0.477558E-03   0.765596E-03   0.566286E-03   0.207776E+03   0.000000E+00   0.000000E+00   0.207776E+03  -0.415552E+03
   0.100281E+03   0.109771E+01   0.257194E-03   0.551208E-03   0.538170E-03   0.147673E-03   0.121938E-03   0.581511E-03   0.477558E-03   0.765596E-03   0.364651E-03   0.210055E+03   0.000000E+00   0.000000E+00   0.210055E+03  -0.420110E+03
   0.100281E+03   0.109771E+01   0.257194E-03   0.123484E-02   0.155764E-03   0.147673E-03   0.121938E-03   0.581511E-03   0.477558E-03   0.765596E-03   0.364651E-03   0.207906E+03   0.000000E+00   0.000000E+00   0.207906E+03  -0.415812E+03
   0.100281E+03   0.399940E+01   0.257194E-03   0.123484E-02   0.155764E-03   0.718860E-03   0.907220E-03   0.581511E-03   0.477558E-03   0.970858E-03   0.855858E-03   0.207600E+03   0.000000E+00   0.000000E+00   0.207600E+03  -0.415200E+03
   0.100281E+03   0.399940E+01   0.257194E-03   0.599337E-03   0.155764E-03   0.718860E-03   0.907220E-03   0.581511E-03   0.477558E-03   0.970858E-03   0.855858E-03   0.209028E+03   0.000000E+00   0.000000E+00   0.209028E+03  -0.418056E+03
   0.100281E+03   0.399940E+01   0.994210E-03   0.599337E-03   0.155764E-03   0.718860E-03   0.907220E-03   0.581511E-03   0.477558E-03   0.970858E-03   0.855858E-03   0.207947E+03   0.000000E+00   0.000000E+00   0.207947E+03  -0.415894E+03
   0.100281E+03   0.333644E+01   0.994210E-03   0.599337E-03   0.155764E-03   0.718860E-03   0.103186E-02   0.581511E-03   0.477558E-03   0.970858E-03   0.536745E-03   0.208338E+03   0.000000E+00   0.000000E+00   0.208338E+03  -0.416676E+03
   0.100281E+03   0.333644E+01   0.994210E-03   0.599337E-03   0.155764E-03   0.718860E-03   0.103186E-02   0.581511E-03   0.477558E-03   0.970858E-03   0.536745E-03   0.208338E+03   0.000000E+00   0.000000E+00   0.208338E+03  -0.416676E+03
   0.100281E+03   0.240084E+01   0.994210E-03   0.599337E-03   0.155764E-03   0.718860E-03   0.369394E-03   0.581511E-03   0.760865E-03   0.970858E-03   0.133290E-03   0.208810E+03   0.000000E+00   0.000000E+00   0.208810E+03  -0.417620E+03
   0.100281E+03   0.240084E+01   0.994210E-03   0.599337E-03   0.155764E-03   0.718860E-03   0.369394E-03   0.581511E-03   0.140365E-02   0.970858E-03   0.133290E-03   0.207416E+03   0.000000E+00   0.000000E+00   0.207416E+03  -0.414832E+03
   0.100281E+03   0.240084E+01   0.994210E-03   0.599337E-03   0.393549E-03   0.718860E-03   0.369394E-03   0.581511E-03   0.150402E-02   0.970858E-03   0.133290E-03   0.207670E+03   0.000000E+00   0.000000E+00   0.207670E+03  -0.415340E+03
   0.100281E+03  -0.122096E+01   0.994210E-03   0.599337E-03   0.393549E-03   0.718860E-03   0.369394E-03   0.581511E-03   0.150402E-02   0.970858E-03   0.133290E-03   0.207128E+03   0.000000E+00   0.000000E+00   0.207128E+03  -0.414256E+03
