"P0" "P1" "P2" "P3" "P4"
1 0.0785264178380998 -0.490750402552274 -0.116579063833792 0.352042363428079
1 0.0886249798028762 -0.48821841943241 -0.131197232471233 0.345815948437884
1 0.0987235417676522 -0.485380493451276 -0.145679830209169 0.338866819684328
1 0.108822103732428 -0.482236624608873 -0.16001140913289 0.33120510667135
1 0.118920665697205 -0.4787868129052 -0.174176521327686 0.322842030914955
1 0.129019227661981 -0.475031058340259 -0.188159718878843 0.313789905943218
1 0.139117789626757 -0.470969360914048 -0.201945553871653 0.304062137296279
1 0.149216351591533 -0.466601720626568 -0.215518578391403 0.293673222526348
1 0.159314913556309 -0.461928137477818 -0.228863344523382 0.2826387511977
1 0.169413475521086 -0.4569486114678 -0.241964404352881 0.270975404886681
1 0.179512037485862 -0.451663142596512 -0.254806309965187 0.2587009571817
1 0.189610599450638 -0.446071730863955 -0.267373613445589 0.245834273683239
1 0.199709161415414 -0.440174376270128 -0.279650866879377 0.232395312003842
1 0.209807723380191 -0.433971078815032 -0.291622622351839 0.218405121768123
1 0.219906285344967 -0.427461838498667 -0.303273431948264 0.203885844612766
1 0.230004847309743 -0.420646655321033 -0.314587847753942 0.188860714186519
1 0.240103409274519 -0.413525529282129 -0.325550421854162 0.173354056150198
1 0.250201971239295 -0.406098460381956 -0.336145706334211 0.157391288176689
1 0.260300533204072 -0.398365448620514 -0.34635825327938 0.140998919950942
1 0.270399095168848 -0.390326493997802 -0.356172614774956 0.124204553169978
1 0.280497657133624 -0.381981596513822 -0.36557334290623 0.107036881542884
1 0.2905962190984 -0.373330756168572 -0.37454498975849 0.0895256907908129
1 0.300694781063177 -0.364373972962052 -0.383072107417025 0.0717018586469885
1 0.310793343027953 -0.355111246894264 -0.391139247967123 0.0535973548567003
1 0.320891904992729 -0.345542577965206 -0.398730963494075 0.0352452411773044
1 0.330990466957505 -0.335667966174879 -0.405831806083169 0.0166796713782266
1 0.341089028922281 -0.325487411523283 -0.412426327819693 -0.00206410875904106
1 0.351187590887058 -0.315000914010417 -0.418499080788938 -0.0209497614409387
1 0.361286152851834 -0.304208473636282 -0.424034617076191 -0.039939856861839
1 0.37138471481661 -0.293110090400878 -0.429017488766741 -0.058995873204047
1 0.381483276781386 -0.281705764304204 -0.433432247945879 -0.0780781966377999
1 0.391581838746162 -0.269995495346262 -0.437263446698892 -0.0971461213212679
1 0.401680400710939 -0.25797928352705 -0.440495637111069 -0.116157849400553
1 0.411778962675715 -0.245657128846568 -0.443113371267701 -0.135070491009691
1 0.421877524640491 -0.233029031304818 -0.445101201254074 -0.153840064270648
1 0.431976086605267 -0.220094990901798 -0.446443679155479 -0.172421495293324
1 0.442074648570044 -0.206855007637509 -0.447125357057205 -0.190768618175552
1 0.45217321053482 -0.19330908151195 -0.447130787044539 -0.208834175003095
1 0.462271772499596 -0.179457212525123 -0.446444521202773 -0.226569815849651
1 0.472370334464372 -0.165299400677026 -0.445051111617193 -0.24392609877685
1 0.482468896429149 -0.150835645967659 -0.44293511037309 -0.260852489834254
1 0.492567458393925 -0.136065948397024 -0.440081069555751 -0.277297363059356
1 0.502666020358701 -0.120990307965119 -0.436473541250467 -0.293208000477583
1 0.512764582323477 -0.105608724671945 -0.432097077542526 -0.308530592102296
