a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100640E+03   0.350122E+01   0.300399E+01  -0.804439E+01  -0.835444E+01   0.100333E-02   0.584319E-03   0.233023E-03   0.439091E-02   0.426182E-03   0.505163E-02   0.157178E-02   0.658496E-03   0.100982E-02   0.196578E+03   0.000000E+00   0.000000E+00   0.196578E+03  -0.393156E+03
   0.100640E+03   0.519731E+01   0.658420E+00  -0.975308E+01  -0.835444E+01   0.100333E-02   0.109446E-02   0.233023E-03   0.439091E-02   0.426182E-03   0.505163E-02   0.157178E-02   0.658496E-03   0.100982E-02   0.195649E+03   0.000000E+00   0.000000E+00   0.195649E+03  -0.391298E+03
   0.100640E+03   0.220435E+01  -0.630743E+00  -0.975308E+01   0.306219E+01   0.100333E-02   0.109446E-02   0.233023E-03   0.250326E-02   0.637676E-03   0.505163E-02   0.157178E-02   0.658496E-03   0.100982E-02   0.198545E+03   0.000000E+00   0.000000E+00   0.198545E+03  -0.397090E+03
   0.100640E+03   0.220435E+01   0.223312E+00  -0.670599E+01  -0.111101E+02   0.100333E-02   0.109446E-02   0.233023E-03   0.250326E-02   0.637676E-03   0.505163E-02   0.157178E-02   0.658496E-03   0.100982E-02   0.197221E+03   0.000000E+00   0.000000E+00   0.197221E+03  -0.394442E+03
   0.100640E+03   0.339749E+01   0.223312E+00  -0.138301E+02  -0.266507E+01   0.100333E-02   0.109446E-02   0.192353E-03   0.196914E-02   0.592854E-04   0.505163E-02   0.157178E-02   0.658496E-03   0.100982E-02   0.198824E+03   0.000000E+00   0.000000E+00   0.198824E+03  -0.397648E+03
   0.999633E+02  -0.156586E+00  -0.329135E+01  -0.138301E+02  -0.131823E+01   0.513446E-03   0.109446E-02   0.192353E-03   0.332974E-03   0.592854E-04   0.117987E-02   0.157178E-02   0.658496E-03   0.100982E-02   0.205529E+03   0.000000E+00   0.000000E+00   0.205529E+03  -0.411058E+03
   0.999633E+02  -0.156586E+00   0.527155E+00   0.442498E+01   0.124830E+02   0.476206E-03   0.109446E-02   0.480446E-03   0.332974E-03   0.592854E-04   0.117987E-02   0.157178E-02   0.634953E-04   0.739317E-02   0.197761E+03   0.000000E+00   0.000000E+00   0.197761E+03  -0.395522E+03
   0.999633E+02  -0.820392E+00   0.442643E+01  -0.449810E+01   0.124830E+02   0.476206E-03   0.754027E-03   0.480446E-03   0.721033E-03   0.159557E-03   0.117987E-02   0.374954E-03   0.634953E-04   0.378626E-02   0.204509E+03   0.000000E+00   0.000000E+00   0.204509E+03  -0.409018E+03
   0.999633E+02  -0.820392E+00   0.371552E+01  -0.115097E+02   0.687020E+01   0.476206E-03   0.754027E-03   0.362205E-03   0.721033E-03   0.159557E-03   0.119986E-02   0.374954E-03   0.634953E-04   0.611724E-03   0.209683E+03   0.000000E+00   0.000000E+00   0.209683E+03  -0.419366E+03
   0.999633E+02  -0.820392E+00   0.371552E+01  -0.163147E+01   0.392174E+01   0.604839E-03   0.461122E-03   0.362205E-03   0.721033E-03   0.159557E-03   0.274864E-04   0.374954E-03   0.634953E-04   0.611724E-03   0.209551E+03   0.000000E+00   0.000000E+00   0.209551E+03  -0.419102E+03
   0.999633E+02   0.321252E+01   0.166820E+01  -0.163147E+01  -0.193022E+01   0.604839E-03   0.461122E-03   0.761162E-03   0.721033E-03   0.159557E-03   0.274864E-04   0.374954E-03   0.634953E-04   0.611724E-03   0.208822E+03   0.000000E+00   0.000000E+00   0.208822E+03  -0.417644E+03
   0.999633E+02  -0.665952E+00   0.184405E+01  -0.185283E+01   0.661209E+01   0.604839E-03   0.804671E-04   0.761162E-03   0.721033E-03   0.391328E-04   0.274864E-04   0.374954E-03   0.634953E-04   0.611724E-03   0.208875E+03   0.000000E+00   0.000000E+00   0.208875E+03  -0.417750E+03
   0.999633E+02   0.745786E-01   0.184405E+01  -0.291846E+01   0.369172E+01   0.604839E-03   0.226870E-03   0.761162E-03   0.273338E-03   0.391328E-04   0.534541E-03   0.379439E-03   0.618346E-05   0.611724E-03   0.210526E+03   0.000000E+00   0.000000E+00   0.210526E+03  -0.421052E+03
   0.999633E+02   0.745786E-01   0.184405E+01  -0.243598E+01  -0.894097E+01   0.604839E-03   0.226870E-03   0.761162E-03   0.273338E-03   0.160152E-02   0.534541E-03   0.379439E-03   0.618346E-05   0.611724E-03   0.208569E+03   0.000000E+00   0.000000E+00   0.208569E+03  -0.417138E+03
   0.999633E+02   0.745786E-01  -0.557657E+01  -0.162898E+02  -0.962649E+01   0.604839E-03   0.226870E-03   0.115566E-02   0.740469E-03   0.160152E-02   0.534541E-03   0.743509E-03   0.243222E-03   0.611724E-03   0.206739E+03   0.000000E+00   0.000000E+00   0.206739E+03  -0.413478E+03
   0.995287E+02   0.107760E+01  -0.557657E+01  -0.102959E+02   0.622149E+01   0.604839E-03   0.121595E-02   0.115566E-02   0.740469E-03   0.160152E-02   0.534541E-03   0.743509E-03   0.243222E-03   0.611724E-03   0.205388E+03   0.000000E+00   0.000000E+00   0.205388E+03  -0.410776E+03
   0.995287E+02   0.107760E+01  -0.101823E+01  -0.280561E+00  -0.357600E+01   0.604839E-03   0.121595E-02   0.115566E-02   0.740469E-03   0.160152E-02   0.534541E-03   0.743509E-03   0.243222E-03   0.611724E-03   0.207079E+03   0.000000E+00   0.000000E+00   0.207079E+03  -0.414158E+03
   0.995287E+02   0.107760E+01  -0.101823E+01  -0.280561E+00  -0.119878E+01   0.604839E-03   0.121595E-02   0.353796E-03   0.740469E-03   0.160152E-02   0.534541E-03   0.743509E-03   0.243222E-03   0.611724E-03   0.208005E+03   0.000000E+00   0.000000E+00   0.208005E+03  -0.416010E+03
