a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.107246E+03   0.393381E+01  -0.226696E+02  -0.403711E+02   0.364098E-03   0.788665E+01   0.143093E+02   0.105477E+02   0.138411E+02   0.342929E+02
   0.105666E+03   0.816405E+01  -0.118126E+02  -0.444106E+02   0.245677E-03   0.123873E+02   0.107105E+02   0.263239E+02   0.139193E+02   0.324851E+02
   0.105666E+03   0.378498E+01  -0.905974E+01  -0.449992E+02   0.887672E-03   0.101289E+02   0.107554E+02   0.138489E+02   0.126180E+02   0.372866E+02
   0.107439E+03  -0.114388E+02   0.269042E+02  -0.481035E+02   0.457023E-03   0.929165E+01   0.104939E+02   0.126490E+02   0.187456E+02   0.354752E+02
   0.106813E+03  -0.654738E+01   0.525212E+01  -0.542111E+02   0.402125E-03   0.644949E+01   0.120200E+02   0.143698E+02   0.215836E+02   0.335683E+02
   0.106813E+03  -0.539428E+01   0.113074E+02  -0.429538E+02   0.933231E-03   0.101143E+02   0.109628E+02   0.179271E+02   0.103627E+02   0.340672E+02
   0.107528E+03  -0.106184E+02   0.606141E+01  -0.501122E+02   0.251918E-03   0.107321E+02   0.776073E+01   0.158330E+02   0.155600E+02   0.370296E+02
   0.107528E+03  -0.364705E+01  -0.546772E+01  -0.462859E+02   0.436969E-03   0.125952E+02   0.105973E+02   0.176844E+02   0.131188E+02   0.363200E+02
   0.105474E+03  -0.210886E+02   0.245315E+02  -0.361310E+02   0.151813E-02   0.939444E+01   0.111363E+02   0.145282E+02   0.125235E+02   0.341347E+02
   0.997136E+02  -0.874960E+00   0.135587E+02  -0.112456E+02   0.268069E-03   0.904380E+01   0.959832E+01   0.145282E+02   0.110128E+02   0.379345E+02
   0.101205E+03  -0.582161E+01  -0.507061E+00  -0.238468E+02   0.240862E-03   0.848458E+01   0.914136E+01   0.125307E+02   0.172208E+02   0.389494E+02
   0.101076E+03   0.527943E+01  -0.103471E+02   0.312185E+02   0.652303E-04   0.104158E+02   0.109004E+02   0.152809E+02   0.152885E+02   0.375337E+02
   0.101450E+03   0.230914E+01   0.203338E+02   0.347801E+01   0.128414E-02   0.930085E+01   0.893588E+01   0.153519E+02   0.158786E+02   0.359350E+02
   0.101831E+03  -0.628371E+01   0.643662E+01  -0.992631E+01   0.938542E-03   0.101446E+02   0.122214E+02   0.186460E+02   0.124807E+02   0.355127E+02
   0.101831E+03  -0.761188E+01   0.201820E+02  -0.225415E+02   0.435159E-03   0.945013E+01   0.862898E+01   0.108929E+02   0.125629E+02   0.364853E+02
   0.102105E+03  -0.342376E+01  -0.106239E+02  -0.225415E+02   0.294876E-03   0.102454E+02   0.889492E+01   0.143843E+02   0.127654E+02   0.392227E+02
   0.102105E+03   0.301401E+01  -0.695355E+01  -0.195694E+02   0.294876E-03   0.918206E+01   0.904608E+01   0.151913E+02   0.128571E+02   0.387259E+02
   0.968112E+02   0.523686E+01  -0.380493E+01  -0.528981E+01   0.132519E-03   0.104705E+02   0.110256E+02   0.145068E+02   0.205973E+02   0.371930E+02
   0.991267E+02  -0.329350E+01  -0.128503E+02  -0.112277E+01   0.978685E-04   0.137851E+02   0.116914E+02   0.129627E+02   0.141889E+02   0.374460E+02
   0.103012E+03  -0.164782E+02   0.174519E+02  -0.284048E+02   0.119014E-02   0.117981E+02   0.908648E+01   0.130663E+02   0.166989E+02   0.347480E+02
   0.105478E+03  -0.149287E+01   0.685837E+01  -0.428877E+02   0.963377E-04   0.143462E+02   0.110660E+02   0.166451E+02   0.179560E+02   0.350557E+02
   0.105305E+03   0.103500E+01   0.108896E+02  -0.301933E+02   0.958309E-03   0.109586E+02   0.112259E+02   0.189308E+02   0.197593E+02   0.325955E+02
   0.102724E+03   0.712772E+01  -0.441201E+01  -0.270388E+02   0.242054E-03   0.875232E+01   0.950309E+01   0.957892E+01   0.987472E+01   0.336487E+02
   0.101752E+03  -0.449857E+01   0.580167E+01  -0.181156E+02   0.198195E-02   0.102218E+02   0.542340E+01   0.832009E+01   0.139786E+02   0.262791E+02
   0.102510E+03   0.634657E+01   0.237916E+02   0.134470E+01   0.596769E-03   0.958739E+01   0.121744E+02   0.114257E+02   0.139786E+02   0.361149E+02
   0.104679E+03  -0.271658E+01   0.683008E+01  -0.350030E+02   0.538705E-03   0.957169E+01   0.672517E+01   0.133813E+02   0.184984E+02   0.353587E+02
   0.103870E+03  -0.362941E+01  -0.135847E+02  -0.255602E+02   0.407917E-03   0.579803E+01   0.783227E+01   0.183011E+02   0.137126E+02   0.335872E+02
   0.103870E+03  -0.362941E+01  -0.141660E+02  -0.265420E+02   0.394015E-03   0.936457E+01   0.947737E+01   0.164027E+02   0.204032E+02   0.364553E+02
   0.102178E+03  -0.362941E+01   0.134131E+02  -0.354998E+02   0.106524E-03   0.944565E+01   0.103121E+02   0.203567E+02   0.108073E+02   0.357432E+02
   0.101729E+03   0.806180E+01   0.116321E+02   0.219349E+02   0.414565E-03   0.944565E+01   0.911530E+01   0.157270E+02   0.173633E+02   0.385752E+02
   0.996434E+02   0.148274E+01   0.106632E+02   0.642888E+01   0.920939E-05   0.681529E+01   0.113204E+02   0.173176E+02   0.174557E+02   0.371449E+02
   0.100907E+03   0.960420E+01   0.154276E+02   0.139015E+02   0.122499E-03   0.120137E+02   0.112514E+02   0.147285E+02   0.130360E+02   0.384230E+02
   0.974696E+02   0.547445E+01  -0.225984E+01   0.134488E+01   0.543068E-03   0.141831E+02   0.651236E+01   0.178653E+02   0.142435E+02   0.349871E+02
