a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100447E+03   0.470323E-03   0.681895E-03   0.640192E-04   0.124098E-02   0.191102E+03   0.000000E+00   0.000000E+00   0.191102E+03  -0.382204E+03
   0.100447E+03   0.470323E-03   0.681895E-03   0.640192E-04   0.124098E-02   0.191102E+03   0.000000E+00   0.000000E+00   0.191102E+03  -0.382204E+03
   0.100447E+03   0.470323E-03   0.443356E-03   0.640192E-04   0.124098E-02   0.192226E+03   0.000000E+00   0.000000E+00   0.192226E+03  -0.384452E+03
   0.100447E+03   0.470323E-03   0.443356E-03   0.640192E-04   0.383016E-03   0.188396E+03   0.000000E+00   0.000000E+00   0.188396E+03  -0.376792E+03
   0.100447E+03   0.470323E-03   0.443356E-03   0.640192E-04   0.176982E-02   0.190824E+03   0.000000E+00   0.000000E+00   0.190824E+03  -0.381648E+03
   0.100447E+03   0.470323E-03   0.443356E-03   0.640192E-04   0.176982E-02   0.190824E+03   0.000000E+00   0.000000E+00   0.190824E+03  -0.381648E+03
   0.100447E+03   0.470323E-03   0.486081E-03   0.640192E-04   0.176982E-02   0.190644E+03   0.000000E+00   0.000000E+00   0.190644E+03  -0.381288E+03
   0.100447E+03   0.470323E-03   0.486081E-03   0.640192E-04   0.176982E-02   0.190644E+03   0.000000E+00   0.000000E+00   0.190644E+03  -0.381288E+03
   0.100447E+03   0.758416E-03   0.486081E-03   0.640192E-04   0.694830E-03   0.190914E+03   0.000000E+00   0.000000E+00   0.190914E+03  -0.381828E+03
   0.100249E+03   0.758416E-03   0.486081E-03   0.640192E-04   0.694830E-03   0.190902E+03   0.000000E+00   0.000000E+00   0.190902E+03  -0.381804E+03
   0.100249E+03   0.758416E-03   0.486081E-03   0.640192E-04   0.694830E-03   0.190902E+03   0.000000E+00   0.000000E+00   0.190902E+03  -0.381804E+03
   0.100401E+03   0.758416E-03   0.486081E-03   0.640192E-04   0.694830E-03   0.190921E+03   0.000000E+00   0.000000E+00   0.190921E+03  -0.381842E+03
   0.101259E+03   0.615368E-03   0.486081E-03   0.640192E-04   0.694830E-03   0.190323E+03   0.000000E+00   0.000000E+00   0.190323E+03  -0.380646E+03
   0.101259E+03   0.615368E-03   0.204161E-03   0.640192E-04   0.694830E-03   0.191655E+03   0.000000E+00   0.000000E+00   0.191655E+03  -0.383310E+03
   0.100014E+03   0.615368E-03   0.204161E-03   0.640192E-04   0.694830E-03   0.191745E+03   0.000000E+00   0.000000E+00   0.191745E+03  -0.383490E+03
