a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  Y9_intercept  LogPost       
  0.100000E+03 -0.106140E+00 -0.689702E+01  0.154634E-03  0.433022E-03  0.234083E-03  0.286258E-02  0.632797E-03  0.168536E-03  0.160426E-02  0.263443E-04  0.173962E-03  0.204382E+03
  0.100000E+03 -0.106140E+00 -0.380076E+01  0.154634E-03  0.433022E-03  0.234083E-03  0.286258E-02  0.587003E-03  0.168536E-03  0.160426E-02  0.263443E-04  0.173962E-03  0.205091E+03
  0.100000E+03 -0.106140E+00 -0.106058E+01  0.989947E-03  0.433022E-03  0.234083E-03  0.286258E-02  0.587003E-03  0.168536E-03  0.160426E-02  0.263443E-04  0.173962E-03  0.204378E+03
  0.100000E+03 -0.106140E+00 -0.308642E+00  0.394065E-03  0.433022E-03  0.234083E-03  0.286258E-02  0.587003E-03  0.168536E-03  0.160426E-02  0.263443E-04  0.173962E-03  0.205470E+03
  0.100000E+03 -0.235307E+01 -0.308642E+00  0.394065E-03  0.433022E-03  0.234083E-03  0.286258E-02  0.587003E-03  0.168536E-03  0.149422E-02  0.263443E-04  0.902989E-03  0.203416E+03
  0.100000E+03 -0.235307E+01 -0.308642E+00  0.394065E-03  0.609378E-03  0.234083E-03  0.223110E-02  0.587003E-03  0.168536E-03  0.832408E-03  0.263443E-04  0.902989E-03  0.205314E+03
  0.100000E+03 -0.235307E+01 -0.308642E+00  0.394065E-03  0.609378E-03  0.234083E-03  0.432311E-03  0.186336E-03  0.154063E-02  0.832408E-03  0.263443E-04  0.902989E-03  0.206358E+03
  0.100000E+03 -0.235307E+01  0.272947E+01  0.568286E-03  0.609378E-03  0.234083E-03  0.262885E-02  0.186336E-03  0.154063E-02  0.832408E-03  0.263443E-04  0.962185E-03  0.203596E+03
  0.100000E+03 -0.235307E+01  0.272947E+01  0.568286E-03  0.609378E-03  0.234083E-03  0.262885E-02  0.186336E-03  0.154063E-02  0.832408E-03  0.263443E-04  0.475583E-03  0.204604E+03
  0.100000E+03 -0.235307E+01 -0.302806E+01  0.568286E-03  0.609378E-03  0.234083E-03  0.262885E-02  0.186336E-03  0.154063E-02  0.832408E-03  0.305034E-03  0.475583E-03  0.204655E+03
  0.100000E+03  0.848101E+00 -0.302806E+01  0.568286E-03  0.609378E-03  0.234083E-03  0.503997E-03  0.186336E-03  0.154063E-02  0.832408E-03  0.305034E-03  0.475583E-03  0.209350E+03
  0.100000E+03  0.848101E+00 -0.302806E+01  0.568286E-03  0.609378E-03  0.887539E-03  0.503997E-03  0.186336E-03  0.154063E-02  0.832408E-03  0.305034E-03  0.475583E-03  0.209402E+03
