a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101129E+03   0.406145E+01  -0.396341E+01   0.144802E+02   0.296480E-03   0.160988E-04   0.321836E-03   0.146768E-02   0.189132E+03   0.000000E+00   0.000000E+00   0.189132E+03  -0.378264E+03
   0.101129E+03   0.475125E+01  -0.396341E+01   0.145782E+02   0.146847E-03   0.160988E-04   0.321836E-03   0.116121E-02   0.189384E+03   0.000000E+00   0.000000E+00   0.189384E+03  -0.378768E+03
   0.101129E+03  -0.847987E+00  -0.252652E+01  -0.226672E+00   0.146847E-03   0.160988E-04   0.490154E-03   0.116121E-02   0.190189E+03   0.000000E+00   0.000000E+00   0.190189E+03  -0.380378E+03
   0.101970E+03  -0.847987E+00   0.142361E+01  -0.197691E+02   0.146847E-03   0.160988E-04   0.490154E-03   0.116121E-02   0.188481E+03   0.000000E+00   0.000000E+00   0.188481E+03  -0.376962E+03
   0.101970E+03  -0.847987E+00  -0.991002E+01  -0.253890E+02   0.146847E-03   0.160988E-04   0.490154E-03   0.153950E-02   0.186618E+03   0.000000E+00   0.000000E+00   0.186618E+03  -0.373236E+03
   0.101970E+03  -0.847987E+00  -0.911883E+01  -0.224759E+02   0.146847E-03   0.160988E-04   0.490154E-03   0.153950E-02   0.187825E+03   0.000000E+00   0.000000E+00   0.187825E+03  -0.375650E+03
   0.101856E+03  -0.847987E+00  -0.911883E+01  -0.224759E+02   0.146847E-03   0.160988E-04   0.490154E-03   0.153950E-02   0.187759E+03   0.000000E+00   0.000000E+00   0.187759E+03  -0.375518E+03
   0.101856E+03  -0.847987E+00  -0.893354E+01  -0.255623E+02   0.338276E-03   0.160988E-04   0.542956E-04   0.153950E-02   0.186795E+03   0.000000E+00   0.000000E+00   0.186795E+03  -0.373590E+03
   0.101856E+03  -0.847987E+00  -0.107382E+02  -0.168454E+02   0.338276E-03   0.512347E-04   0.542956E-04   0.153950E-02   0.188557E+03   0.000000E+00   0.000000E+00   0.188557E+03  -0.377114E+03
   0.101856E+03  -0.171020E+01  -0.107382E+02  -0.168454E+02   0.338276E-03   0.512347E-04   0.542956E-04   0.153950E-02   0.188661E+03   0.000000E+00   0.000000E+00   0.188661E+03  -0.377322E+03
   0.101454E+03  -0.171020E+01  -0.631752E+01  -0.149616E+02   0.338276E-03   0.512347E-04   0.542956E-04   0.153950E-02   0.190804E+03   0.000000E+00   0.000000E+00   0.190804E+03  -0.381608E+03
   0.101454E+03  -0.171020E+01  -0.471267E+01  -0.109537E+02   0.941609E-04   0.512347E-04   0.542956E-04   0.153950E-02   0.191820E+03   0.000000E+00   0.000000E+00   0.191820E+03  -0.383640E+03
   0.101454E+03  -0.298143E+01  -0.997798E+01  -0.167989E+02   0.941609E-04   0.370110E-03   0.542956E-04   0.153950E-02   0.188799E+03   0.000000E+00   0.000000E+00   0.188799E+03  -0.377598E+03
   0.101454E+03  -0.778183E+01   0.222094E+01  -0.106735E+02   0.941609E-04   0.845282E-03   0.542956E-04   0.153950E-02   0.185721E+03   0.000000E+00   0.000000E+00   0.185721E+03  -0.371442E+03
   0.101454E+03  -0.385738E+01   0.813473E+00  -0.106735E+02   0.941609E-04   0.547832E-03   0.542956E-04   0.150069E-02   0.190137E+03   0.000000E+00   0.000000E+00   0.190137E+03  -0.380274E+03
   0.100842E+03   0.473782E+01   0.693507E+01   0.763885E+01   0.941609E-04   0.816907E-03   0.542956E-04   0.150069E-02   0.188827E+03   0.000000E+00   0.000000E+00   0.188827E+03  -0.377654E+03
