a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.101210E+03  0.355992E+01  0.434318E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.146875E+03
  0.101210E+03  0.355992E+01  0.434318E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.146875E+03
  0.101210E+03  0.355992E+01  0.434318E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.146875E+03
  0.101210E+03  0.226346E+01  0.434318E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.147087E+03
  0.101210E+03  0.226346E+01  0.434318E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.147087E+03
  0.101210E+03  0.440865E+01 -0.731245E+00  0.723778E-03  0.328021E-03  0.446165E-03  0.146826E+03
  0.101210E+03  0.440865E+01 -0.637211E+01  0.723778E-03  0.328021E-03  0.446165E-03  0.145704E+03
  0.101210E+03  0.440865E+01 -0.637211E+01  0.759624E-03  0.328021E-03  0.446165E-03  0.145563E+03
  0.101210E+03  0.440865E+01 -0.637211E+01  0.759624E-03  0.328021E-03  0.446165E-03  0.145563E+03
  0.101210E+03  0.440865E+01 -0.637211E+01  0.759624E-03  0.328021E-03  0.446165E-03  0.145563E+03
  0.101210E+03  0.440865E+01 -0.637211E+01  0.759624E-03  0.328021E-03  0.446165E-03  0.145563E+03
  0.101210E+03  0.171611E+01 -0.637211E+01  0.759624E-03  0.328021E-03  0.446165E-03  0.146471E+03
  0.101210E+03  0.171611E+01 -0.564296E+01  0.759624E-03  0.328021E-03  0.446165E-03  0.146654E+03
  0.101210E+03  0.379035E+01 -0.501706E+01  0.759624E-03  0.328021E-03  0.446165E-03  0.146273E+03
  0.101210E+03  0.379035E+01 -0.501706E+01  0.759624E-03  0.328021E-03  0.446165E-03  0.146273E+03
  0.101210E+03  0.433384E+01  0.229122E+01  0.759624E-03  0.328021E-03  0.446165E-03  0.146729E+03
  0.101210E+03  0.433384E+01  0.229122E+01  0.759624E-03  0.328021E-03  0.446165E-03  0.146729E+03
  0.101210E+03  0.433384E+01 -0.462775E+01  0.878366E-03  0.328021E-03  0.446165E-03  0.145609E+03
  0.101210E+03  0.433384E+01 -0.493503E+01  0.878366E-03  0.328021E-03  0.479694E-03  0.145432E+03
