a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101743E+03  -0.396463E+01   0.693230E+01   0.444174E-04   0.417471E-03   0.259220E-05   0.146899E+03   0.000000E+00   0.000000E+00   0.146899E+03  -0.293798E+03
   0.102252E+03  -0.396463E+01   0.235780E+01   0.444174E-04   0.417471E-03   0.259220E-05   0.146395E+03   0.000000E+00   0.000000E+00   0.146395E+03  -0.292790E+03
   0.102252E+03  -0.396463E+01   0.235780E+01   0.444174E-04   0.417471E-03   0.284303E-03   0.145796E+03   0.000000E+00   0.000000E+00   0.145796E+03  -0.291592E+03
   0.102252E+03   0.191936E+01   0.339340E+01   0.444174E-04   0.417471E-03   0.284303E-03   0.148345E+03   0.000000E+00   0.000000E+00   0.148345E+03  -0.296690E+03
   0.102252E+03   0.191936E+01   0.105143E+02   0.444174E-04   0.417471E-03   0.284303E-03   0.147839E+03   0.000000E+00   0.000000E+00   0.147839E+03  -0.295678E+03
   0.102252E+03   0.191936E+01   0.105143E+02   0.444174E-04   0.417471E-03   0.284303E-03   0.147839E+03   0.000000E+00   0.000000E+00   0.147839E+03  -0.295678E+03
   0.102205E+03   0.191936E+01   0.105779E+02   0.444174E-04   0.417471E-03   0.284303E-03   0.147832E+03   0.000000E+00   0.000000E+00   0.147832E+03  -0.295664E+03
   0.102205E+03   0.191936E+01   0.387412E+01   0.444174E-04   0.417471E-03   0.284303E-03   0.148507E+03   0.000000E+00   0.000000E+00   0.148507E+03  -0.297014E+03
   0.101201E+03   0.191936E+01  -0.187789E+01   0.444174E-04   0.572506E-03   0.284303E-03   0.148414E+03   0.000000E+00   0.000000E+00   0.148414E+03  -0.296828E+03
   0.101201E+03   0.191936E+01   0.439831E+01   0.444174E-04   0.572506E-03   0.146179E-03   0.149029E+03   0.000000E+00   0.000000E+00   0.149029E+03  -0.298058E+03
   0.101201E+03   0.191936E+01   0.216465E+00   0.444174E-04   0.572506E-03   0.146179E-03   0.149138E+03   0.000000E+00   0.000000E+00   0.149138E+03  -0.298276E+03
   0.101201E+03  -0.316133E+01   0.216465E+00   0.160347E-03   0.249309E-03   0.413929E-03   0.146753E+03   0.000000E+00   0.000000E+00   0.146753E+03  -0.293506E+03
   0.101201E+03  -0.234626E+01  -0.288669E+01   0.160347E-03   0.249309E-03   0.413929E-03   0.147496E+03   0.000000E+00   0.000000E+00   0.147496E+03  -0.294992E+03
   0.101201E+03   0.218387E+01   0.282590E+01   0.160347E-03   0.249309E-03   0.413929E-03   0.149507E+03   0.000000E+00   0.000000E+00   0.149507E+03  -0.299014E+03
   0.100754E+03   0.218387E+01  -0.405785E+00   0.160347E-03   0.249309E-03   0.413929E-03   0.149521E+03   0.000000E+00   0.000000E+00   0.149521E+03  -0.299042E+03
   0.100754E+03   0.349013E+01  -0.405785E+00   0.160347E-03   0.249309E-03   0.413929E-03   0.149308E+03   0.000000E+00   0.000000E+00   0.149308E+03  -0.298616E+03
   0.100754E+03   0.349013E+01  -0.333226E+01   0.160347E-03   0.249309E-03   0.413929E-03   0.149208E+03   0.000000E+00   0.000000E+00   0.149208E+03  -0.298416E+03
   0.100754E+03   0.349013E+01   0.208224E+00   0.160347E-03   0.249309E-03   0.413929E-03   0.149265E+03   0.000000E+00   0.000000E+00   0.149265E+03  -0.298530E+03
   0.100754E+03   0.349013E+01   0.208224E+00   0.160347E-03   0.249309E-03   0.413929E-03   0.149265E+03   0.000000E+00   0.000000E+00   0.149265E+03  -0.298530E+03
   0.100754E+03   0.230610E+01  -0.352644E+01   0.160347E-03   0.230388E-03   0.413929E-03   0.149528E+03   0.000000E+00   0.000000E+00   0.149528E+03  -0.299056E+03
   0.997352E+02   0.343050E+01  -0.352644E+01   0.160347E-03   0.179070E-03   0.413929E-03   0.147505E+03   0.000000E+00   0.000000E+00   0.147505E+03  -0.295010E+03
   0.997352E+02   0.343050E+01  -0.881776E+01   0.160347E-03   0.179070E-03   0.413929E-03   0.146833E+03   0.000000E+00   0.000000E+00   0.146833E+03  -0.293666E+03
   0.997352E+02   0.343050E+01  -0.101331E+02   0.160347E-03   0.179070E-03   0.413929E-03   0.146372E+03   0.000000E+00   0.000000E+00   0.146372E+03  -0.292744E+03
   0.998580E+02  -0.528927E+00  -0.621849E+01   0.130506E-03   0.179070E-03   0.413929E-03   0.146862E+03   0.000000E+00   0.000000E+00   0.146862E+03  -0.293724E+03
   0.999282E+02  -0.528927E+00  -0.621849E+01   0.130506E-03   0.179070E-03   0.413929E-03   0.147078E+03   0.000000E+00   0.000000E+00   0.147078E+03  -0.294156E+03
   0.999123E+02  -0.528927E+00  -0.621849E+01   0.130506E-03   0.179070E-03   0.413929E-03   0.147031E+03   0.000000E+00   0.000000E+00   0.147031E+03  -0.294062E+03
   0.999123E+02   0.384240E+01  -0.477041E+00   0.526601E-03   0.179070E-03   0.413929E-03   0.146636E+03   0.000000E+00   0.000000E+00   0.146636E+03  -0.293272E+03
   0.102032E+03   0.976480E+00   0.262499E+01   0.526601E-03   0.179070E-03   0.220698E-03   0.149331E+03   0.000000E+00   0.000000E+00   0.149331E+03  -0.298662E+03
   0.102032E+03   0.565830E+01   0.262499E+01   0.526601E-03   0.179070E-03   0.220698E-03   0.147222E+03   0.000000E+00   0.000000E+00   0.147222E+03  -0.294444E+03
   0.102032E+03  -0.454604E-02  -0.264031E+01   0.526601E-03   0.179070E-03   0.220698E-03   0.148042E+03   0.000000E+00   0.000000E+00   0.148042E+03  -0.296084E+03
   0.100188E+03   0.714732E+00  -0.159540E+01   0.526601E-03   0.179070E-03   0.220698E-03   0.148860E+03   0.000000E+00   0.000000E+00   0.148860E+03  -0.297720E+03
   0.100188E+03   0.714732E+00  -0.159540E+01   0.258896E-03   0.179070E-03   0.118929E-03   0.149959E+03   0.000000E+00   0.000000E+00   0.149959E+03  -0.299918E+03
   0.101382E+03   0.714732E+00  -0.274702E+01   0.258896E-03   0.179070E-03   0.118929E-03   0.150510E+03   0.000000E+00   0.000000E+00   0.150510E+03  -0.301020E+03
   0.101382E+03   0.714732E+00  -0.316034E+01   0.258896E-03   0.421236E-03   0.118929E-03   0.149212E+03   0.000000E+00   0.000000E+00   0.149212E+03  -0.298424E+03
   0.101382E+03   0.714732E+00  -0.316034E+01   0.258896E-03   0.421236E-03   0.269755E-03   0.148801E+03   0.000000E+00   0.000000E+00   0.148801E+03  -0.297602E+03
