a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.102076E+03   0.215997E+01   0.533699E+01   0.200350E-03   0.907083E-04   0.379714E-04   0.134771E-02   0.192948E+03
   0.102076E+03   0.167508E+01   0.533699E+01   0.200350E-03   0.907083E-04   0.379714E-04   0.134771E-02   0.193014E+03
   0.102076E+03  -0.858032E-01   0.533699E+01   0.200350E-03   0.372419E-03   0.379714E-04   0.134771E-02   0.191810E+03
   0.102076E+03  -0.858032E-01   0.533699E+01   0.200350E-03   0.372419E-03   0.379714E-04   0.134771E-02   0.191810E+03
   0.102076E+03  -0.126593E+00   0.327321E+01   0.200350E-03   0.372419E-03   0.379714E-04   0.134771E-02   0.191571E+03
   0.102076E+03  -0.126593E+00   0.528736E+01   0.200350E-03   0.372419E-03   0.140825E-04   0.134771E-02   0.191811E+03
   0.102123E+03  -0.126593E+00   0.528736E+01   0.200350E-03   0.503716E-03   0.140825E-04   0.134771E-02   0.190997E+03
   0.102123E+03  -0.126593E+00   0.528736E+01   0.200350E-03   0.675976E-03   0.140825E-04   0.134771E-02   0.189985E+03
   0.102123E+03  -0.126593E+00   0.528736E+01   0.468794E-04   0.675976E-03   0.140825E-04   0.134426E-02   0.190110E+03
   0.102123E+03   0.284115E+01   0.528736E+01   0.468794E-04   0.675976E-03   0.140825E-04   0.159966E-02   0.189153E+03
   0.102123E+03   0.284115E+01   0.845929E+01   0.468794E-04   0.175357E-03   0.140825E-04   0.120065E-02   0.192616E+03
   0.102123E+03   0.346605E+01   0.814287E+01   0.468794E-04   0.175357E-03   0.140825E-04   0.120065E-02   0.192407E+03
   0.100442E+03   0.201446E+00   0.215475E+01   0.468794E-04   0.175357E-03   0.140825E-04   0.120065E-02   0.193539E+03
   0.100442E+03   0.201446E+00  -0.109727E+01   0.298311E-03   0.175357E-03   0.140825E-04   0.120065E-02   0.193680E+03
   0.100504E+03   0.201446E+00   0.409244E+01   0.298311E-03   0.175357E-03   0.140825E-04   0.138767E-02   0.192250E+03
   0.100504E+03   0.135482E+01   0.409244E+01   0.298311E-03   0.175357E-03   0.140825E-04   0.138767E-02   0.192542E+03
   0.100504E+03   0.181511E+01   0.409244E+01   0.298311E-03   0.175357E-03   0.140825E-04   0.908142E-03   0.193467E+03
   0.101087E+03   0.175744E+01  -0.346678E+00   0.298311E-03   0.175357E-03   0.140825E-04   0.908142E-03   0.194055E+03
   0.100960E+03   0.175744E+01   0.189962E+01   0.298311E-03   0.863831E-04   0.140825E-04   0.908142E-03   0.194521E+03
   0.100960E+03   0.175744E+01   0.189962E+01   0.257700E-04   0.863831E-04   0.140825E-04   0.908142E-03   0.194862E+03
   0.100643E+03   0.175744E+01   0.612889E+00   0.257700E-04   0.863831E-04   0.140825E-04   0.976362E-03   0.194836E+03
   0.100643E+03   0.175744E+01   0.528560E+01   0.257700E-04   0.863831E-04   0.140825E-04   0.976362E-03   0.193629E+03
   0.100643E+03   0.895226E+00  -0.196808E+01   0.257700E-04   0.863831E-04   0.140825E-04   0.976362E-03   0.194662E+03
   0.100643E+03   0.191152E+01  -0.196808E+01   0.465876E-03   0.863831E-04   0.140825E-04   0.976362E-03   0.193848E+03
   0.101825E+03   0.191152E+01   0.120557E+01   0.465876E-03   0.863831E-04   0.140825E-04   0.976362E-03   0.192631E+03
   0.101825E+03   0.191152E+01   0.421677E+01   0.436463E-03   0.863831E-04   0.140825E-04   0.976362E-03   0.193234E+03
   0.101825E+03  -0.617646E+00   0.493605E+01   0.436463E-03   0.863831E-04   0.140825E-04   0.976362E-03   0.192767E+03
   0.101825E+03  -0.617646E+00   0.588597E+01   0.436463E-03   0.863831E-04   0.140825E-04   0.976362E-03   0.192717E+03
   0.101164E+03   0.479056E+01   0.557575E+01   0.436463E-03   0.863831E-04   0.140825E-04   0.976362E-03   0.192209E+03
   0.101164E+03   0.479056E+01   0.851926E+00   0.299501E-03   0.355457E-03   0.140825E-04   0.976362E-03   0.191652E+03
   0.101164E+03   0.479056E+01   0.851926E+00   0.299501E-03   0.355457E-03   0.140825E-04   0.976362E-03   0.191652E+03
   0.100260E+03   0.441504E+01   0.729757E+01   0.299501E-03   0.355457E-03   0.140825E-04   0.976362E-03   0.189718E+03
   0.100260E+03   0.441504E+01  -0.216560E+01   0.299501E-03   0.355457E-03   0.184680E-04   0.976362E-03   0.191776E+03
   0.100260E+03   0.441504E+01   0.121258E+01   0.299501E-03   0.355457E-03   0.184680E-04   0.976362E-03   0.191934E+03
   0.100260E+03   0.441504E+01   0.121258E+01   0.299501E-03   0.355457E-03   0.184680E-04   0.568324E-03   0.190818E+03
   0.100260E+03   0.449499E+01   0.130080E+01   0.299501E-03   0.355457E-03   0.184680E-04   0.568324E-03   0.190748E+03
   0.100260E+03   0.449499E+01   0.154231E+01   0.299501E-03   0.355457E-03   0.184680E-04   0.148405E-02   0.190701E+03
   0.100260E+03   0.427244E+01   0.154231E+01   0.299501E-03   0.355457E-03   0.452117E-03   0.148405E-02   0.189744E+03
   0.100260E+03   0.427244E+01  -0.539542E+00   0.299501E-03   0.355457E-03   0.452117E-03   0.148405E-02   0.190023E+03
   0.100260E+03  -0.176889E+01  -0.539542E+00   0.299501E-03   0.660937E-03   0.604224E-04   0.113545E-02   0.190975E+03
   0.100260E+03  -0.176889E+01  -0.539542E+00   0.299501E-03   0.206568E-03   0.604224E-04   0.113545E-02   0.191963E+03
   0.100260E+03  -0.176889E+01  -0.281115E+00   0.299501E-03   0.206568E-03   0.604224E-04   0.113545E-02   0.191936E+03
   0.100260E+03   0.976887E+00  -0.501307E+00   0.299501E-03   0.206568E-03   0.604224E-04   0.113545E-02   0.193583E+03
   0.101220E+03   0.976887E+00  -0.762194E+00   0.164025E-03   0.206568E-03   0.604224E-04   0.141152E-02   0.193597E+03
   0.101220E+03   0.976887E+00  -0.762194E+00   0.332805E-03   0.206568E-03   0.604224E-04   0.827325E-03   0.193335E+03
   0.101220E+03   0.176623E+01  -0.762194E+00   0.223770E-04   0.166829E-03   0.604224E-04   0.827325E-03   0.193868E+03
   0.101220E+03   0.176623E+01   0.675597E+00   0.223770E-04   0.166829E-03   0.604224E-04   0.827325E-03   0.194168E+03
   0.101220E+03   0.176623E+01   0.675597E+00   0.223770E-04   0.166829E-03   0.604224E-04   0.827325E-03   0.194168E+03
