a0_min_r_1     a0_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.112966E+03   0.399974E+02   0.771399E-04   0.984252E+01   0.929452E+01   0.154213E+02   0.115899E+02   0.503219E+02  -0.785118E+01   0.000000E+00   0.581731E+02  -0.116346E+03
   0.113699E+03   0.399974E+02   0.771399E-04   0.948193E+01   0.995184E+01   0.157983E+02   0.135934E+02   0.503382E+02  -0.734510E+01   0.000000E+00   0.576833E+02  -0.115367E+03
   0.113699E+03   0.399974E+02   0.771399E-04   0.107390E+02   0.107172E+02   0.147605E+02   0.136370E+02   0.501546E+02  -0.752866E+01   0.000000E+00   0.576833E+02  -0.115367E+03
   0.113699E+03   0.399974E+02   0.771399E-04   0.107390E+02   0.117091E+02   0.145745E+02   0.126898E+02   0.496562E+02  -0.802707E+01   0.000000E+00   0.576833E+02  -0.115367E+03
   0.113800E+03   0.399974E+02   0.771399E-04   0.114359E+02   0.105743E+02   0.143520E+02   0.124279E+02   0.495801E+02  -0.794770E+01   0.000000E+00   0.575278E+02  -0.115056E+03
   0.113800E+03   0.399974E+02   0.199896E-03   0.127587E+02   0.103347E+02   0.167172E+02   0.124279E+02   0.485112E+02  -0.880074E+01   0.000000E+00   0.573119E+02  -0.114624E+03
   0.113800E+03   0.399974E+02   0.199896E-03   0.139278E+02   0.108618E+02   0.170150E+02   0.120175E+02   0.474640E+02  -0.984794E+01   0.000000E+00   0.573119E+02  -0.114624E+03
   0.113800E+03   0.399974E+02   0.199896E-03   0.121675E+02   0.109531E+02   0.170467E+02   0.120175E+02   0.484557E+02  -0.885622E+01   0.000000E+00   0.573119E+02  -0.114624E+03
   0.113800E+03   0.399974E+02   0.199896E-03   0.120051E+02   0.120163E+02   0.161639E+02   0.120175E+02   0.483099E+02  -0.900204E+01   0.000000E+00   0.573119E+02  -0.114624E+03
   0.113800E+03   0.399974E+02   0.172776E-03   0.120051E+02   0.957136E+01   0.166642E+02   0.138475E+02   0.492961E+02  -0.808318E+01   0.000000E+00   0.573793E+02  -0.114759E+03
   0.113800E+03   0.399974E+02   0.172776E-03   0.130663E+02   0.107048E+02   0.143545E+02   0.138475E+02   0.488522E+02  -0.852709E+01   0.000000E+00   0.573793E+02  -0.114759E+03
   0.113800E+03   0.399974E+02   0.172776E-03   0.116221E+02   0.107565E+02   0.141999E+02   0.146778E+02   0.495809E+02  -0.779838E+01   0.000000E+00   0.573793E+02  -0.114759E+03
   0.113800E+03   0.399974E+02   0.172776E-03   0.106417E+02   0.131365E+02   0.141999E+02   0.151491E+02   0.488125E+02  -0.856680E+01   0.000000E+00   0.573793E+02  -0.114759E+03
   0.113800E+03   0.399974E+02   0.172776E-03   0.998211E+01   0.116688E+02   0.127829E+02   0.150132E+02   0.495090E+02  -0.787031E+01   0.000000E+00   0.573793E+02  -0.114759E+03
   0.113800E+03   0.399974E+02   0.172776E-03   0.979364E+01   0.125628E+02   0.129741E+02   0.142115E+02   0.491560E+02  -0.822321E+01   0.000000E+00   0.573792E+02  -0.114758E+03
   0.113800E+03   0.388178E+02   0.172776E-03   0.979364E+01   0.132256E+02   0.150340E+02   0.134916E+02   0.493836E+02  -0.853716E+01   0.000000E+00   0.579208E+02  -0.115842E+03
   0.113800E+03   0.388178E+02   0.172776E-03   0.104296E+02   0.131656E+02   0.114685E+02   0.138429E+02   0.487442E+02  -0.917656E+01   0.000000E+00   0.579208E+02  -0.115842E+03
   0.113800E+03   0.388178E+02   0.172776E-03   0.101015E+02   0.135937E+02   0.114685E+02   0.138429E+02   0.485322E+02  -0.938857E+01   0.000000E+00   0.579208E+02  -0.115842E+03
   0.113800E+03   0.388178E+02   0.172776E-03   0.987326E+01   0.112458E+02   0.114685E+02   0.144480E+02   0.497700E+02  -0.815070E+01   0.000000E+00   0.579207E+02  -0.115841E+03
   0.113800E+03   0.388178E+02   0.172776E-03   0.108858E+02   0.834806E+01   0.114608E+02   0.120427E+02   0.492402E+02  -0.868049E+01   0.000000E+00   0.579207E+02  -0.115841E+03
   0.113800E+03   0.388178E+02   0.172776E-03   0.108858E+02   0.969614E+01   0.131637E+02   0.107535E+02   0.493712E+02  -0.854960E+01   0.000000E+00   0.579208E+02  -0.115842E+03
   0.113800E+03   0.388178E+02   0.172776E-03   0.108858E+02   0.937937E+01   0.140625E+02   0.107535E+02   0.494600E+02  -0.846075E+01   0.000000E+00   0.579207E+02  -0.115841E+03
   0.113800E+03   0.388178E+02   0.172776E-03   0.100801E+02   0.874220E+01   0.116161E+02   0.107992E+02   0.489789E+02  -0.894182E+01   0.000000E+00   0.579207E+02  -0.115841E+03
   0.113800E+03   0.384794E+02   0.172776E-03   0.107645E+02   0.938821E+01   0.108154E+02   0.100988E+02   0.477647E+02  -0.995859E+01   0.000000E+00   0.577233E+02  -0.115447E+03
   0.113793E+03   0.384794E+02   0.172776E-03   0.121600E+02   0.938821E+01   0.955243E+01   0.118323E+02   0.472337E+02  -0.104799E+02   0.000000E+00   0.577136E+02  -0.115427E+03
   0.113793E+03   0.384794E+02   0.172776E-03   0.120135E+02   0.875993E+01   0.955243E+01   0.110577E+02   0.468121E+02  -0.109015E+02   0.000000E+00   0.577136E+02  -0.115427E+03
   0.113793E+03   0.384794E+02   0.172776E-03   0.118100E+02   0.938555E+01   0.103504E+02   0.118674E+02   0.481538E+02  -0.955985E+01   0.000000E+00   0.577136E+02  -0.115427E+03
