a0_min         a0_flood       a1_flood       a2_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.164696E+03   0.498067E+02   0.146639E+01  -0.166097E+01   0.889168E-03   0.101127E+02   0.130955E+02   0.689220E+01   0.795485E+01   0.696211E+02
   0.164696E+03   0.449637E+02   0.178939E+01  -0.207959E+01   0.889168E-03   0.110749E+02   0.139102E+02   0.689220E+01   0.945455E+01   0.695632E+02
   0.180374E+03   0.523115E+02   0.195613E+01  -0.184942E+01   0.378946E-02   0.108699E+02   0.141850E+02   0.843971E+01   0.948807E+01   0.691471E+02
   0.183920E+03   0.525055E+02   0.211971E+01  -0.148266E+01   0.373411E-02   0.995877E+01   0.135332E+02   0.967838E+01   0.102423E+02   0.696816E+02
   0.183920E+03   0.548947E+02   0.247664E+01  -0.149038E+01   0.270997E-02   0.937218E+01   0.135332E+02   0.956916E+01   0.121823E+02   0.689483E+02
   0.182354E+03   0.523300E+02   0.236644E+01  -0.156163E+01   0.346311E-02   0.870949E+01   0.135332E+02   0.956916E+01   0.111074E+02   0.694638E+02
   0.178027E+03   0.518060E+02   0.184946E+01  -0.129719E+01   0.296717E-02   0.900052E+01   0.135332E+02   0.876106E+01   0.104374E+02   0.699872E+02
   0.168215E+03   0.518060E+02   0.226669E+01  -0.143268E+01   0.280421E-02   0.102537E+02   0.135332E+02   0.876106E+01   0.135387E+02   0.690370E+02
   0.154517E+03   0.456918E+02   0.204462E+01  -0.144949E+01   0.280421E-02   0.102537E+02   0.135332E+02   0.899364E+01   0.112804E+02   0.711242E+02
   0.150944E+03   0.498079E+02   0.204462E+01  -0.111310E+01   0.280421E-02   0.102537E+02   0.132487E+02   0.961504E+01   0.950466E+01   0.716215E+02
   0.161153E+03   0.464276E+02   0.220010E+01  -0.116403E+01   0.235552E-02   0.953307E+01   0.116204E+02   0.100441E+02   0.110427E+02   0.720609E+02
   0.154584E+03   0.427523E+02   0.208375E+01  -0.108262E+01   0.340042E-02   0.121995E+02   0.117804E+02   0.103144E+02   0.113930E+02   0.713807E+02
   0.155151E+03   0.456665E+02   0.191375E+01  -0.101471E+01   0.340042E-02   0.128204E+02   0.117804E+02   0.963012E+01   0.112361E+02   0.710434E+02
   0.163350E+03   0.437542E+02   0.220487E+01  -0.104498E+01   0.340042E-02   0.137832E+02   0.117804E+02   0.100354E+02   0.104213E+02   0.704243E+02
   0.158527E+03   0.487572E+02   0.207742E+01  -0.106667E+01   0.340042E-02   0.139890E+02   0.117804E+02   0.956892E+01   0.111897E+02   0.700547E+02
   0.156255E+03   0.518639E+02   0.187122E+01  -0.154132E+01   0.240849E-02   0.139890E+02   0.890194E+01   0.944411E+01   0.966372E+01   0.709070E+02
   0.150245E+03   0.478185E+02   0.165281E+01  -0.159543E+01   0.466432E-02   0.142697E+02   0.988928E+01   0.987183E+01   0.891867E+01   0.707121E+02
   0.150245E+03   0.480052E+02   0.137105E+01  -0.158606E+01   0.671966E-02   0.142495E+02   0.106168E+02   0.129410E+02   0.873138E+01   0.689069E+02
   0.149306E+03   0.512322E+02   0.133799E+01  -0.157234E+01   0.697093E-02   0.150200E+02   0.110357E+02   0.121146E+02   0.873138E+01   0.685075E+02
   0.154678E+03   0.461997E+02   0.152507E+01  -0.133009E+01   0.697093E-02   0.165554E+02   0.132357E+02   0.120453E+02   0.911438E+01   0.663767E+02
   0.154678E+03   0.426550E+02   0.142702E+01  -0.165360E+01   0.108213E-01   0.165554E+02   0.132357E+02   0.120792E+02   0.108055E+02   0.648136E+02
   0.173852E+03   0.454456E+02   0.117678E+01  -0.152262E+01   0.921073E-02   0.160444E+02   0.134073E+02   0.118073E+02   0.927119E+01   0.654342E+02
   0.180921E+03   0.471795E+02   0.109044E+01  -0.139850E+01   0.132045E-01   0.159408E+02   0.131371E+02   0.107680E+02   0.102362E+02   0.639219E+02
   0.179467E+03   0.447455E+02   0.762129E+00  -0.151472E+01   0.138700E-01   0.159408E+02   0.136387E+02   0.110692E+02   0.105744E+02   0.633264E+02
   0.186238E+03   0.406539E+02   0.106642E+01  -0.152343E+01   0.979360E-02   0.161439E+02   0.122243E+02   0.103408E+02   0.111827E+02   0.658291E+02
   0.166393E+03   0.416238E+02   0.100553E+01  -0.169413E+01   0.979360E-02   0.150076E+02   0.124827E+02   0.952679E+01   0.115385E+02   0.670853E+02
