a0_min_r_1     a0_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.112386E+03   0.407690E+02   0.172776E-03   0.132728E+02   0.116533E+02   0.119934E+02   0.165904E+02   0.483438E+02
   0.112386E+03   0.411804E+02   0.172776E-03   0.123973E+02   0.128855E+02   0.133828E+02   0.134348E+02   0.486590E+02
   0.112386E+03   0.411804E+02   0.172776E-03   0.121126E+02   0.128855E+02   0.121154E+02   0.180647E+02   0.479160E+02
   0.112386E+03   0.411804E+02   0.172776E-03   0.121126E+02   0.131935E+02   0.110501E+02   0.163249E+02   0.476742E+02
   0.112386E+03   0.411804E+02   0.172776E-03   0.115590E+02   0.131935E+02   0.118436E+02   0.175448E+02   0.480286E+02
   0.112386E+03   0.411804E+02   0.172776E-03   0.120161E+02   0.131935E+02   0.112513E+02   0.161697E+02   0.478640E+02
   0.112386E+03   0.411804E+02   0.172776E-03   0.114154E+02   0.115487E+02   0.110328E+02   0.162040E+02   0.488196E+02
   0.112386E+03   0.411804E+02   0.709121E-04   0.115270E+02   0.118871E+02   0.119421E+02   0.155106E+02   0.493968E+02
   0.112386E+03   0.411804E+02   0.709121E-04   0.873992E+01   0.118871E+02   0.133010E+02   0.149784E+02   0.501095E+02
   0.112386E+03   0.411804E+02   0.709121E-04   0.835815E+01   0.118871E+02   0.106752E+02   0.149784E+02   0.489333E+02
   0.112386E+03   0.411804E+02   0.709121E-04   0.835815E+01   0.118871E+02   0.106469E+02   0.113143E+02   0.481999E+02
   0.112386E+03   0.411804E+02   0.709121E-04   0.823778E+01   0.118871E+02   0.106469E+02   0.128731E+02   0.487193E+02
   0.112386E+03   0.411804E+02   0.709121E-04   0.792275E+01   0.114520E+02   0.101338E+02   0.120240E+02   0.480763E+02
   0.112386E+03   0.411804E+02   0.709121E-04   0.792275E+01   0.948620E+01   0.102347E+02   0.120240E+02   0.485456E+02
   0.112386E+03   0.411804E+02   0.709121E-04   0.815202E+01   0.939105E+01   0.109965E+02   0.120240E+02   0.492183E+02
   0.112386E+03   0.411804E+02   0.709121E-04   0.640607E+01   0.860062E+01   0.124419E+02   0.140515E+02   0.484018E+02
   0.111416E+03   0.411804E+02   0.709121E-04   0.640607E+01   0.900764E+01   0.134310E+02   0.130748E+02   0.482707E+02
   0.111416E+03   0.411804E+02   0.709121E-04   0.604492E+01   0.106352E+02   0.134310E+02   0.130748E+02   0.475636E+02
   0.111416E+03   0.411804E+02   0.709121E-04   0.577228E+01   0.935739E+01   0.142227E+02   0.123624E+02   0.470070E+02
   0.111416E+03   0.426699E+02   0.709121E-04   0.577228E+01   0.106161E+02   0.135419E+02   0.123624E+02   0.469791E+02
   0.110292E+03   0.426276E+02   0.709121E-04   0.577228E+01   0.106161E+02   0.135419E+02   0.123624E+02   0.468599E+02
   0.110292E+03   0.426276E+02   0.709121E-04   0.633581E+01   0.102687E+02   0.125559E+02   0.124336E+02   0.478397E+02
   0.110292E+03   0.426276E+02   0.709121E-04   0.633581E+01   0.983523E+01   0.126735E+02   0.115057E+02   0.475577E+02
   0.110292E+03   0.426276E+02   0.709121E-04   0.633581E+01   0.873278E+01   0.114905E+02   0.137539E+02   0.476223E+02
   0.110292E+03   0.426276E+02   0.709121E-04   0.849524E+01   0.868604E+01   0.114905E+02   0.126892E+02   0.494115E+02
   0.110292E+03   0.418234E+02   0.709121E-04   0.830568E+01   0.774565E+01   0.114905E+02   0.120426E+02   0.473644E+02
   0.112787E+03   0.418234E+02   0.709121E-04   0.830568E+01   0.774565E+01   0.114905E+02   0.117544E+02   0.473301E+02
   0.112787E+03   0.418234E+02   0.709121E-04   0.830568E+01   0.857465E+01   0.173691E+02   0.122517E+02   0.481442E+02
   0.112787E+03   0.418234E+02   0.709121E-04   0.901520E+01   0.770146E+01   0.175073E+02   0.129286E+02   0.480535E+02
   0.112787E+03   0.418234E+02   0.709121E-04   0.901520E+01   0.770146E+01   0.154920E+02   0.127760E+02   0.484274E+02
   0.112787E+03   0.418234E+02   0.218490E-03   0.114908E+02   0.690368E+01   0.154920E+02   0.132898E+02   0.473163E+02
   0.112787E+03   0.418234E+02   0.218490E-03   0.132416E+02   0.690368E+01   0.182284E+02   0.132898E+02   0.458058E+02
   0.112787E+03   0.418234E+02   0.218490E-03   0.129335E+02   0.672271E+01   0.169204E+02   0.103345E+02   0.448270E+02
   0.112787E+03   0.418234E+02   0.218490E-03   0.121246E+02   0.834539E+01   0.148631E+02   0.103345E+02   0.469107E+02
   0.112787E+03   0.418234E+02   0.218490E-03   0.124517E+02   0.876929E+01   0.149660E+02   0.119373E+02   0.478238E+02
   0.112787E+03   0.418234E+02   0.218490E-03   0.132030E+02   0.104717E+02   0.137241E+02   0.119373E+02   0.474006E+02
   0.112787E+03   0.418234E+02   0.218490E-03   0.130199E+02   0.847140E+01   0.134677E+02   0.121266E+02   0.474472E+02
   0.112787E+03   0.418234E+02   0.218490E-03   0.130199E+02   0.847140E+01   0.132708E+02   0.121266E+02   0.474196E+02
   0.112787E+03   0.418234E+02   0.218490E-03   0.139497E+02   0.819650E+01   0.149795E+02   0.121266E+02   0.467850E+02
   0.112787E+03   0.393886E+02   0.218490E-03   0.104667E+02   0.804548E+01   0.149795E+02   0.110358E+02   0.487380E+02
   0.112787E+03   0.393886E+02   0.218490E-03   0.947611E+01   0.747047E+01   0.135237E+02   0.112275E+02   0.485088E+02
   0.112787E+03   0.393886E+02   0.218490E-03   0.954458E+01   0.747047E+01   0.136088E+02   0.124710E+02   0.490379E+02
   0.112587E+03   0.393886E+02   0.218490E-03   0.931797E+01   0.735682E+01   0.153836E+02   0.121709E+02   0.485171E+02
   0.113269E+03   0.400054E+02   0.218490E-03   0.982475E+01   0.735682E+01   0.131285E+02   0.131458E+02   0.494523E+02
