a0_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.999205E+02  0.785538E-03  0.175424E-02  0.291588E-03  0.240176E-02  0.142351E-02  0.214713E-02  0.340232E-02  0.570380E-05  0.173572E+03
  0.999205E+02  0.785538E-03  0.248326E-02  0.291588E-03  0.240176E-02  0.142351E-02  0.214713E-02  0.357867E-02  0.570380E-05  0.172174E+03
  0.999205E+02  0.785538E-03  0.248326E-02  0.291588E-03  0.240176E-02  0.142351E-02  0.214713E-02  0.135341E-02  0.570380E-05  0.175455E+03
  0.999205E+02  0.785538E-03  0.248326E-02  0.291588E-03  0.602976E-03  0.102284E-02  0.214713E-02  0.135341E-02  0.570380E-05  0.178705E+03
  0.999205E+02  0.785538E-03  0.248326E-02  0.291588E-03  0.602976E-03  0.102284E-02  0.114119E-02  0.135341E-02  0.570380E-05  0.180441E+03
  0.999205E+02  0.785538E-03  0.248326E-02  0.350784E-03  0.602976E-03  0.102284E-02  0.114119E-02  0.135341E-02  0.570380E-05  0.180562E+03
  0.999205E+02  0.785538E-03  0.248326E-02  0.350784E-03  0.602976E-03  0.102284E-02  0.114119E-02  0.135341E-02  0.570380E-05  0.180562E+03
  0.999205E+02  0.785538E-03  0.187132E-02  0.350784E-03  0.602976E-03  0.102284E-02  0.114119E-02  0.135341E-02  0.570380E-05  0.181554E+03
  0.999205E+02  0.785538E-03  0.215001E-02  0.350784E-03  0.602976E-03  0.102284E-02  0.114119E-02  0.135341E-02  0.570380E-05  0.181076E+03
  0.999205E+02  0.785538E-03  0.251630E-04  0.350784E-03  0.602976E-03  0.102284E-02  0.114119E-02  0.135341E-02  0.570380E-05  0.184304E+03
  0.999205E+02  0.639019E-03  0.251630E-04  0.350784E-03  0.125643E-02  0.102284E-02  0.114119E-02  0.135341E-02  0.570380E-05  0.183917E+03
  0.999205E+02  0.639019E-03  0.251630E-04  0.350784E-03  0.125643E-02  0.102284E-02  0.616084E-03  0.187073E-02  0.141699E-02  0.181178E+03
  0.999205E+02  0.639019E-03  0.251630E-04  0.350784E-03  0.125643E-02  0.102284E-02  0.616084E-03  0.253155E-02  0.141699E-02  0.180145E+03
  0.999205E+02  0.639019E-03  0.470962E-03  0.350784E-03  0.125643E-02  0.102284E-02  0.616084E-03  0.253155E-02  0.141699E-02  0.180259E+03
  0.999205E+02  0.639019E-03  0.470962E-03  0.350784E-03  0.125643E-02  0.102284E-02  0.616084E-03  0.253155E-02  0.141699E-02  0.180259E+03
  0.999205E+02  0.639019E-03  0.470962E-03  0.350784E-03  0.901712E-03  0.102284E-02  0.616084E-03  0.253155E-02  0.141699E-02  0.180783E+03
  0.999205E+02  0.639019E-03  0.470962E-03  0.350784E-03  0.901712E-03  0.235751E-02  0.616084E-03  0.194490E-02  0.141699E-02  0.179372E+03
  0.999205E+02  0.639019E-03  0.470962E-03  0.350784E-03  0.901712E-03  0.305610E-02  0.616084E-03  0.194490E-02  0.141699E-02  0.178454E+03
  0.999205E+02  0.422575E-04  0.470962E-03  0.350784E-03  0.901712E-03  0.305610E-02  0.616084E-03  0.194490E-02  0.141699E-02  0.178549E+03
  0.999205E+02  0.422575E-04  0.470962E-03  0.350784E-03  0.901712E-03  0.305610E-02  0.616084E-03  0.194490E-02  0.141699E-02  0.178549E+03
  0.999205E+02  0.422575E-04  0.470962E-03  0.350784E-03  0.901712E-03  0.422587E-03  0.616084E-03  0.879227E-03  0.141699E-02  0.184589E+03
  0.100294E+03  0.422575E-04  0.470962E-03  0.613557E-03  0.901712E-03  0.422587E-03  0.616084E-03  0.879227E-03  0.141699E-02  0.184660E+03
  0.100294E+03  0.422575E-04  0.470962E-03  0.613557E-03  0.901712E-03  0.422587E-03  0.616084E-03  0.879227E-03  0.141699E-02  0.184660E+03
  0.100294E+03  0.422575E-04  0.470962E-03  0.613557E-03  0.113177E-02  0.422587E-03  0.616084E-03  0.879227E-03  0.141699E-02  0.184328E+03
  0.100945E+03  0.422575E-04  0.470962E-03  0.613557E-03  0.113177E-02  0.422587E-03  0.616084E-03  0.879227E-03  0.141699E-02  0.183507E+03
  0.100945E+03  0.422575E-04  0.470962E-03  0.613557E-03  0.113177E-02  0.422587E-03  0.616084E-03  0.879227E-03  0.141699E-02  0.183507E+03
  0.100945E+03  0.422575E-04  0.470962E-03  0.613557E-03  0.113177E-02  0.422587E-03  0.616084E-03  0.879227E-03  0.384892E-03  0.185759E+03
