a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.100780E+03  -0.222294E-01  -0.382181E+01  -0.482467E+01  -0.188939E+02   0.215582E-03   0.405586E-03   0.243708E-03   0.105009E-02   0.215197E+03
   0.100780E+03   0.258579E+01  -0.403164E+01  -0.444081E+01  -0.114878E+02   0.215582E-03   0.405586E-03   0.243708E-03   0.105009E-02   0.216398E+03
   0.100780E+03  -0.344995E+01  -0.573413E+01  -0.853060E+01  -0.618709E+01   0.215582E-03   0.680472E-04   0.243708E-03   0.105009E-02   0.215379E+03
   0.100036E+03   0.237656E+01  -0.573413E+01  -0.393275E+01  -0.618709E+01   0.215582E-03   0.680472E-04   0.243708E-03   0.169559E-02   0.215769E+03
   0.100036E+03   0.146213E+01  -0.620996E+01  -0.361558E+01  -0.160245E+02   0.215582E-03   0.680472E-04   0.243708E-03   0.169559E-02   0.214277E+03
   0.100178E+03   0.595540E+01   0.595607E-01   0.191138E+01  -0.100760E+02   0.215582E-03   0.680472E-04   0.243708E-03   0.504795E-03   0.212826E+03
   0.993893E+02   0.595540E+01  -0.355621E+01   0.191138E+01  -0.865158E+01   0.215582E-03   0.323725E-03   0.243708E-03   0.504795E-03   0.211819E+03
   0.993893E+02  -0.251566E+01  -0.355621E+01  -0.601284E+01  -0.865158E+01   0.215582E-03   0.186334E-03   0.243708E-03   0.504795E-03   0.211594E+03
   0.993893E+02  -0.251566E+01  -0.168118E+01   0.131965E+01  -0.566860E+01   0.215582E-03   0.186334E-03   0.238517E-03   0.504795E-03   0.210771E+03
   0.100355E+03  -0.199827E+01  -0.381434E+01  -0.627238E+01  -0.157978E+02   0.215582E-03   0.186334E-03   0.238517E-03   0.504795E-03   0.212498E+03
   0.100355E+03   0.379788E+01  -0.683925E+01  -0.647022E+01  -0.141413E+02   0.215582E-03   0.186334E-03   0.238517E-03   0.504795E-03   0.213847E+03
   0.100355E+03   0.131107E+01  -0.683925E+01  -0.647022E+01  -0.173712E+02   0.215582E-03   0.186334E-03   0.238517E-03   0.504795E-03   0.214031E+03
   0.100355E+03   0.131107E+01  -0.517461E+00   0.347910E+00  -0.150651E+02   0.215582E-03   0.186334E-03   0.238517E-03   0.504795E-03   0.214054E+03
   0.100355E+03   0.131107E+01  -0.517461E+00  -0.186187E+01  -0.125341E+02   0.215582E-03   0.186334E-03   0.238517E-03   0.504795E-03   0.214859E+03
   0.100355E+03   0.131107E+01  -0.189261E+01  -0.157514E+01  -0.115179E+02   0.215582E-03   0.186334E-03   0.238517E-03   0.504795E-03   0.215282E+03
   0.100355E+03   0.131107E+01  -0.263005E+01  -0.157514E+01  -0.318816E+01   0.215582E-03   0.186334E-03   0.238517E-03   0.504795E-03   0.215867E+03
   0.100355E+03   0.131107E+01  -0.263005E+01  -0.792666E+01  -0.318816E+01   0.635857E-03   0.186334E-03   0.136758E-03   0.158691E-02   0.215117E+03
   0.100355E+03   0.131107E+01  -0.263005E+01  -0.840270E+01  -0.222226E+01   0.447077E-03   0.186334E-03   0.136758E-03   0.158691E-02   0.215684E+03
   0.101463E+03   0.131107E+01  -0.864215E+01  -0.840270E+01  -0.222226E+01   0.447077E-03   0.186334E-03   0.136758E-03   0.158691E-02   0.214424E+03
   0.101463E+03   0.131107E+01  -0.864215E+01  -0.840270E+01  -0.121921E+02   0.447077E-03   0.186334E-03   0.136758E-03   0.158691E-02   0.214793E+03
   0.101463E+03   0.235867E+00   0.672644E+00  -0.915645E+01   0.288488E+01   0.447077E-03   0.186334E-03   0.136758E-03   0.158691E-02   0.216157E+03
   0.101463E+03  -0.847278E+00   0.508158E+01  -0.161042E+02   0.288488E+01   0.709978E-03   0.186334E-03   0.136758E-03   0.158691E-02   0.212555E+03
   0.102056E+03  -0.847278E+00   0.619225E+01  -0.100816E+02  -0.280954E+01   0.709978E-03   0.186334E-03   0.136758E-03   0.158691E-02   0.213705E+03
   0.102056E+03  -0.847278E+00  -0.449534E+00  -0.991300E+01  -0.101816E+02   0.709978E-03   0.186334E-03   0.136758E-03   0.158691E-02   0.214127E+03
