a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100313E+03  0.450175E+01  0.167746E+01  0.125876E+01  0.477334E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.215549E+03
  0.100313E+03  0.450175E+01 -0.244315E+01  0.125876E+01  0.324739E+01  0.155852E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.215770E+03
  0.100313E+03  0.450175E+01 -0.202054E+01  0.566924E+01 -0.868849E+01  0.369492E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.215488E+03
  0.100313E+03  0.450175E+01 -0.202054E+01 -0.243323E+01 -0.868849E+01  0.369492E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.215514E+03
  0.100313E+03 -0.136696E+01 -0.202054E+01 -0.243323E+01 -0.868849E+01  0.369492E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216420E+03
  0.100313E+03 -0.136696E+01 -0.967269E+00 -0.685013E+01 -0.868849E+01  0.369492E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216306E+03
  0.100313E+03 -0.136696E+01 -0.493379E+01 -0.305025E+01 -0.717500E+00  0.369492E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216800E+03
  0.100313E+03 -0.136696E+01  0.651244E+01 -0.814029E+01 -0.342930E+01  0.369492E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.212997E+03
  0.100313E+03 -0.136696E+01  0.462626E+01 -0.814029E+01 -0.342930E+01  0.369492E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.214456E+03
  0.100313E+03 -0.136696E+01  0.857996E+01 -0.806032E+01 -0.806119E+01  0.465202E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.209316E+03
  0.100313E+03 -0.136696E+01  0.857996E+01 -0.806032E+01 -0.182578E+00  0.465202E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.211483E+03
  0.100313E+03 -0.136696E+01 -0.641575E+00 -0.806032E+01 -0.182578E+00  0.465202E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216602E+03
  0.100313E+03 -0.111547E+01 -0.641575E+00 -0.843627E+01  0.614611E+01  0.465202E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216008E+03
  0.100313E+03 -0.112131E+01 -0.641575E+00 -0.843627E+01  0.164333E+01  0.465202E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216536E+03
  0.100313E+03 -0.112131E+01 -0.641575E+00 -0.964679E+01 -0.354908E+01  0.465202E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216347E+03
  0.100313E+03 -0.112131E+01 -0.641575E+00 -0.964679E+01  0.213846E+01  0.465202E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216307E+03
  0.100313E+03 -0.112131E+01 -0.641575E+00 -0.964679E+01  0.213846E+01  0.465202E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216307E+03
  0.100313E+03 -0.171340E+01 -0.641575E+00 -0.964679E+01 -0.289856E+01  0.465202E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216232E+03
  0.100313E+03 -0.171340E+01 -0.641575E+00 -0.142152E+01 -0.289856E+01  0.465202E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216117E+03
  0.100313E+03 -0.171340E+01 -0.641575E+00 -0.142152E+01 -0.453478E+01  0.465202E-03  0.310909E-03  0.153542E-03  0.107226E-02  0.216022E+03
  0.100313E+03 -0.171340E+01 -0.176916E+01 -0.292009E+01 -0.453478E+01  0.465202E-03  0.131276E-03  0.153542E-03  0.107226E-02  0.216671E+03
  0.100313E+03 -0.188998E+01 -0.535322E+01 -0.169529E+01 -0.453478E+01  0.465202E-03  0.131276E-03  0.232140E-04  0.107226E-02  0.216587E+03
  0.100313E+03 -0.188998E+01 -0.535322E+01  0.276799E+01 -0.453478E+01  0.465202E-03  0.131276E-03  0.232140E-04  0.107226E-02  0.215327E+03
  0.100313E+03  0.274974E+01 -0.535322E+01  0.276799E+01 -0.777693E+01  0.465202E-03  0.131276E-03  0.232140E-04  0.107226E-02  0.217031E+03
  0.100313E+03  0.274974E+01 -0.535322E+01  0.276799E+01 -0.777693E+01  0.465202E-03  0.131276E-03  0.232140E-04  0.107226E-02  0.217031E+03
  0.100313E+03  0.392617E+01 -0.535322E+01  0.101221E+01 -0.183054E+02  0.465202E-03  0.131276E-03  0.232140E-04  0.742384E-03  0.214759E+03
  0.100313E+03  0.392617E+01 -0.665799E+01  0.101221E+01 -0.183054E+02  0.465202E-03  0.131276E-03  0.232140E-04  0.742384E-03  0.214519E+03
  0.100313E+03  0.392617E+01 -0.665799E+01  0.101221E+01 -0.132897E+02  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.215358E+03
