a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.996837E+02   0.134226E+01  -0.133547E+01  -0.130924E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.781693E-03   0.215923E+03
   0.996837E+02   0.134226E+01  -0.236463E+01  -0.130924E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.781693E-03   0.216094E+03
   0.996837E+02   0.996287E+00  -0.236463E+01   0.316389E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.781693E-03   0.215423E+03
   0.996837E+02   0.996287E+00  -0.236463E+01   0.526214E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.781693E-03   0.214852E+03
   0.996837E+02   0.996287E+00   0.442388E+00   0.308252E+01   0.189973E-03   0.191117E-03   0.346507E-03   0.781693E-03   0.214828E+03
   0.996837E+02   0.996287E+00   0.442388E+00  -0.133955E+01   0.189973E-03   0.223850E-04   0.346507E-03   0.781693E-03   0.215368E+03
   0.996837E+02   0.996287E+00   0.442388E+00  -0.133955E+01   0.189973E-03   0.223850E-04   0.359934E-03   0.781693E-03   0.215276E+03
   0.101417E+03  -0.132259E+01   0.442388E+00  -0.114503E+02   0.189973E-03   0.223850E-04   0.359934E-03   0.781693E-03   0.216943E+03
   0.101995E+03  -0.253144E+01   0.372245E+01  -0.138803E+02   0.189973E-03   0.223850E-04   0.359934E-03   0.102487E-02   0.216247E+03
   0.101995E+03  -0.253144E+01   0.255051E+01  -0.113292E+02   0.189973E-03   0.459861E-03   0.359934E-03   0.102487E-02   0.214835E+03
   0.101542E+03  -0.253144E+01   0.592305E+01  -0.113292E+02   0.189973E-03   0.569991E-04   0.359934E-03   0.102487E-02   0.215657E+03
   0.100799E+03  -0.253144E+01   0.271402E+01  -0.673135E+01   0.114021E-02   0.569991E-04   0.864687E-03   0.102487E-02   0.208331E+03
   0.100799E+03   0.139364E+01   0.271402E+01  -0.109197E+02   0.114021E-02   0.569991E-04   0.818887E-03   0.102487E-02   0.209147E+03
   0.100799E+03   0.139364E+01  -0.717414E+01  -0.109197E+02   0.114021E-02   0.569991E-04   0.818887E-03   0.102487E-02   0.209921E+03
   0.100799E+03   0.586281E+01  -0.717414E+01  -0.576015E+00   0.114021E-02   0.569991E-04   0.818887E-03   0.102487E-02   0.208689E+03
   0.100799E+03   0.224704E+01   0.418674E+01   0.718930E+00   0.137032E-02   0.569991E-04   0.818887E-03   0.751451E-03   0.208684E+03
   0.100799E+03   0.428954E+01   0.418674E+01  -0.796534E+01   0.137032E-02   0.537797E-04   0.818887E-03   0.598794E-03   0.206051E+03
   0.100759E+03   0.428954E+01  -0.791840E+01   0.976448E+01   0.137032E-02   0.537797E-04   0.818887E-03   0.598794E-03   0.204908E+03
   0.101340E+03   0.415375E+01  -0.791840E+01  -0.134375E+02   0.137032E-02   0.488226E-03   0.818887E-03   0.598794E-03   0.202778E+03
   0.990694E+02   0.441898E+01  -0.654941E+01  -0.662235E+01   0.137032E-02   0.488226E-03   0.818887E-03   0.598794E-03   0.204716E+03
   0.992102E+02   0.441898E+01  -0.383886E+01  -0.539974E+01   0.544363E-03   0.488226E-03   0.818887E-03   0.598794E-03   0.208706E+03
   0.992102E+02   0.778903E+01  -0.117840E+02  -0.539974E+01   0.544363E-03   0.488226E-03   0.980145E-03   0.598794E-03   0.203060E+03
   0.992730E+02   0.778903E+01  -0.117840E+02  -0.539974E+01   0.544363E-03   0.488226E-03   0.980145E-03   0.598794E-03   0.203128E+03
