a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.101773E+03  0.563182E+01  0.514637E+01  0.120723E+02  0.396249E-03  0.771228E-04  0.250135E-03  0.111118E-02  0.192762E+03
  0.101773E+03  0.563182E+01  0.821092E+01  0.120723E+02  0.773558E-03  0.164475E-03  0.250135E-03  0.111118E-02  0.191220E+03
  0.101773E+03  0.563182E+01  0.821092E+01  0.120723E+02  0.773558E-03  0.164475E-03  0.250135E-03  0.111118E-02  0.191220E+03
  0.101773E+03  0.563182E+01  0.821092E+01  0.120723E+02  0.773558E-03  0.164475E-03  0.250135E-03  0.111118E-02  0.191220E+03
  0.101773E+03  0.563182E+01  0.646992E+01  0.120723E+02  0.773558E-03  0.164475E-03  0.250135E-03  0.111118E-02  0.191370E+03
  0.101773E+03  0.563182E+01  0.689720E+01  0.112202E+02  0.773558E-03  0.164475E-03  0.250135E-03  0.111118E-02  0.191388E+03
  0.101773E+03  0.563182E+01  0.689720E+01  0.112202E+02  0.773558E-03  0.164475E-03  0.250135E-03  0.111118E-02  0.191388E+03
  0.101773E+03  0.563182E+01  0.689720E+01  0.104716E+02  0.773558E-03  0.164475E-03  0.250135E-03  0.111118E-02  0.191394E+03
  0.101773E+03  0.668510E+01  0.689720E+01  0.104716E+02  0.118205E-03  0.164475E-03  0.250135E-03  0.111118E-02  0.192846E+03
  0.101773E+03  0.271858E+01  0.689720E+01  0.104716E+02  0.118205E-03  0.164475E-03  0.268548E-04  0.111118E-02  0.193252E+03
  0.101773E+03  0.271858E+01  0.689720E+01  0.538156E+01  0.118205E-03  0.164475E-03  0.268548E-04  0.111118E-02  0.193813E+03
  0.101773E+03  0.280838E+01  0.689720E+01 -0.430724E+01  0.118205E-03  0.164475E-03  0.268548E-04  0.111118E-02  0.192371E+03
  0.101773E+03  0.280838E+01  0.581987E+01 -0.430724E+01  0.118205E-03  0.164475E-03  0.268548E-04  0.115116E-02  0.192552E+03
  0.101773E+03  0.299981E+01  0.581987E+01  0.163090E+01  0.118205E-03  0.164475E-03  0.268548E-04  0.115116E-02  0.193666E+03
  0.101773E+03  0.299981E+01  0.581987E+01  0.859847E+01  0.118205E-03  0.164475E-03  0.268548E-04  0.115116E-02  0.193688E+03
  0.101773E+03  0.299981E+01  0.581987E+01  0.559709E+01  0.118205E-03  0.164475E-03  0.268548E-04  0.115116E-02  0.193871E+03
  0.102000E+03  0.299981E+01  0.544393E+01  0.119258E+02  0.118205E-03  0.164475E-03  0.268548E-04  0.115116E-02  0.192797E+03
  0.102000E+03  0.299397E+01  0.843499E+01  0.720493E+01  0.118205E-03  0.164475E-03  0.268548E-04  0.115116E-02  0.193291E+03
